	0
R_24_25DHVITD3tm	4.041206905146214e-06
R_25HVITD3t	0.008005334564087441
R_COAtl	0.0118666802091279
R_EX_5adtststerone_e	5.751632467710794e-07
R_EX_5adtststerones_e	5.716723506267308e-07
R_EX_5fthf_e	1.820381827794252e-08
R_EX_5htrp_e	0.0013493200736573077
R_EX_5mthf_e	0.05757318522797354
R_EX_5thf_e	1.224029220485971e-08
R_EX_6dhf_e	0.0
R_24_25VITD3Hm	4.041206905146214e-06
R_24NPHte	3.0350131990930507e-09
R_10FTHF7GLUtl	0.004533110634382654
R_10FTHFtm	-0.06319215030329467
R_11DOCRTSLtr	9.576108822573204e-09
R_13DAMPPOX	0.0006330272287458915
R_24_25DHVITD2t	0.005905233947941054
R_24_25DHVITD2tm	0.005905233947941054
R_24_25DHVITD3t	0.0027661432237266366
R_25VITD2Hm	0.0006640721797683628
R_2AMACHYD	4.026387596691672e-07
R_2AMACSULT	0.00120290598886244
R_2AMADPTm	0.0005545385287283036
R_2MCITt	0.0018447416802888361
R_2OXOADOXm	0.00813205603453301
R_2OXOADPTm	-0.00016179196990007139
R_34DHPHEt	-0.008327530156904467
R_34DHXMANDACOX	0.0755196696462609
R_34HPLFM	0.049086806830089265
R_3AIBtm	0.006028714920399128
R_3HAO	9.874726118268517e-05
R_3MOBt2im	0.012174384973413565
R_3MOPt2im	0.013990538601565957
R_3MOXTYROX	4.014223904524458e-08
R_3SALAOX	1.5661517675040238e-07
R_42A12BOOX	3.485563010204358e-07
R_4HBZCOAFm	0.020848071495048727
R_4HBZFm	0.020848071495048727
R_4HDEBRISOQUINEte	-9.159253189228167e-09
R_4HOXPACDOX_NADP	-0.08059036720588064
R_4MOPt2im	0.017560524043753262
R_4MPTNLte	4.235359134507899e-05
R_4NPHSULT	2.1051533460143114e-08
R_4PYRDX	0.00201887132587154
R_5ADTSTSTERONEGLCtr	-3.431921723320852e-06
R_5ADTSTSTERONESULT	3.9823333844525e-06
R_5ADTSTSTERONEte	-5.751632467659862e-07
R_5FTHFt2_1	-1.820381828609996e-08
R_5HOXINOXDA	1.8383586405461397e-05
R_5THFtl	0.0017705336156889858
R_5THFtm	1.4700530931002421e-05
R_7DHCHSTEROLtr	-0.11119485179261193
R_7DHFtm	0.0011554416785770636
R_A4GALTc	0.01569600130939577
R_A4GALTg	0.0007838692649780096
R_A4GNT2g	0.0
R_AACTtm	0.08684726890694207
R_ABO1g	0.0
R_ABO4g	0.0
