	0
R_24_25DHVITD3tm	9.534875309902143e-07
R_25HVITD3t	0.00757787182706334
R_COAtl	0.0066767214030076655
R_EX_5adtststerone_e	2.351922713168463e-11
R_EX_5adtststerones_e	0.0
R_EX_5fthf_e	0.0
R_EX_5htrp_e	0.001016192690150903
R_EX_5mthf_e	0.061903258654639595
R_EX_5thf_e	3.153226906172513e-09
R_EX_6dhf_e	0.0
R_24_25VITD3Hm	9.534875309902143e-07
R_24NPHte	-1.0880240944310948e-08
R_10FTHF7GLUtl	0.00446881163901171
R_10FTHFtm	-0.07470886653109847
R_11DOCRTSLtr	9.071697296136882e-09
R_13DAMPPOX	0.000322608899813797
R_24_25DHVITD2t	0.004599907232307351
R_24_25DHVITD2tm	0.004599907232307351
R_24_25DHVITD3t	0.0025914843176222647
R_25VITD2Hm	0.001516298149911009
R_2AMACHYD	1.985027571255247e-06
R_2AMACSULT	0.0013349550504490975
R_2AMADPTm	8.510486275831088e-05
R_2MCITt	0.0017952143074665416
R_2OXOADOXm	0.021070685099995226
R_2OXOADPTm	-0.004841838634240591
R_34DHPHEt	-0.008139682074698227
R_34DHXMANDACOX	0.026634105791023863
R_34HPLFM	0.06010745854174283
R_3AIBtm	0.0037396945468937677
R_3HAO	2.2810470380080467e-05
R_3MOBt2im	0.028472580497341873
R_3MOPt2im	0.029478172826344615
R_3MOXTYROX	1.0268302721822154e-06
R_3SALAOX	1.589270408928836e-08
R_42A12BOOX	2.55703957278363e-07
R_4HBZCOAFm	0.01848854219345872
R_4HBZFm	0.01848854219345872
R_4HDEBRISOQUINEte	-8.663553055510143e-09
R_4HOXPACDOX_NADP	-0.028478613386974216
R_4MOPt2im	0.0356414232449775
R_4MPTNLte	6.703463149573818e-05
R_4NPHSULT	7.047009029638635e-09
R_4PYRDX	0.0033096306456828744
R_5ADTSTSTERONEGLCtr	7.04596728184903e-10
R_5ADTSTSTERONESULT	3.54359289383922e-06
R_5ADTSTSTERONEte	-2.3519214353839857e-11
R_5FTHFt2_1	9.358190528052646e-09
R_5HOXINOXDA	3.0261983281082675e-05
R_5THFtl	0.001917881674267285
R_5THFtm	8.85211057808998e-06
R_7DHCHSTEROLtr	-0.12196788504366343
R_7DHFtm	0.0010546373816889695
R_A4GALTc	0.013373891681755519
R_A4GALTg	0.0014079483683867155
R_A4GNT2g	0.0
R_AACTtm	0.13179298825674785
R_ABO1g	0.0
R_ABO4g	0.0
R_ABO5g	0.0
R_ABO6g	0.0
R_ABO7g	0.0
R_ABO9g	0.0
R_ABTArm	-0.0009570181072201703
R_ABTt	-0.010927221968253
R_ABUTt2rL	0.04933507007329649
R_ACACT10m	-0.06264448702191017
R_ACACT5p	0.03795956223399108
R_ACACT8p	0.03350548723488779
R_ACACT9p	0.03041797111424613
R_ACALDtr	4.131293866617425e-05
R_ACALDtx	-8.515217295168576e-09
R_ACCOALm	0.00046050576776462547
R_ACCOAtr	-0.05472989852457125
R_ACETONEt2	-0.037484317444902104
R_ACGAGBSIDEtl	-3.8323016149366396e-09
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	9.27800621053354e-09
R_ACGALtlg	-0.0014077997343259485
R_ACGAMK	0.005108823950963405
R_ACGAMPM	0.10953953697852736
R_ACGAMtly	0.057086253168104034
R_ACGBGBSIDEtl	0.0014077997343259485
R_ACHtn	2.2321865015134668e-06
R_ACHVESSEC_1	4.13647301704117e-08
R_ACN13ACNGALGBSIDEtg	2.268742430033832e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-9.904080722211717e-09
R_ACNACNGALGBSIDEtg	5.347803186395161e-09
R_ACNAMlt	-0.0070458766261842914
R_ACNAMtn	0.022071220332589583
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-1.9422223962450857e-07
R_ACNML	-0.006717211325224695
R_ACOAD10m	0.00204035625271709
R_ACOAD8m	0.004539893387413662
R_ACOAD9m	0.014381066337465737
R_ACOAO7p	0.0051525724754756495
R_ACODA	0.0
R_ACONTm	0.320347151797052
R_ACP1_FMN	0.04504979922362252
R_ACS2	5.844330480408989e-06
R_ACSRTNMT	2.8056828533616332e-05
R_ACt2r	-0.03300339299663384
R_ADEt	-0.017668552990520493
R_ADK3	0.02901162068705044
R_ADK3m	0.07822874727220637
R_ADKd	-0.05401816759034725
R_ADMDC	0.02512855024535039
R_ADNt4	0.0020972258591827994
R_ADNtl	0.0036534499662474965
R_ADNtm	0.07057627965314711
R_ADPMAN	7.217987119603821e-09
R_ADPRIBt	0.0
R_ADRNCOAtx	0.014558296604875537
R_ADRNCRNt	0.008294411849780137
R_ADSL2r	0.0018533009013725892
R_AG13T16g	0.00013349764548368142
R_AG13T18g	0.00013349764548368029
R_AG13T2g	0.000412478711273441
R_AGMTm	1.8021341763539544e-07
R_AGTim	0.00023225066662303215
R_AHANDROSTANGLCte	9.820748044599917e-09
R_AHEXASE2ly	9.983991137846645e-09
R_AIRCr	0.0018533009013725898
R_AKGMALtm	0.01822503978734394
R_AKGt4_3	-0.6607468273749636
R_AKR1C41	1.0157286753760928e-07
R_AKR1D	1.40523263196583e-07
R_ALAGLYexR	0.0
R_ALASERNaEx	0.15975892619536403
R_ALASm	0.2754158428117021
R_ALATHRNaEx	0.1625251432192457
R_ALCD21_D	0.41772680697491493
R_ALCD22_D	0.3031980750808166
R_ALCD2y	2.0675333390574365e-08
R_ALDD20xm	0.0021661762761668833
R_ALDD2xm	0.05779387362945934
R_ALDD2y	0.10137201354750563
R_ALDSTRNte	-9.9153692478815e-09
R_ALDSTRNtm	9.9153692478815e-09
R_ALOX15	0.0
R_ALR2	0.39951711304303594
R_ALR3	0.3995590598205286
R_AMACR2p	0.03501097587770914
R_AMACRp	0.0002100962159943624
