	0
R_24_25DHVITD3tm	4.692255487565055e-07
R_25HVITD3t	0.008130962319266704
R_COAtl	0.008913262375191203
R_EX_5adtststerone_e	2.9495410281625698e-05
R_EX_5adtststerones_e	5.700059321459038e-05
R_EX_5fthf_e	0.0
R_EX_5htrp_e	0.000988625079753709
R_EX_5mthf_e	0.09088757058367944
R_EX_5thf_e	4.405615675994041e-09
R_EX_6dhf_e	0.0
R_24_25VITD3Hm	4.692255487565055e-07
R_24NPHte	-5.821798321203886e-10
R_10FTHF7GLUtl	0.003907090781718601
R_10FTHFtm	-0.05144328713946525
R_11DOCRTSLtr	-3.6874214418003426e-08
R_13DAMPPOX	0.0004869372962227324
R_24_25DHVITD2t	0.0040198509321074105
R_24_25DHVITD2tm	0.0040198509321074105
R_24_25DHVITD3t	0.002792950344767102
R_25VITD2Hm	0.0008093870736280897
R_2AMACHYD	1.0194644831796369e-05
R_2AMACSULT	0.002416566567061072
R_2AMADPTm	0.0036107928565611088
R_2MCITt	0.002747070828096207
R_2OXOADOXm	0.005000396189013521
R_2OXOADPTm	0.004515289272999998
R_34DHPHEt	-0.03794572027009193
R_34DHXMANDACOX	0.005224953925442105
R_34HPLFM	0.05284538504718483
R_3AIBtm	0.030636265474288077
R_3HAO	1.6934355875872604e-06
R_3MOBt2im	0.03547748901264327
R_3MOPt2im	0.03518994613916353
R_3MOXTYROX	6.099869474402267e-07
R_3SALAOX	1.4222532851424238e-05
R_42A12BOOX	4.6620723181003866e-08
R_4HBZCOAFm	0.02277031615481997
R_4HBZFm	0.02277031615481997
R_4HDEBRISOQUINEte	-8.3772856290798e-09
R_4HOXPACDOX_NADP	-0.005441475567117809
R_4MOPt2im	0.04306641781316126
R_4MPTNLte	0.00031420168799557724
R_4NPHSULT	1.820964654844891e-08
R_4PYRDX	0.0006531602016233201
R_5ADTSTSTERONEGLCtr	-9.416983609566998e-08
R_5ADTSTSTERONESULT	5.2797331057347695e-06
R_5ADTSTSTERONEte	-2.9495410281632495e-05
R_5FTHFt2_1	8.810818519222607e-09
R_5HOXINOXDA	9.365945382017505e-05
R_5THFtl	0.0017454554680145042
R_5THFtm	2.4222912842888037e-05
R_7DHCHSTEROLtr	-0.10913126694311245
R_7DHFtm	0.0013940698099558794
R_A4GALTc	0.013448644359928761
R_A4GALTg	0.0005704663093866275
R_A4GNT2g	0.0
R_AACTtm	0.14333801989026226
R_ABO1g	0.0
R_ABO4g	1.471065553520314e-08
R_ABO5g	1.4710655535203767e-08
R_ABO6g	0.0
R_ABO7g	0.0
R_ABO9g	0.0
R_ABTArm	-0.058690089157402335
R_ABTt	-0.009317535192754063
R_ABUTt2rL	0.020950840552030073
R_ACACT10m	-0.06382372999535879
R_ACACT5p	0.02361330921787443
R_ACACT8p	0.02308562134887784
R_ACACT9p	0.0227510703932197
R_ACALDtr	0.00021678743029829306
R_ACALDtx	-8.46023251455108e-09
R_ACCOALm	0.0003378789657539985
R_ACCOAtr	-0.03906831854461138
R_ACETONEt2	-0.053889945651590304
R_ACGAGBSIDEtl	-5.862668961409412e-09
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	4.244957441112973e-09
R_ACGALtlg	-0.0005704797472412398
R_ACGAMK	0.002900885522824025
R_ACGAMPM	0.09596228773550786
R_ACGAMtly	0.05652049758333001
R_ACGBGBSIDEtl	0.0005704797472412398
R_ACHtn	0.002938944829361634
R_ACHVESSEC_1	1.0727999706785488e-06
R_ACN13ACNGALGBSIDEtg	2.2502362750920213e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-9.736466563547985e-09
R_ACNACNGALGBSIDEtg	5.4226560047831995e-09
R_ACNAMlt	-0.011932587535895961
R_ACNAMtn	0.032468643239242145
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	9.621228105882729e-09
R_ACNML	-0.007359583963440233
R_ACOAD10m	0.0046555536620842405
R_ACOAD8m	0.007384349413582348
R_ACOAD9m	0.023993043441290798
R_ACOAO7p	0.009278125853569874
R_ACODA	0.0
R_ACONTm	0.2479118943490219
R_ACP1_FMN	0.030843957915653523
R_ACS2	2.481391830603315e-05
R_ACSRTNMT	2.2591219456716323e-05
R_ACt2r	-0.04548292656599025
R_ADEt	-0.04123694729862081
R_ADK3	0.0006337491656429545
R_ADK3m	0.07363666627688545
R_ADKd	-0.0026426180506873634
R_ADMDC	0.026341714664432504
R_ADNt4	6.90103121958803e-05
R_ADNtl	0.016180211386973203
R_ADNtm	0.05888501406977331
R_ADPMAN	6.380020290424259e-09
R_ADPRIBt	0.0
R_ADRNCOAtx	0.010224989755460809
R_ADRNCRNt	0.008971975880916389
R_ADSL2r	0.0024213958901859963
R_AG13T16g	7.940343377653326e-05
R_AG13T18g	7.940343377653322e-05
R_AG13T2g	0.0005212784789119899
R_AGMTm	7.080423306376316e-06
R_AGTim	6.512757858413454e-05
R_AHANDROSTANGLCte	9.82059244252538e-09
R_AHEXASE2ly	9.984758805531974e-09
R_AIRCr	0.002421395890186001
R_AKGMALtm	0.043179402759223856
R_AKGt4_3	-0.029972570363690925
R_AKR1C41	1.1019494719837156e-07
R_AKR1D	1.5684040676414308e-07
R_ALAGLYexR	-9.990894594564562e-06
R_ALASERNaEx	0.12062944259832215
R_ALASm	0.2287397722677326
R_ALATHRNaEx	0.12087060717009328
R_ALCD21_D	0.35416184325456584
R_ALCD22_D	0.25589299460445386
R_ALCD2y	2.160622562084915e-08
R_ALDD20xm	0.001000647420326677
R_ALDD2xm	0.03258766329507031
R_ALDD2y	0.07107788276654135
R_ALDSTRNte	-9.823185306845339e-09
R_ALDSTRNtm	9.823185306845339e-09
R_ALOX15	0.0
R_ALR2	0.3416091180892955
R_ALR3	0.34183360226440224
R_AMACR2p	0.012164496882295482
R_AMACRp	0.0005221596512694507
R_AMETr	0.010208840056124921
R_AMETt2m	0.0002283197863288261
R_AMPDA	0.24230194069044186
R_AMY2e	9.922854138936821e-09
R_ANDRSTRNGLCte	6.285254834695499e-05
R_ANDRSTRNGLCtr	-6.285254834695331e-05
R_ANDRSTRNtr	-0.001693446861333478
R_ANTIPYRENEte	9.698256142609551e-09
R_APOCFm	0.04175322621079155
R_APOC_LYS_BTNP	0.013907413835622497
R_APRTO2	0.01597477096252281
R_ARAB_Lt	9.219980418029294e-09
R_ARABR	9.219980411332041e-09
R_ARACHDCOAtx	0.03325669990567415
