	0
R_24_25DHVITD3tm	4.193889916863449e-05
R_25HVITD3t	0.0069699636295637085
R_COAtl	0.009122356956657973
R_EX_5adtststerone_e	0.0
R_EX_5adtststerones_e	0.0
R_EX_5fthf_e	2.935336124147728e-09
R_EX_5htrp_e	0.0004297174682810898
R_EX_5mthf_e	0.08426666648039657
R_EX_5thf_e	0.0
R_EX_6dhf_e	0.0
R_24_25VITD3Hm	4.193889916863449e-05
R_24NPHte	-5.7549305459980715e-09
R_10FTHF7GLUtl	0.004793325389423723
R_10FTHFtm	-0.05522795535244997
R_11DOCRTSLtr	-1.261237936311943e-08
R_13DAMPPOX	0.0009488309653151474
R_24_25DHVITD2t	0.009796872277129437
R_24_25DHVITD2tm	0.009796872277129437
R_24_25DHVITD3t	0.002326199401849329
R_25VITD2Hm	0.001103987284602709
R_2AMACHYD	4.887978119484213e-07
R_2AMACSULT	0.001701615220573382
R_2AMADPTm	0.0009728851325398743
R_2MCITt	0.002198428004885511
R_2OXOADOXm	0.030438739831354106
R_2OXOADPTm	-0.022670582240390515
R_34DHPHEt	-0.006437899951609084
R_34DHXMANDACOX	0.044076874589464805
R_34HPLFM	0.05246584709450026
R_3AIBtm	0.008532607989093565
R_3HAO	2.232406521013254e-06
R_3MOBt2im	0.031050615087518944
R_3MOPt2im	0.029660075491167445
R_3MOXTYROX	3.207917571092755e-08
R_3SALAOX	0.0
R_42A12BOOX	6.381890362647375e-08
R_4HBZCOAFm	0.021699032753913175
R_4HBZFm	0.021699032753913175
R_4HDEBRISOQUINEte	-6.502026514421111e-09
R_4HOXPACDOX_NADP	-0.09315507469370116
R_4MOPt2im	0.03789103422651217
R_4MPTNLte	4.429914398847157e-05
R_4NPHSULT	1.2568963674593857e-08
R_4PYRDX	0.005308403604672698
R_5ADTSTSTERONEGLCtr	5.0903287557302335e-09
R_5ADTSTSTERONESULT	1.1745363229550091e-05
R_5ADTSTSTERONEte	8.239078225225072e-09
R_5FTHFt2_1	-2.9353361269413014e-09
R_5HOXINOXDA	9.813369166505783e-06
R_5THFtl	0.001601942261255606
R_5THFtm	1.8625600248878948e-05
R_7DHCHSTEROLtr	-0.11002324941644637
R_7DHFtm	0.0013038601992723844
R_A4GALTc	0.014398541246801786
R_A4GALTg	0.00217660780631372
R_A4GNT2g	0.0
R_AACTtm	0.12482041375698848
R_ABO1g	0.0
R_ABO4g	0.0
R_ABO5g	0.0
R_ABO6g	0.0
R_ABO7g	0.0
R_ABO9g	0.0
R_ABTArm	-0.005055800315958012
R_ABTt	-0.01095077055289414
R_ABUTt2rL	0.05168532343856212
R_ACACT10m	-0.053163863828179614
R_ACACT5p	0.03242308418728799
R_ACACT8p	0.030084334935603554
R_ACACT9p	0.02528071249724181
R_ACALDtr	9.891796450001156e-08
R_ACALDtx	-8.265196027590349e-09
R_ACCOALm	0.009140354486633721
R_ACCOAtr	-0.04113777644625714
R_ACETONEt2	-0.04518010217011531
R_ACGAGBSIDEtl	1.0019532317717683e-05
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	8.60039067740459e-09
R_ACGALtlg	-0.0021665368356917625
