Condition	N° variables	Time	Status
CellLine_NCIH1048	14303	218.73052668571472	Solve_Succeeded
CellLine_NCIH1792	14303	221.9139542579651	Solve_Succeeded
CellLine_HCC1806	14303	214.41505122184753	Solve_Succeeded
CellLine_NCIH1755	14303	226.58402395248413	Solve_Succeeded
CellLine_647V	14303	250.754474401474	Solved_To_Acceptable_Level
CellLine_MIAPACA2	14303	233.2115876674652	Solve_Succeeded
CellLine_NCIH2228	14303	220.71422481536865	Solve_Succeeded
CellLine_NCIH460	14303	221.21504402160645	Solve_Succeeded
CellLine_DMS53	14303	238.36252450942993	Solve_Succeeded
CellLine_CALU3	14303	220.421813249588	Solve_Succeeded
CellLine_NCIH1666	14303	217.58151960372925	Solve_Succeeded
CellLine_NCIH441	14303	226.32730889320374	Solved_To_Acceptable_Level
CellLine_CALU6	14303	226.2218267917633	Solve_Succeeded
CellLine_UACC62	14303	223.0355007648468	Solve_Succeeded
CellLine_HCC1937	14303	247.5972056388855	Solve_Succeeded
CellLine_HCT15	14303	238.28308486938477	Solve_Succeeded
CellLine_NCIH1838	14303	226.73167824745178	Solve_Succeeded
CellLine_HCT116	14303	220.83657908439636	Solve_Succeeded
CellLine_NCIH2030	14303	239.62869143486023	Solve_Succeeded
CellLine_NCIH3255	14303	221.72329473495483	Solve_Succeeded
CellLine_UO31	14303	241.14728045463562	Solve_Succeeded
CellLine_NCIH226	14303	225.5978217124939	Solved_To_Acceptable_Level
CellLine_SKLU1	14303	229.75203657150269	Solve_Succeeded
CellLine_MDAMB436	14303	219.4263825416565	Solve_Succeeded
CellLine_RERFLCSQ1	14303	226.61632871627808	Solve_Succeeded
CellLine_SF295	14303	223.85990977287292	Solve_Succeeded
CellLine_HCC15	14303	221.25298976898193	Solve_Succeeded
CellLine_PANC1005	14303	219.32405614852905	Solve_Succeeded
CellLine_NCIH1437	14303	223.01451992988586	Solve_Succeeded
CellLine_NCIH1693	14303	229.15071153640747	Solve_Succeeded
CellLine_SHP77	14303	214.92711114883423	Solve_Succeeded
CellLine_DMS114	14303	222.5929193496704	Solve_Succeeded
CellLine_NCIH2122	14303	226.744478225708	Solve_Succeeded
CellLine_NCIH2347	14303	225.60238599777222	Solve_Succeeded
CellLine_NIHOVCAR3	14303	228.3625626564026	Solve_Succeeded
CellLine_NCIH292	14303	224.24691724777222	Solve_Succeeded
CellLine_EKVX	14303	221.5118224620819	Solve_Succeeded
CellLine_HDQP1	14303	226.1813449859619	Solve_Succeeded
CellLine_OVCAR8	14303	227.65310168266296	Solve_Succeeded
CellLine_CAKI1	14303	216.40985107421875	Solve_Succeeded
CellLine_SBC5	14303	221.53313946723938	Solve_Succeeded
CellLine_LNCAPCLONEFGC	14303	225.665203332901	Solve_Succeeded
CellLine_NCIH2170	14303	247.19508862495422	Solve_Succeeded
CellLine_NCIH526	14303	259.47250986099243	Maximum_Iterations_Exceeded
CellLine_HPAC	14303	232.60674142837524	Solve_Succeeded
CellLine_NCIH647	14303	224.7123532295227	Solve_Succeeded
CellLine_SW1573	14303	220.38401579856873	Solve_Succeeded
CellLine_PANC1	14303	236.9103033542633	Solve_Succeeded
CellLine_HOP92	14303	236.71711087226868	Solve_Succeeded
CellLine_NCIH1734	14303	229.1605076789856	Solve_Succeeded
CellLine_SKMEL5	14303	246.71504259109497	Solve_Succeeded
CellLine_SF539	14303	223.98941850662231	Solve_Succeeded
CellLine_NCIH446	14303	226.49433755874634	Solve_Succeeded
CellLine_SU8686	14303	225.03967785835266	Solve_Succeeded
CellLine_PANC0813	14303	235.3433701992035	Solve_Succeeded
CellLine_CORL279	14303	230.8732144832611	Solve_Succeeded
CellLine_NCIH1563	14303	227.06221556663513	Solve_Succeeded
CellLine_SNB75	14303	224.69277787208557	Solve_Succeeded
CellLine_NCIH2073	14303	233.7350935935974	Solve_Succeeded
CellLine_NCIH2291	14303	219.62337255477905	Solve_Succeeded
