	0
R_24_25DHVITD3tm	2.984353542821684e-08
R_25HVITD3t	5.151142028095995e-06
R_COAtl	7.63776731313795e-06
R_EX_5adtststerone_e	2.1079218418679213e-07
R_EX_5adtststerones_e	2.0983478380559584e-07
R_EX_5fthf_e	-3.995190230726697e-09
R_EX_5htrp_e	2.741492038996901e-06
R_EX_5mthf_e	0.00012718505560802007
R_EX_5thf_e	-6.0842660597193454e-09
R_EX_6dhf_e	-4.284885831568053e-09
R_24_25VITD3Hm	2.984353589252642e-08
R_24NPHte	6.907914681247851e-09
R_10FTHF7GLUtl	4.458273468850582e-06
R_10FTHFtm	-0.0001078058588450323
R_11DOCRTSLtr	-1.840195551147672e-08
R_13DAMPPOX	1.5926233602869128e-06
R_24_25DHVITD2t	7.210129495713313e-06
R_24_25DHVITD2tm	7.210129496029033e-06
R_24_25DHVITD3t	3.837700188802362e-06
R_25VITD2Hm	4.855618562838761e-06
R_2AMACHYD	2.240917361060534e-06
R_2AMACSULT	1.701562337476717e-06
R_2AMADPTm	5.847283012140429e-06
R_2MCITt	4.926532836346809e-06
R_2OXOADOXm	1.5173327092013467e-05
R_2OXOADPTm	-1.5686984640745022e-05
R_34DHPHEt	-8.492032092835956e-06
R_34DHXMANDACOX	2.0782759634990766e-05
R_34HPLFM	2.08658718631044e-05
R_3AIBtm	7.176642359967749e-06
R_3HAO	1.6253223861797624e-06
R_3MOBt2im	3.135469410122174e-05
R_3MOPt2im	3.0271732039961752e-05
R_3MOXTYROX	1.0872815464843533e-06
R_3SALAOX	1.6563403765976203e-06
R_42A12BOOX	8.407749036501433e-07
R_4HBZCOAFm	6.242569193536107e-06
R_4HBZFm	6.242569193050385e-06
R_4HDEBRISOQUINEte	7.31672040663045e-09
R_4HOXPACDOX_NADP	-3.087738017827635e-05
R_4MOPt2im	3.2332679675971254e-05
R_4MPTNLte	2.0380633783720348e-05
R_4NPHSULT	-5.372800392089427e-09
R_4PYRDX	4.658162069015592e-06
R_5ADTSTSTERONEGLCtr	-5.195332794492857e-07
R_5ADTSTSTERONESULT	7.548863889244445e-07
R_5ADTSTSTERONEte	-2.1079218385372522e-07
R_5FTHFt2_1	-1.99759817021139e-09
R_5HOXINOXDA	7.888482522755424e-08
R_5THFtl	2.909658677885396e-06
R_5THFtm	2.0889246268827877e-06
R_7DHCHSTEROLtr	-6.853964084382533e-05
R_7DHFtm	2.32526773671915e-06
R_A4GALTc	7.435971558066717e-06
R_A4GALTg	4.254857645637211e-06
R_A4GNT2g	-9.56199466066568e-09
R_AACTtm	8.665435454722342e-05
R_ABO1g	4.700723326410709e-07
R_ABO4g	6.478774489169738e-07
R_ABO5g	6.478774375663935e-07
R_ABO6g	5.353439201452863e-07
R_ABO7g	5.353439026969226e-07
R_ABO9g	4.531988900672207e-07
R_ABTArm	-1.2341215599896574e-05
R_ABTt	-1.2696665240185395e-05
R_ABUTt2rL	3.468372341176255e-05
R_ACACT10m	-1.355971552935431e-05
R_ACACT5p	1.635671536453359e-05
R_ACACT8p	1.3283698550498046e-05
R_ACACT9p	8.049827811239252e-06
R_ACALDtr	3.68618469927251e-06
R_ACALDtx	-3.745564181728556e-09
