	0
R_24_25DHVITD3tm	2.9554834407227986e-08
R_25HVITD3t	5.401969086760855e-06
R_COAtl	5.300858271585496e-06
R_EX_5adtststerone_e	3.4322963672617224e-09
R_EX_5adtststerones_e	3.4281336276642538e-09
R_EX_5fthf_e	-3.995362447134498e-09
R_EX_5htrp_e	2.9125534008189735e-06
R_EX_5mthf_e	9.803698292722152e-05
R_EX_5thf_e	-6.084732519923142e-09
R_EX_6dhf_e	-4.284908858287473e-09
R_24_25VITD3Hm	2.95548343890676e-08
R_24NPHte	6.908444351305665e-09
R_10FTHF7GLUtl	4.431633750866942e-06
R_10FTHFtm	-0.00011206921337676354
R_11DOCRTSLtr	-9.906268503417914e-09
R_13DAMPPOX	1.4683128663345313e-06
R_24_25DHVITD2t	5.433276037837553e-06
R_24_25DHVITD2tm	5.4332760378236755e-06
R_24_25DHVITD3t	4.0346358324318266e-06
R_25VITD2Hm	5.180434718350321e-06
R_2AMACHYD	2.5359756400826413e-06
R_2AMACSULT	2.5617711937840626e-06
R_2AMADPTm	4.157726102564218e-06
R_2MCITt	5.6413229581019075e-06
R_2OXOADOXm	1.5690875477383792e-05
R_2OXOADPTm	-1.2824483732845268e-05
R_34DHPHEt	-3.931570737965664e-06
R_34DHXMANDACOX	2.846150129729233e-05
R_34HPLFM	3.311812974415157e-05
R_3AIBtm	5.380042887322606e-06
R_3HAO	2.9502154446655975e-06
R_3MOBt2im	2.620040890648212e-05
R_3MOPt2im	2.6176594064137443e-05
R_3MOXTYROX	1.2225295564858435e-06
R_3SALAOX	4.4006548560737713e-07
R_42A12BOOX	9.283555674130528e-07
R_4HBZCOAFm	6.301289159113543e-06
R_4HBZFm	6.301289159172524e-06
R_4HDEBRISOQUINEte	7.317296043390931e-09
R_4HOXPACDOX_NADP	-2.8400327490685218e-05
R_4MOPt2im	2.7868073988992353e-05
R_4MPTNLte	7.033906073962426e-06
R_4NPHSULT	-5.373210112957771e-09
R_4PYRDX	4.486461838280886e-06
R_5ADTSTSTERONEGLCtr	-1.6946899893816036e-08
R_5ADTSTSTERONESULT	6.794366377484845e-07
R_5ADTSTSTERONEte	-3.432331561331603e-09
R_5FTHFt2_1	-1.997680992849027e-09
R_5HOXINOXDA	7.864999354914581e-08
R_5THFtl	2.9728689570733546e-06
R_5THFtm	2.1670097412399003e-06
R_7DHCHSTEROLtr	-7.545531850360054e-05
R_7DHFtm	2.3732540511793576e-06
R_A4GALTc	6.026299373627572e-06
R_A4GALTg	3.6882234376364037e-06
R_A4GNT2g	-9.562770734330268e-09
R_AACTtm	9.108887104510022e-05
R_ABO1g	3.167448377853815e-08
R_ABO4g	3.2277944990449014e-08
R_ABO5g	3.227794297678459e-08
R_ABO6g	3.2004233843177026e-08
R_ABO7g	3.2004231698132e-08
R_ABO9g	5.276073055659859e-08
R_ABTArm	-1.9170755867605805e-06
R_ABTt	-1.1330237241199276e-05
R_ABUTt2rL	3.301531980779825e-05
R_ACACT10m	-1.8003055803378354e-05
R_ACACT5p	1.8991010766002125e-05
R_ACACT8p	1.330374012370461e-05
R_ACACT9p	8.475419962024333e-06
R_ACALDtr	1.4456394065096023e-06
R_ACALDtx	-3.7457227632098355e-09
R_ACCOALm	2.651686921003747e-06
R_ACCOAtr	-4.321197733367019e-05
R_ACETONEt2	-2.370617329466862e-06
R_ACGAGBSIDEtl	2.8780481772100464e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.318945077449009e-08
R_ACGALtlg	-2.2423280478592322e-06
R_ACGAMK	4.667773629746935e-06
R_ACGAMPM	6.98565556691011e-05
R_ACGAMtly	4.596269505257808e-05
R_ACGBGBSIDEtl	2.2423280487612884e-06
R_ACHtn	2.447784607645387e-08
R_ACHVESSEC_1	6.324539871690554e-07
R_ACN13ACNGALGBSIDEtg	-2.7272141697731733e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.0800009244436044e-09
R_ACNACNGALGBSIDEtg	-2.7271790659089135e-09
R_ACNAMlt	-4.020254204557122e-06
R_ACNAMtn	1.287004328841962e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.131855362576875e-07
R_ACNML	-9.677355550585104e-06
R_ACOAD10m	6.306812183984323e-06
R_ACOAD8m	9.188555337172333e-06
R_ACOAD9m	1.0208488039065156e-05
R_ACOAO7p	4.788477606380154e-06
R_ACODA	-4.993745993109311e-09
R_ACONTm	7.14799166222635e-05
R_ACP1_FMN	3.308125033296694e-06
R_ACS2	9.878281985592485e-07
R_ACSRTNMT	8.072021341163358e-08
R_ACt2r	-3.8209442245029646e-05
R_ADEt	-8.030845765879386e-06
R_ADK3	3.298046555924583e-05
R_ADK3m	6.508475156598303e-05
R_ADKd	-2.6917194883731982e-05
R_ADMDC	1.6730974025727652e-05
R_ADNt4	1.3246203657602679e-05
R_ADNtl	9.299693587446096e-06
R_ADNtm	2.7433537704048272e-05
R_ADPMAN	-4.9937450147252704e-09
R_ADPRIBt	-5.130827173514146e-09
R_ADRNCOAtx	8.495165950823252e-06
R_ADRNCRNt	4.193888821057978e-06
R_ADSL2r	2.259927602082934e-06
R_AG13T16g	1.8457597007748294e-07
R_AG13T18g	1.7211909144124182e-07
R_AG13T2g	1.8357261925144863e-07
R_AGMTm	6.406316299222958e-09
R_AGTim	3.6179497313845494e-06
R_AHANDROSTANGLCte	-9.202537815111711e-09
R_AHEXASE2ly	-4.640440753878039e-09
R_AIRCr	2.259927601833134e-06
R_AKGMALtm	-2.7633728938637747e-05
R_AKGt4_3	-0.0001570684710802137
R_AKR1C41	2.655998364837586e-08
R_AKR1D	3.6430656070853896e-08
R_ALAGLYexR	-8.500951844965987e-13
R_ALASERNaEx	2.3101777479050956e-05
R_ALASm	0.00010583494731708498
R_ALATHRNaEx	2.326195160728961e-05
R_ALCD21_D	8.881066201370247e-05
R_ALCD22_D	0.00013968703940932248
R_ALCD2y	-3.745722731984813e-09
R_ALDD20xm	3.3038484000824653e-06
R_ALDD2xm	1.742751349528837e-05
R_ALDD2y	1.0738646081448477e-05
R_ALDSTRNte	2.6554050725630107e-08
R_ALDSTRNtm	-2.655405205442829e-08
R_ALOX15	6.277226235322564e-07
R_ALR2	8.658564189240048e-05
R_ALR3	8.797922429454319e-05
R_AMACR2p	2.54774790237923e-05
R_AMACRp	2.3620032123979062e-06
R_AMETr	1.3831668340635178e-05
R_AMETt2m	9.475512129597519e-06
R_AMPDA	0.00012768069620516798
R_AMY2e	-7.162909876345935e-09
R_ANDRSTRNGLCte	5.1423265146066655e-08
R_ANDRSTRNGLCtr	-5.14232677654991e-08
R_ANDRSTRNtr	-1.814868965353822e-07
R_ANTIPYRENEte	-6.612609036726891e-10
R_APOCFm	8.843050666413471e-06
R_APOC_LYS_BTNP	6.021116632854567e-06
R_APRTO2	6.280092176926683e-06
R_ARAB_Lt	2.42861286636753e-17
R_ARABR	-4.9937470270045026e-09
R_ARACHDCOAtx	3.261376030270699e-05
R_ARACHDt2	1.4309716844352434e-06
R_ARACHt	5.821037178319055e-07
R_ARGDCm	1.0305416770193393e-05
R_ARGLYSex	8.278612554423609e-05
R_ARGSS	1.0734992584131298e-06
R_ARGt4	1.744131343195743e-08
R_ARTCOAL3_cho	9.904408236026396e-07
R_R_group_phosphotase_2	3.5890939588285875e-06
R_R_group_phosphotase_3	9.522328052650325e-05
R_ASCBOX_1	4.322816557211784e-07
R_ASCBt	0.00010009259866736869
R_ASNCYSNaEx	2.34697608911677e-05
R_ASNGLNNaEx	2.3034642102640057e-05
R_ASNNm	3.4645383941607055e-05
R_ASNS1	9.765969820052511e-07
R_ASNt4	3.2807138162810334e-05
R_ASPDxt	1.9972512775578988e-09
R_ASPGLUm	1.4785785593149359e-05
R_ASPNATm	3.806834669443579e-05
R_ASPt6	1.0665766369849505e-05
R_ASPTAm	-3.152415664656183e-05
R_ATP1ter	2.1848463019329134e-05
R_BILGLCURte	1.771110187259728e-06
R_BILIRED	1.1217489617465493e-06
R_EX_6htststerone_e	8.540315617894256e-09
R_ATPasel_1	2.155293424479371e-06
R_ATPtn	3.0467841498696413e-06
R_ATPtx	1.90671060488444e-05
R_AVITE2t	-4.989750990863628e-09
R_B3GALT3g	3.1356197133791675e-06
R_B3GALT42g	8.189754742155952e-09
R_B3GALTg	1.2256599519894218e-06
R_B3GNT11g	1.911189251906087e-06
R_B3GNT310g	3.2599134262178866e-06
R_B3GNT315g	6.151526061142824e-07
R_B3GNT31g	5.526037246775204e-07
R_B3GNT34g	4.130555766081122e-07
R_B3GNT37g	1.1671698736437407e-08
R_B3GNT39g	1.1577609531783067e-06
R_B3GNT51g	4.485573377786475e-06
R_BAAT1x	4.983792516569964e-06
R_BAAT3x	2.5468026190614626e-05
R_BACCL	6.021116632639462e-06
R_BALAVECSEC_1	1.7276366637656682e-08
R_BDHm	-8.390707805409382e-06
R_BETALDHxm	4.881282218718863e-06
R_BHBtm	-8.390707805384229e-06
R_BHMT	4.004836811455359e-06
R_BILDGLCURt	3.184962980585452e-10
R_BTNDm	8.843050666472452e-06
R_BTNPL	6.0211166327903826e-06
R_BTNt2m	1.3536137541431126e-05
R_BTNt3i_1	1.9326123737381518e-06
R_BVITEt	-4.989750990863628e-09
R_BZtr	7.373149802508694e-09
R_C160CPT1	2.243676926286242e-05
R_C160CPT2	-1.4413022075984716e-05
R_C160CRNt	-5.457306201602646e-06
R_C161CPT1	-4.315857449357571e-06
R_C161CPT12	-5.8873846654171336e-06
R_C161CPT2	-1.2104374681777552e-06
R_C161CRN2t	-1.445324364565681e-07
R_C161CRNt	1.7725616339621386e-06
R_C180CPT1	-1.7607908962281524e-05
R_C181CPT1	1.3508731423124073e-05
R_C181CRNt	-2.443722937263415e-06
R_C204CPT1	-1.4756768475735621e-05
R_C204CPT2	2.5947697885886356e-06
R_C226COAtx	2.1280016062615037e-05
R_C226CPT1	3.812670630310919e-05
R_C226CPT2	3.812293721253482e-05
R_C226CRNt	2.2606754387834854e-05
R_C3STDH1r	8.399249003532283e-07
R_C4STMO1r	7.24876556529308e-07
R_C4STMO2Pr	6.341626698908032e-07
R_CAATPS_1	2.2880887426968144e-06
R_CAROtr	-3.8163916471489756e-17
R_CAt7r	-2.333167187423303e-05
R_CATm	2.7402813828732858e-05
R_CATp	0.00020087765168616198
R_CBL2tm	-9.559961548083473e-09
R_CBPPer	1.0094318751152631e-06
R_CBR2	9.139797046787967e-05
R_CDIPTr	3.986813702089309e-06
R_CDPDAGtm	-5.083746273244066e-06
R_CDS	1.0050648951709373e-06
R_CERT1gt	2.8218274028372903e-06
R_CERT1rt	9.93456531644954e-06
R_CERT2rt	1.0998053597551655e-05
R_CH25H	1.7279271121058027e-08
R_CHATn	2.3900246771562472e-08
R_CHLP	1.9438156711748273e-06
R_CHOLD2m	4.881282218735546e-06
R_CHOLK	0.00012780411028833621
R_CHOLPtl	-7.568129562832149e-07
R_CHOLtn	2.4477846919529478e-08
R_CHOLtr	1.0451803971432694e-06
R_CHSTEROLt3	1.807507818896159e-05
R_CITRtm	3.522913208639164e-05
R_CITtam	-1.962512232664415e-05
R_CK_cho	6.22764768565086e-06
R_CLHCO3tex2	0.00011090628459571594
R_CLOXAtex2	8.58100591200478e-05
R_CLPNDCOAtx	1.4402827940018792e-06
R_CLPNDCPT1	5.205238151721747e-07
R_CLPNDt	-9.446299425210081e-07
R_CMPACNAtn	1.3722587800538144e-05
R_ACNMCT	4.529767700225951e-06
R_CO2tg	-3.443542972856456e-06
R_CO2tm	-0.00023191627899889905
R_COAtim	3.532670504523966e-06
R_COKECBESr	-5.781047064667977e-09
R_COQ3m	4.601141480597981e-07
R_COQ6m	4.6011414864613465e-07
R_COQ7m	4.6011414816735097e-07
R_CORE3GTg	1.862244749656892e-07
R_CORE6GTg	1.6674841337022128e-06
R_CORE7GTg	-9.562828487408304e-09
R_CREATt4_2_r	-0.0003292282373997292
R_CREATtmdiffir	6.2276476856595875e-06
R_CRMPte	6.1948742124604e-07
R_CRNCAR3tp	2.1725487152342987e-05
R_CRNCARtp	3.3216235650918025e-05
R_CRNt	2.9042421881737834e-06
R_CRNtHa	3.156667391893998e-05
R_CRNtuNa	2.0676130729787093e-05
R_CRTNsyn_cho	4.2738611627755885e-06
R_CRTSLt	-5.68163752504014e-09
R_CRTSLtm	-2.2741211688076524e-08
R_CRTSLtr	-7.93959302461747e-06
R_CRVNCtr	-3.77543735406681e-05
R_CSAPASEly	7.689589098247573e-07
R_CSCPASEly	1.0059171735195271e-06
R_CSEPASEly	1.0393623772753102e-06
R_CSNAT2m	2.9210750381966633e-05
R_CSNAT2x	-7.292152631718785e-06
R_CSNAT3x	4.6993035337179745e-05
R_CSNATm	-0.00040606650838001523
R_CSNATp	-2.570668688799127e-05
R_CSNATr	-0.00033714652324210587
R_CSPG_Atly	7.689589086624926e-07
R_CSPG_Ct	1.118270187835252e-06
R_CSPG_Ctly	1.0059171723433846e-06
R_CSPG_Dt	1.1667152434516326e-06
R_CSPG_Dtly	1.07284030080243e-06
R_CTPtn	1.372258779836974e-05
R_CYANt	1.6984829688537761e-09
R_CYANtm	2.9223644858189513e-09
R_CYSALANaEx	2.374530906659733e-05
R_CYSASNNaEx	2.2918620702513937e-05
R_CYSGLYex	2.579299221537471e-07
R_CYSO	5.142080183665901e-06
R_CYSSERNaEx	2.3260190579021955e-05
R_CYStec	7.738820664656646e-06
