	0
R_24_25DHVITD3tm	2.8591217252950125e-08
R_25HVITD3t	5.945552527308884e-06
R_COAtl	5.548392933034385e-06
R_EX_5adtststerone_e	7.124027735783134e-09
R_EX_5adtststerones_e	7.119482385575804e-09
R_EX_5fthf_e	-3.99497881997668e-09
R_EX_5htrp_e	2.7528792830508464e-06
R_EX_5mthf_e	8.147882532585221e-05
R_EX_5thf_e	-6.0837183415984875e-09
R_EX_6dhf_e	-4.284838019119608e-09
R_24_25VITD3Hm	2.859121725484748e-08
R_24NPHte	6.9073237407568655e-09
R_10FTHF7GLUtl	4.618363333555586e-06
R_10FTHFtm	-0.00011470923054364424
R_11DOCRTSLtr	-8.36196786813126e-09
R_13DAMPPOX	1.5405759885914194e-06
R_24_25DHVITD2t	8.426516083938351e-06
R_24_25DHVITD2tm	8.426516083924473e-06
R_24_25DHVITD3t	4.444816608800695e-06
R_25VITD2Hm	5.399252431634088e-06
R_2AMACHYD	5.551269386324894e-06
R_2AMACSULT	3.203562257206305e-06
R_2AMADPTm	9.527735599424748e-06
R_2MCITt	5.9629347015296985e-06
R_2OXOADOXm	6.8452896950094155e-06
R_2OXOADPTm	-7.645815106413923e-06
R_34DHPHEt	-7.143960861721226e-06
R_34DHXMANDACOX	3.876993389828609e-05
R_34HPLFM	2.910098503385028e-05
R_3AIBtm	8.368177808094446e-06
R_3HAO	1.7637419198190138e-06
R_3MOBt2im	2.0884225858053274e-05
R_3MOPt2im	2.110144055051527e-05
R_3MOXTYROX	1.6168758439809652e-06
R_3SALAOX	3.4837208178623014e-07
R_42A12BOOX	1.328592171657289e-06
R_4HBZCOAFm	6.7466515717914954e-06
R_4HBZFm	6.746651571812312e-06
R_4HDEBRISOQUINEte	7.3160884850320684e-09
R_4HOXPACDOX_NADP	-3.787567811555648e-05
R_4MOPt2im	2.2550019796938048e-05
R_4MPTNLte	7.988847496726015e-07
R_4NPHSULT	-5.372302075423718e-09
R_4PYRDX	4.78277485564671e-06
R_5ADTSTSTERONEGLCtr	-4.043026054223464e-08
R_5ADTSTSTERONESULT	7.358112923856741e-07
R_5ADTSTSTERONEte	-7.124030386440605e-09
R_5FTHFt2_1	-1.997487182603397e-09
R_5HOXINOXDA	7.736681943530666e-08
R_5THFtl	3.080623790570336e-06
R_5THFtm	2.1550439474674055e-06
R_7DHCHSTEROLtr	-7.582594650250296e-05
R_7DHFtm	2.4543742915550393e-06
R_A4GALTc	6.609591915094498e-06
R_A4GALTg	4.2858096825863085e-06
R_A4GNT2g	-9.561251627997029e-09
R_AACTtm	6.038211222444273e-05
R_ABO1g	3.079677438559413e-08
R_ABO4g	3.157792943209524e-08
R_ABO5g	3.157792798097868e-08
R_ABO6g	3.1416082961957624e-08
R_ABO7g	3.141608149765108e-08
R_ABO9g	5.208411086689131e-08
R_ABTArm	-1.5438497244897706e-05
R_ABTt	-1.3323854074265284e-05
R_ABUTt2rL	3.4442774739009904e-05
R_ACACT10m	-2.7485722036257876e-05
R_ACACT5p	1.9638456969735263e-05
R_ACACT8p	1.4384757266852621e-05
R_ACACT9p	8.731186609489683e-06
R_ACALDtr	1.9138973927218528e-07
