	0
R_24_25DHVITD3tm	2.8614150305054584e-08
R_25HVITD3t	5.698339191999302e-06
R_COAtl	9.806330860295115e-06
R_EX_5adtststerone_e	1.2747681351482631e-08
R_EX_5adtststerones_e	1.273782616884045e-08
R_EX_5fthf_e	-3.995639735743239e-09
R_EX_5htrp_e	3.784445619058746e-06
R_EX_5mthf_e	0.0001102903698206592
R_EX_5thf_e	-6.085498015229174e-09
R_EX_6dhf_e	-4.2849680990941774e-09
R_24_25VITD3Hm	2.8614151006682467e-08
R_24NPHte	6.909288627343635e-09
R_10FTHF7GLUtl	4.530705213588032e-06
R_10FTHFtm	-9.389391860322588e-05
R_11DOCRTSLtr	-1.4491574371056082e-08
R_13DAMPPOX	1.5972443064321724e-06
R_24_25DHVITD2t	4.840763888316196e-06
R_24_25DHVITD2tm	4.840763888413341e-06
R_24_25DHVITD3t	4.240853558885871e-06
R_25VITD2Hm	5.3085330572011195e-06
R_2AMACHYD	3.655664184264043e-06
R_2AMACSULT	2.450851490146816e-06
R_2AMADPTm	5.3904612984216355e-06
R_2MCITt	5.607442410321406e-06
R_2OXOADOXm	1.2312458915052227e-05
R_2OXOADPTm	-1.620286051173792e-05
R_34DHPHEt	-3.6727620927694193e-06
R_34DHXMANDACOX	3.812118769079553e-05
R_34HPLFM	2.914034835751686e-05
R_3AIBtm	6.2459218350582575e-06
R_3HAO	2.675251768623904e-06
R_3MOBt2im	2.0611772034610093e-05
R_3MOPt2im	2.2115888144335488e-05
R_3MOXTYROX	9.848719778269286e-07
R_3SALAOX	9.192953870987286e-07
R_42A12BOOX	7.323222872305732e-07
R_4HBZCOAFm	6.643416102392746e-06
R_4HBZFm	6.643416102170702e-06
R_4HDEBRISOQUINEte	7.3182074185329515e-09
R_4HOXPACDOX_NADP	-3.7420255659836865e-05
R_4MOPt2im	2.2528311203418028e-05
R_4MPTNLte	1.0015531172417186e-05
R_4NPHSULT	-5.3738987010332195e-09
R_4PYRDX	4.8397273975549215e-06
R_5ADTSTSTERONEGLCtr	-2.3299652013308858e-08
R_5ADTSTSTERONESULT	7.566315445815819e-07
R_5ADTSTSTERONEte	-1.2748024472847286e-08
R_5FTHFt2_1	-1.997848650403533e-09
R_5HOXINOXDA	7.730801212320511e-08
R_5THFtl	2.9992446496825143e-06
R_5THFtm	2.110891787882735e-06
R_7DHCHSTEROLtr	-7.330090651730403e-05
R_7DHFtm	2.351096621746457e-06
R_A4GALTc	6.55085670326315e-06
R_A4GALTg	4.745863981917703e-06
R_A4GNT2g	-9.563973847690616e-09
R_AACTtm	8.511660868404033e-05
R_ABO1g	4.607482124861957e-07
R_ABO4g	6.210020209807335e-07
R_ABO5g	6.210020136419858e-07
R_ABO6g	5.10110827558509e-07
R_ABO7g	5.101108167893456e-07
R_ABO9g	4.327289788472015e-07
R_ABTArm	-5.431820581297759e-06
R_ABTt	-1.184318310059121e-05
R_ABUTt2rL	3.4356232152569013e-05
R_ACACT10m	-3.099548267709862e-05
R_ACACT5p	2.1949513671435522e-05
R_ACACT8p	1.5622832264097775e-05
R_ACACT9p	8.529548887692417e-06
R_ACALDtr	1.7720353590496007e-06
R_ACALDtx	-3.745990833498025e-09
R_ACCOALm	3.33839876579152e-06
R_ACCOAtr	-5.476100463836474e-05
R_ACETONEt2	-9.149247129358606e-07
R_ACGAGBSIDEtl	9.655749967467375e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.10110813107395e-07
R_ACGALtlg	-2.258943084355175e-06
R_ACGAMK	2.8793671406467797e-06
R_ACGAMPM	8.764716831090313e-05
R_ACGAMtly	4.686331605497154e-05
R_ACGBGBSIDEtl	2.2589430790954934e-06
R_ACHtn	7.214644669215758e-06
R_ACHVESSEC_1	1.6603273648667762e-06
R_ACN13ACNGALGBSIDEtg	-2.6572502427602007e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.4616638618090168e-09
R_ACNACNGALGBSIDEtg	-2.6572559465309897e-09
R_ACNAMlt	-4.169453538763884e-06
R_ACNAMtn	2.6772011421347802e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.458987906616474e-07
R_ACNML	-1.1734477957815043e-05
R_ACOAD10m	2.7578096056801726e-08
R_ACOAD8m	6.789729090767027e-08
R_ACOAD9m	3.799723453934423e-08
R_ACOAO7p	5.210672431317509e-06
R_ACODA	-4.994125725812926e-09
R_ACONTm	9.451035265677088e-05
R_ACP1_FMN	3.422617974147002e-06
R_ACS2	1.1232187737270083e-06
R_ACSRTNMT	7.920778871011746e-08
R_ACt2r	-4.3001005956763705e-05
