	0
R_24_25DHVITD3tm	2.8245950859078633e-08
R_25HVITD3t	6.001902274212212e-06
R_COAtl	1.0044382623058956e-05
R_EX_5adtststerone_e	3.0504057682567698e-09
R_EX_5adtststerones_e	3.0522275887290284e-09
R_EX_5fthf_e	-3.9950803082389186e-09
R_EX_5htrp_e	3.3350123637906903e-06
R_EX_5mthf_e	0.00013982564827962063
R_EX_5thf_e	-6.083972291237583e-09
R_EX_6dhf_e	-4.284860848080552e-09
R_24_25VITD3Hm	2.8245950848345032e-08
R_24NPHte	6.907600082206589e-09
R_10FTHF7GLUtl	4.847751951052304e-06
R_10FTHFtm	-4.762623525492865e-05
R_11DOCRTSLtr	-9.802209918752247e-09
R_13DAMPPOX	1.5481330162547824e-06
R_24_25DHVITD2t	7.1023077461845885e-06
R_24_25DHVITD2tm	7.102307746170711e-06
R_24_25DHVITD3t	4.44456181878522e-06
R_25VITD2Hm	5.799504399342514e-06
R_2AMACHYD	2.594724359731318e-06
R_2AMACSULT	2.3296018270002605e-06
R_2AMADPTm	1.7192747084785976e-08
R_2MCITt	5.719792741776253e-06
R_2OXOADOXm	5.461414576871104e-06
R_2OXOADPTm	3.570966726033295e-10
R_34DHPHEt	-2.270519261763321e-08
R_34DHXMANDACOX	4.0071551257125915e-05
R_34HPLFM	2.8523513632423836e-05
R_3AIBtm	1.1378543738858014e-05
R_3HAO	2.9086638628894043e-06
R_3MOBt2im	3.6477937952403283e-06
R_3MOPt2im	3.6131820015869454e-06
R_3MOXTYROX	1.6138850536667748e-06
R_3SALAOX	1.272452339481922e-06
R_42A12BOOX	1.3289837176577723e-06
R_4HBZCOAFm	7.352272654012615e-06
R_4HBZFm	7.352272654054248e-06
R_4HDEBRISOQUINEte	7.316380869204497e-09
R_4HOXPACDOX_NADP	-3.9911094117467405e-05
R_4MOPt2im	3.978794386245987e-06
R_4MPTNLte	4.414951532832889e-07
R_4NPHSULT	-5.372540079484622e-09
R_4PYRDX	4.744153726789213e-06
R_5ADTSTSTERONEGLCtr	-1.6386271534107877e-08
R_5ADTSTSTERONESULT	8.177976393991537e-07
R_5ADTSTSTERONEte	-3.050724547981609e-09
R_5FTHFt2_1	-1.9975381730652497e-09
R_5HOXINOXDA	7.696481305746738e-08
R_5THFtl	3.202260060404527e-06
R_5THFtm	2.350011189339307e-06
R_7DHCHSTEROLtr	-7.854948800282979e-05
R_7DHFtm	2.607456104496142e-06
R_A4GALTc	8.261761570439383e-06
R_A4GALTg	4.924461695397092e-06
R_A4GNT2g	-9.56157001105604e-09
R_AACTtm	0.00015128171461441242
R_ABO1g	4.559154525053677e-07
R_ABO4g	6.688349054595477e-07
R_ABO5g	6.688349065090554e-07
R_ABO6g	5.661335442559701e-07
R_ABO7g	5.661335460392658e-07
R_ABO9g	4.7626207946502297e-07
R_ABTArm	-1.0222536277291723e-05
R_ABTt	-1.4106601971583532e-05
R_ABUTt2rL	3.342599036726748e-05
R_ACACT10m	-1.924124705887653e-05
R_ACACT5p	1.7546152261960213e-05
R_ACACT8p	1.4516385177708313e-05
