	0
R_24_25DHVITD3tm	2.8405468541670316e-08
R_25HVITD3t	5.304172920959915e-06
R_COAtl	5.563969950363179e-06
R_EX_5adtststerone_e	5.756895372355242e-07
R_EX_5adtststerones_e	5.764994101750687e-07
R_EX_5fthf_e	-3.99533437583921e-09
R_EX_5htrp_e	3.1734304750119513e-06
R_EX_5mthf_e	0.00013291252027875303
R_EX_5thf_e	-6.0846521605928405e-09
R_EX_6dhf_e	-4.284916341884548e-09
R_24_25VITD3Hm	2.8405501352514744e-08
R_24NPHte	6.908331323662864e-09
R_10FTHF7GLUtl	4.57512241572311e-06
R_10FTHFtm	-0.000108026701247807
R_11DOCRTSLtr	-2.9275391496413894e-08
R_13DAMPPOX	1.5394509588362998e-06
R_24_25DHVITD2t	3.916365972082142e-06
R_24_25DHVITD2tm	3.916365997579108e-06
R_24_25DHVITD3t	3.931165258149599e-06
R_25VITD2Hm	5.2372265816409865e-06
R_2AMACHYD	2.6484176137742154e-06
R_2AMACSULT	3.91360089660453e-06
R_2AMADPTm	1.5915708330106401e-06
R_2MCITt	5.292751932287759e-06
R_2OXOADOXm	8.749396911755802e-06
R_2OXOADPTm	3.511510517826893e-06
R_34DHPHEt	-9.621700281101087e-06
R_34DHXMANDACOX	3.537828139624222e-05
R_34HPLFM	2.045412553446091e-05
R_3AIBtm	1.1904136682117095e-05
R_3HAO	3.3441087996098113e-06
R_3MOBt2im	3.507848569953703e-06
R_3MOPt2im	3.4927726851388674e-06
R_3MOXTYROX	9.195358604829895e-07
R_3SALAOX	-8.314525352937086e-10
R_42A12BOOX	6.642303056643428e-07
R_4HBZCOAFm	6.0549990909819495e-06
R_4HBZFm	6.0549990842130585e-06
R_4HDEBRISOQUINEte	7.31716858284881e-09
R_4HOXPACDOX_NADP	-3.6086181525119e-05
R_4MOPt2im	3.877870441985204e-06
R_4MPTNLte	3.194238897203175e-05
R_4NPHSULT	-5.3731126214984215e-09
R_4PYRDX	4.60435540631729e-06
R_5ADTSTSTERONEGLCtr	-3.87780343009958e-08
R_5ADTSTSTERONESULT	7.947742945504932e-07
R_5ADTSTSTERONEte	-5.756896230696418e-07
R_5FTHFt2_1	-1.9976742898775157e-09
R_5HOXINOXDA	1.1545112011002862e-06
R_5THFtl	2.992582427877033e-06
R_5THFtm	2.0868955715354354e-06
R_7DHCHSTEROLtr	-7.377817823812222e-05
R_7DHFtm	2.3752459590332953e-06
R_A4GALTc	7.416845593144657e-06
R_A4GALTg	5.091747854683165e-06
R_A4GNT2g	-9.56269796072211e-09
R_AACTtm	0.00010379423337910157
R_ABO1g	3.111172739568402e-08
R_ABO4g	3.1718873342759244e-08
R_ABO5g	3.1717172642958623e-08
R_ABO6g	3.149237587542449e-08
R_ABO7g	3.149045270046701e-08
R_ABO9g	5.2737291536210926e-08
R_ABTArm	-6.699213348102667e-05
R_ABTt	-1.1656260310671102e-05
R_ABUTt2rL	3.074816370283052e-05
R_ACACT10m	-2.2541397447894962e-05
R_ACACT5p	1.9193495345168343e-05
R_ACACT8p	1.4670457575485796e-05
R_ACACT9p	7.465040252854771e-06
R_ACALDtr	7.6183537887977715e-06
R_ACALDtx	-3.745687621181659e-09
R_ACCOALm	2.858878542663564e-06
R_ACCOAtr	-1.9891595632599846e-05
R_ACETONEt2	1.8417906688245056e-06
R_ACGAGBSIDEtl	9.315754374641938e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.285500932773133e-08
R_ACGALtlg	-2.564035547658605e-06
R_ACGAMK	3.905656322175655e-06
R_ACGAMPM	7.938289684718963e-05
