	0
R_24_25DHVITD3tm	2.8653070548872745e-08
R_25HVITD3t	5.300809711936139e-06
R_COAtl	1.0102357539294726e-05
R_EX_5adtststerone_e	3.954413443363336e-07
R_EX_5adtststerones_e	3.9602893818491136e-07
R_EX_5fthf_e	-3.995489848696021e-09
R_EX_5htrp_e	1.8404572939487163e-06
R_EX_5mthf_e	0.00013274294573567547
R_EX_5thf_e	-6.085061191041241e-09
R_EX_6dhf_e	-4.284939542076316e-09
R_24_25VITD3Hm	2.8653073764345338e-08
R_24NPHte	6.908795396887157e-09
R_10FTHF7GLUtl	4.605888848686901e-06
R_10FTHFtm	-0.00011797467894773817
R_11DOCRTSLtr	-3.3919591545250594e-08
R_13DAMPPOX	1.2956266597519833e-06
R_24_25DHVITD2t	7.531868271369591e-06
R_24_25DHVITD2tm	7.531868272778186e-06
R_24_25DHVITD3t	3.942305907361776e-06
R_25VITD2Hm	5.030528663999348e-06
R_2AMACHYD	2.278921273876191e-06
R_2AMACSULT	2.4348274626981303e-06
R_2AMADPTm	4.954018495386585e-06
R_2MCITt	5.101102414382941e-06
R_2OXOADOXm	1.8960262665124183e-05
R_2OXOADPTm	-1.4128130667926536e-05
R_34DHPHEt	-3.165232878903154e-06
R_34DHXMANDACOX	3.460127746846009e-05
R_34HPLFM	2.9566274863286612e-05
R_3AIBtm	1.0933176650750748e-05
R_3HAO	1.4911199614758486e-06
R_3MOBt2im	5.167515081581919e-06
R_3MOPt2im	5.128877060223136e-06
R_3MOXTYROX	1.0123123590976765e-06
R_3SALAOX	5.871209068503136e-07
R_42A12BOOX	7.1879725171628e-07
R_4HBZCOAFm	6.5182640632613364e-06
R_4HBZFm	6.518264061977641e-06
R_4HDEBRISOQUINEte	7.317662066574915e-09
R_4HOXPACDOX_NADP	-3.9858536010267676e-05
R_4MOPt2im	5.872214759422567e-06
R_4MPTNLte	2.1637877705274478e-05
R_4NPHSULT	-5.3735030591806066e-09
R_4PYRDX	4.617026310986538e-06
R_5ADTSTSTERONEGLCtr	-3.847937126572054e-08
R_5ADTSTSTERONESULT	7.076941438213802e-07
R_5ADTSTSTERONEte	-3.954413543422186e-07
R_5FTHFt2_1	-1.9977441402529994e-09
R_5HOXINOXDA	7.70185844894359e-08
R_5THFtl	3.071124776266032e-06
R_5THFtm	2.272795752059076e-06
R_7DHCHSTEROLtr	-6.963088597404521e-05
R_7DHFtm	2.488920783451365e-06
R_A4GALTc	6.6031601950837515e-06
R_A4GALTg	4.382636895616798e-06
R_A4GNT2g	-9.563094189806128e-09
R_AACTtm	7.826881907158773e-05
R_ABO1g	4.5014514113428383e-07
R_ABO4g	6.223595872961729e-07
R_ABO5g	6.223595316670605e-07
R_ABO6g	5.128200076670586e-07
R_ABO7g	5.128199316029036e-07
R_ABO9g	4.3273680339767084e-07
R_ABTArm	-5.7495488310469606e-05
R_ABTt	-1.1754603909945593e-05
R_ABUTt2rL	3.0614139839107296e-05
R_ACACT10m	-1.9464908626698474e-05
R_ACACT5p	1.8935096957356512e-05
R_ACACT8p	1.3934226767320368e-05
R_ACACT9p	7.528422457742101e-06
R_ACALDtr	7.6541634712185e-06
R_ACALDtx	-3.7458406168533465e-09
R_ACCOALm	3.25936664165305e-06
R_ACCOAtr	-4.840881772384155e-05
R_ACETONEt2	7.902560732742092e-07
R_ACGAGBSIDEtl	2.8305467199285506e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.128199068102357e-07
R_ACGALtlg	-2.875294512337534e-06
R_ACGAMK	2.150488180717447e-06
R_ACGAMPM	8.110635134289321e-05
R_ACGAMtly	4.846875614642615e-05
R_ACGBGBSIDEtl	2.875294464972644e-06
R_ACHtn	2.3830587086992594e-08
R_ACHVESSEC_1	1.6904382773522895e-08
R_ACN13ACNGALGBSIDEtg	-2.6542921541250486e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.453439728628993e-09
R_ACNACNGALGBSIDEtg	-2.6542261652440224e-09
R_ACNAMlt	-4.111394149361805e-06
R_ACNAMtn	2.412322773086978e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.2687968021537515e-07
R_ACNML	-1.1495558401374006e-05
R_ACOAD10m	6.0777911159576314e-06
R_ACOAD8m	9.494635778276028e-06
R_ACOAD9m	1.1972151552894217e-05
R_ACOAO7p	4.414954658867043e-06
R_ACODA	-4.993911022557751e-09
R_ACONTm	7.222631161024617e-05
R_ACP1_FMN	3.416091502783658e-06
R_ACS2	1.0478688232118394e-06
R_ACSRTNMT	7.898898095692471e-08
R_ACt2r	-7.295342908434505e-05
R_ADEt	-1.4428977806783816e-05
R_ADK3	4.914582949604727e-08
R_ADK3m	5.7484702517346387e-05
R_ADKd	-7.288302388293837e-08
R_ADMDC	1.9145356425775972e-05
R_ADNt4	9.527323475300967e-06
R_ADNtl	1.8239130338829762e-05
R_ADNtm	1.5793465338080626e-05
R_ADPMAN	-4.993910063255669e-09
R_ADPRIBt	-5.131006706578993e-09
R_ADRNCOAtx	8.016900042165376e-06
R_ADRNCRNt	2.022324849144941e-06
R_ADSL2r	2.328788924185754e-06
R_AG13T16g	1.8561032346514628e-07
R_AG13T18g	1.7315271231416185e-07
R_AG13T2g	1.8411523532158025e-07
R_AGMTm	2.011442970517585e-08
R_AGTim	2.6657635288281236e-06
R_AHANDROSTANGLCte	-9.203102058208401e-09
R_AHEXASE2ly	-4.593387892271039e-09
R_AIRCr	2.328788934191639e-06
R_AKGMALtm	-2.322937772501754e-05
R_AKGt4_3	-7.800813411167496e-05
R_AKR1C41	4.320380800952172e-06
R_AKR1D	2.165540035326984e-06
R_ALAGLYexR	-7.293565997234411e-13
R_ALASERNaEx	2.578676650680234e-05
R_ALASm	9.629098383970303e-05
R_ALATHRNaEx	2.705621177870321e-05
R_ALCD21_D	9.15254213709471e-05
R_ALCD22_D	0.00014604958599173656
R_ALCD2y	-3.745842330760141e-09
R_ALDD20xm	2.6148898404354526e-06
R_ALDD2xm	1.665266653681774e-05
R_ALDD2y	1.177247977857121e-05
R_ALDSTRNte	3.3380693223450386e-08
R_ALDSTRNtm	-3.338069918396025e-08
R_ALOX15	6.47239947409485e-07
R_ALR2	8.94242335774953e-05
R_ALR3	9.031239475904007e-05
R_AMACR2p	1.1505760749676991e-05
R_AMACRp	2.8988721794548367e-08
R_AMETr	1.846172711136851e-05
R_AMETt2m	7.5142606534295275e-06
R_AMPDA	0.00018693224999509483
R_AMY2e	-7.163370313589823e-09
R_ANDRSTRNGLCte	7.59632298619195e-07
R_ANDRSTRNGLCtr	-7.596323063699395e-07
R_ANDRSTRNtr	-6.043870661442963e-06
R_ANTIPYRENEte	-6.614024328222001e-10
