	0
R_24_25DHVITD3tm	2.977551984918096e-08
R_25HVITD3t	4.788300654205019e-06
R_COAtl	9.115150320614107e-06
R_EX_5adtststerone_e	7.853083714565168e-09
R_EX_5adtststerones_e	7.83001137538708e-09
R_EX_5fthf_e	-3.9949597935295955e-09
R_EX_5htrp_e	3.1154458435163346e-06
R_EX_5mthf_e	9.032056914362249e-05
R_EX_5thf_e	-6.083664960687685e-09
R_EX_6dhf_e	-4.284835496831674e-09
R_24_25VITD3Hm	2.9775519813646234e-08
R_24NPHte	6.907260752947453e-09
R_10FTHF7GLUtl	4.112451624887353e-06
R_10FTHFtm	-7.13142725997408e-05
R_11DOCRTSLtr	-7.405191789627841e-09
R_13DAMPPOX	1.4264210142084233e-06
R_24_25DHVITD2t	6.827874055308214e-06
R_24_25DHVITD2tm	6.827874055276989e-06
R_24_25DHVITD3t	3.567749239884871e-06
R_25VITD2Hm	4.34347921151961e-06
R_2AMACHYD	4.463559241219429e-06
R_2AMACSULT	1.2708597863231308e-06
R_2AMADPTm	5.338446767303839e-06
R_2MCITt	4.642450613153576e-06
R_2OXOADOXm	1.3063188663745007e-05
R_2OXOADPTm	-1.4981956997261016e-05
R_34DHPHEt	-8.467124787383184e-06
R_34DHXMANDACOX	3.903253033904486e-05
R_34HPLFM	2.114585922643325e-05
R_3AIBtm	6.819338913357695e-06
R_3HAO	3.549074891656586e-06
R_3MOBt2im	2.7196413583931156e-05
R_3MOPt2im	2.9260512871054356e-05
R_3MOXTYROX	1.0723107742999227e-06
R_3SALAOX	2.5511408129862134e-06
R_42A12BOOX	8.216191779569781e-07
R_4HBZCOAFm	5.773950562972668e-06
R_4HBZFm	5.773950563055935e-06
R_4HDEBRISOQUINEte	7.316017184427759e-09
R_4HOXPACDOX_NADP	-3.8664290772594256e-05
R_4MOPt2im	3.00700928119145e-05
R_4MPTNLte	6.787342010129704e-07
R_4NPHSULT	-5.372255806879167e-09
R_4PYRDX	4.341617123818781e-06
R_5ADTSTSTERONEGLCtr	-4.247638345222793e-08
R_5ADTSTSTERONESULT	6.973179768922366e-07
R_5ADTSTSTERONEte	-7.85310004525197e-09
R_5FTHFt2_1	-1.9974800008482063e-09
R_5HOXINOXDA	1.4060060991999412e-06
R_5THFtl	2.7071318161875357e-06
R_5THFtm	1.9965765050873607e-06
R_7DHCHSTEROLtr	-6.712921651401763e-05
R_7DHFtm	2.1334307487193283e-06
R_A4GALTc	6.386725003342669e-06
R_A4GALTg	4.616635833246119e-06
R_A4GNT2g	-9.561138273467273e-09
R_AACTtm	0.00011291752336336364
R_ABO1g	4.24970621170685e-07
R_ABO4g	5.94976842086415e-07
R_ABO5g	5.949768430778637e-07
R_ABO6g	4.924019788659869e-07
R_ABO7g	4.924019804185102e-07
R_ABO9g	4.1903198040387727e-07
R_ABTArm	-8.590186150417723e-06
R_ABTt	-1.0364790572453542e-05
R_ABUTt2rL	2.970669927707028e-05
R_ACACT10m	-2.1622695452111484e-05
R_ACACT5p	1.8192756060846083e-05
R_ACACT8p	1.3156470750355642e-05
R_ACACT9p	7.998789088387026e-06
R_ACALDtr	1.806047502037056e-07
R_ACALDtx	-3.74535027644618e-09
R_ACCOALm	2.899195579430039e-06
R_ACCOAtr	-6.98775627162862e-05
R_ACETONEt2	-1.3936888168530892e-07
R_ACGAGBSIDEtl	8.863350783872015e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-4.924019809497693e-07
R_ACGALtlg	-2.291457689977683e-06
R_ACGAMK	1.8419784839976416e-06
R_ACGAMPM	8.444855999630019e-05
R_ACGAMtly	4.2250077442591155e-05
R_ACGBGBSIDEtl	2.2914576901615635e-06
R_ACHtn	2.435810668444116e-08
R_ACHVESSEC_1	1.7302859520522992e-08
R_ACN13ACNGALGBSIDEtg	-2.7687321012270782e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.3851285524688635e-09
R_ACNACNGALGBSIDEtg	-2.7687310742707805e-09
R_ACNAMlt	-4.007027883154435e-06
R_ACNAMtn	2.3274701629091843e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.3370475140414033e-07
R_ACNML	-1.2225827264858435e-05
R_ACOAD10m	3.032431885457987e-08
R_ACOAD8m	6.879233509227145e-08
R_ACOAD9m	4.356476349109961e-08
R_ACOAO7p	4.265788611956811e-06
R_ACODA	-4.9932177316469595e-09
R_ACONTm	8.968183761468018e-05
R_ACP1_FMN	3.0818313719871426e-06
R_ACS2	1.0501732223971993e-06
R_ACSRTNMT	8.089698084177248e-08
R_ACt2r	-2.534354796763366e-05
R_ADEt	-3.370612064507606e-05
R_ADK3	4.937200791031368e-06
R_ADK3m	4.962242833569941e-05
R_ADKd	-3.543065347257589e-05
R_ADMDC	2.0655896048105138e-05
R_ADNt4	8.822216631354692e-06
R_ADNtl	1.1261367793783967e-05
R_ADNtm	-1.4748303100997617e-06
R_ADPMAN	-4.9932162848875805e-09
R_ADPRIBt	-5.1302550758470546e-09
R_ADRNCOAtx	7.714775681923886e-06
R_ADRNCRNt	3.1042683090454215e-06
R_ADSL2r	2.105742334973515e-06
R_AG13T16g	1.8682642900086366e-07
R_AG13T18g	1.7437155860541842e-07
R_AG13T2g	1.8535838858940723e-07
R_AGMTm	4.8833823948312e-06
R_AGTim	3.636649803850922e-06
R_AHANDROSTANGLCte	-9.200448472523881e-09
R_AHEXASE2ly	-4.660007602019789e-09
R_AIRCr	2.105742334584937e-06
R_AKGMALtm	-3.2558501487450764e-05
R_AKGt4_3	-8.711111134217597e-07
R_AKR1C41	5.4281294005656915e-06
R_AKR1D	7.2509493736306945e-06
R_ALAGLYexR	-4.98260950184698e-13
R_ALASERNaEx	2.0575779424311658e-05
R_ALASm	9.952922217107418e-05
R_ALATHRNaEx	2.0636108997509894e-05
R_ALCD21_D	8.720601471044753e-05
R_ALCD22_D	0.0001426665783968023
R_ALCD2y	-3.745350168893324e-09
R_ALDD20xm	2.8382006398153248e-06
R_ALDD2xm	2.169896540096805e-05
R_ALDD2y	1.1758840264997072e-05
R_ALDSTRNte	2.3500502724371763e-08
R_ALDSTRNtm	-2.35005078036421e-08
R_ALOX15	1.697884214940812e-08
R_ALR2	8.620750763260743e-05
R_ALR3	8.697922506972766e-05
R_AMACR2p	3.1268410027887605e-05
R_AMACRp	3.6290645751176076e-06
R_AMETr	1.1720670619896206e-05
R_AMETt2m	9.712089023006243e-06
R_AMPDA	0.00028927348397805863
R_AMY2e	-7.161371662345317e-09
R_ANDRSTRNGLCte	3.918037938532848e-08
R_ANDRSTRNGLCtr	-3.9180387937515215e-08
R_ANDRSTRNtr	-4.75745573384756e-06
R_ANTIPYRENEte	-6.608135913466207e-10
R_APOCFm	8.491507666769094e-06
R_APOC_LYS_BTNP	6.3386757764051505e-06
R_APRTO2	5.318048930662289e-06
R_ARAB_Lt	2.42861286636753e-17
R_ARABR	-4.993219060445142e-09
R_ARACHDCOAtx	2.3762350491011303e-05
R_ARACHDt2	3.554470767843168e-05
R_ARACHt	5.311249629428444e-05
R_ARGDCm	7.438398344796621e-06
R_ARGLYSex	6.676049467727388e-05
R_ARGSS	1.1615069889225893e-06
R_ARGt4	2.3271767434713734e-06
R_ARTCOAL3_cho	1.0366557116059383e-06
R_R_group_phosphotase_2	4.113989723053546e-06
R_R_group_phosphotase_3	0.00010651823930942633
R_ASCBOX_1	3.638776774617103e-07
R_ASCBt	8.548619253096607e-05
R_ASNCYSNaEx	2.106175092930762e-05
R_ASNGLNNaEx	2.0771452785423028e-05
R_ASNNm	3.598033217196931e-05
R_ASNS1	1.0271876075274022e-06
R_ASNt4	3.5917632303206215e-05
R_ASPDxt	1.9970255865642272e-09
R_ASPGLUm	1.3968791861551644e-05
R_ASPNATm	3.296002978852089e-05
R_ASPt6	1.2767096025202013e-05
R_ASPTAm	-2.9606335240739412e-05
R_ATP1ter	2.1611196767253038e-05
R_BILGLCURte	4.393080444767272e-07
R_BILIRED	1.1614500827206165e-06
R_EX_6htststerone_e	1.6405084100196143e-08
R_ATPasel_1	2.082763286091055e-06
R_ATPtn	6.336473434096629e-06
R_ATPtx	2.0536473244885806e-05
R_AVITE2t	-4.988879150069625e-09
R_B3GALT3g	4.03931374531874e-06
R_B3GALT42g	6.836894096001744e-09
R_B3GALTg	1.8348940065901487e-06
R_B3GNT11g	2.946044222192079e-06
R_B3GNT310g	5.1745957871203105e-06
R_B3GNT315g	6.345025299805268e-07
R_B3GNT31g	5.773220881320762e-07
R_B3GNT34g	4.162487383550448e-07
R_B3GNT37g	1.2080811106693345e-08
R_B3GNT39g	1.3731094702824909e-06
R_B3GNT51g	7.009489793460225e-06
R_BAAT1x	4.921283846995132e-06
R_BAAT3x	3.1258960584934666e-05
R_BACCL	6.33867577628372e-06
R_BALAVECSEC_1	1.7346247950800616e-08
R_BDHm	-7.760211836876918e-06
R_BETALDHxm	3.544747716809765e-06
R_BHBtm	-7.760211836845693e-06
R_BHMT	3.380052892548724e-06
R_BILDGLCURt	4.3335345546404475e-10
R_BTNDm	8.491507666866238e-06
R_BTNPL	6.338675776347905e-06
R_BTNt2m	1.2414720466563667e-05
R_BTNt3i_1	1.8523581043379533e-06
R_BVITEt	-4.988879150069625e-09
R_BZtr	7.371489800511721e-09
R_C160CPT1	7.622669261291015e-06
R_C160CPT2	-1.5830301704685204e-05
R_C160CRNt	-6.578293021256704e-06
R_C161CPT1	-3.5474607432087885e-06
R_C161CPT12	-6.3041610232090345e-06
R_C161CPT2	-3.2166380627661473e-07
R_C161CRN2t	-1.5999712644036712e-06
R_C161CRNt	9.657212611570432e-07
R_C180CPT1	-1.8568597037686707e-05
R_C181CPT1	1.3506830674640119e-05
R_C181CRNt	-1.1317820531667189e-06
R_C204CPT1	-1.1236261409022438e-05
R_C204CPT2	2.308680916791178e-06
R_C226COAtx	2.4536913754091838e-05
R_C226CPT1	4.740262434937449e-05
R_C226CPT2	4.739885590736813e-05
R_C226CRNt	1.9536615066560736e-05
R_C3STDH1r	8.072199833980553e-07
R_C4STMO1r	6.865764672625563e-07
R_C4STMO2Pr	6.081861770035335e-07
R_CAATPS_1	2.290044200083108e-06
R_CAROtr	-5.551115123125783e-17
R_CAt7r	-1.0610021792368455e-05
R_CATm	2.461508060541684e-05
R_CATp	0.0002078327526122553
R_CBL2tm	-9.557969402919364e-09
R_CBPPer	9.231675204557366e-07
R_CBR2	0.00010484363574830846
R_CDIPTr	1.089316123498163e-06
R_CDPDAGtm	-3.4234870548606466e-06
R_CDS	1.0459570690696945e-06
R_CERT1gt	3.1148169524763958e-06
R_CERT1rt	1.0437788153044858e-05
R_CERT2rt	1.580658451817013e-05
R_CH25H	1.8140311159499248e-06
R_CHATn	2.383288062564354e-08
R_CHLP	1.8931762210163392e-06
R_CHOLD2m	3.5447477168642938e-06
R_CHOLK	0.00013681417830907483
R_CHOLPtl	-7.768880142741685e-07
R_CHOLtn	2.4358107818950314e-08
R_CHOLtr	1.1051225805788767e-06
R_CHSTEROLt3	1.783592933043629e-05
