	0
R_24_25DHVITD3tm	2.975275428416732e-08
R_25HVITD3t	5.365669690352015e-06
R_COAtl	1.0014962649924214e-05
R_EX_5adtststerone_e	1.476077662876385e-08
R_EX_5adtststerones_e	1.474467244827471e-08
R_EX_5fthf_e	-3.995334767886716e-09
R_EX_5htrp_e	2.88109362764008e-06
R_EX_5mthf_e	0.00010027789826912853
R_EX_5thf_e	-6.084649402382514e-09
R_EX_6dhf_e	-4.2849127093735895e-09
R_24_25VITD3Hm	2.975276630623469e-08
R_24NPHte	6.90833633701371e-09
R_10FTHF7GLUtl	4.559475751651082e-06
R_10FTHFtm	-5.927140698308922e-05
R_11DOCRTSLtr	-1.584269056567611e-08
R_13DAMPPOX	1.4499254186398775e-06
R_24_25DHVITD2t	7.620400713136133e-06
R_24_25DHVITD2tm	7.6204007182952005e-06
R_24_25DHVITD3t	3.990993899229134e-06
R_25VITD2Hm	5.013678695264812e-06
R_2AMACHYD	3.960779221996399e-06
R_2AMACSULT	2.4327096058221476e-06
R_2AMADPTm	6.081845820515852e-06
R_2MCITt	5.695296428478991e-06
R_2OXOADOXm	1.1000836567659489e-05
R_2OXOADPTm	-1.8670336666900883e-05
R_34DHPHEt	-1.3009944249647246e-05
R_34DHXMANDACOX	3.734021705326107e-05
R_34HPLFM	1.8992318909342304e-05
R_3AIBtm	1.1540954576845508e-05
R_3HAO	3.6743991780022363e-06
R_3MOBt2im	5.1449995556104855e-06
R_3MOPt2im	5.183785916910294e-06
R_3MOXTYROX	1.5381894602067847e-06
R_3SALAOX	8.758555946758451e-07
R_42A12BOOX	1.2972656645432457e-06
R_4HBZCOAFm	6.4622693996888025e-06
R_4HBZFm	6.462269397263659e-06
R_4HDEBRISOQUINEte	7.317151457658655e-09
R_4HOXPACDOX_NADP	-3.899036681581647e-05
R_4MOPt2im	5.930776366531304e-06
R_4MPTNLte	8.414653573526887e-06
R_4NPHSULT	-5.3731269156198636e-09
R_4PYRDX	4.009901360131629e-06
R_5ADTSTSTERONEGLCtr	-2.458175164116172e-08
R_5ADTSTSTERONESULT	7.318860569469066e-07
R_5ADTSTSTERONEte	-1.4761526005019343e-08
R_5FTHFt2_1	-1.9976675313948533e-09
R_5HOXINOXDA	7.893345763121395e-08
R_5THFtl	3.0120439224630424e-06
R_5THFtm	2.3805510544899766e-06
R_7DHCHSTEROLtr	-6.566739938701494e-05
R_7DHFtm	2.481700031382178e-06
R_A4GALTc	7.106575584201608e-06
R_A4GALTg	4.3894460676e-06
R_A4GNT2g	-9.562702146969e-09
R_AACTtm	0.000163356678352624
R_ABO1g	4.5990737938545866e-07
R_ABO4g	6.356678724699441e-07
R_ABO5g	6.35667696326041e-07
R_ABO6g	5.235463839330199e-07
R_ABO7g	5.235461459908127e-07
R_ABO9g	4.4435506186274866e-07
R_ABTArm	-6.476692689214025e-05
R_ABTt	-1.4006522922122705e-05
R_ABUTt2rL	3.157502689563746e-05
R_ACACT10m	-3.1467966569609374e-05
R_ACACT5p	2.095211543826081e-05
R_ACACT8p	1.4540710683311198e-05
