	0
R_24_25DHVITD3tm	2.938963765625538e-08
R_25HVITD3t	5.190359875381634e-06
R_COAtl	8.026053202145333e-06
R_EX_5adtststerone_e	4.2836212430646947e-07
R_EX_5adtststerones_e	4.0938508844012844e-07
R_EX_5fthf_e	-3.995435787773616e-09
R_EX_5htrp_e	2.8819728290947755e-06
R_EX_5mthf_e	0.00010273106989527533
R_EX_5thf_e	-6.0851730182553965e-09
R_EX_6dhf_e	-4.284951012067939e-09
R_24_25VITD3Hm	2.938967624821487e-08
R_24NPHte	6.908911557440556e-09
R_10FTHF7GLUtl	4.705106696072797e-06
R_10FTHFtm	-8.50895482278069e-05
R_11DOCRTSLtr	-2.98876369417278e-08
R_13DAMPPOX	1.5212288345355096e-06
R_24_25DHVITD2t	7.494365843137285e-06
R_24_25DHVITD2tm	7.494365858739388e-06
R_24_25DHVITD3t	3.854549980072952e-06
R_25VITD2Hm	4.902130713405582e-06
R_2AMACHYD	4.007780204399233e-06
R_2AMACSULT	2.893381299769876e-06
R_2AMADPTm	5.650519436194851e-06
R_2MCITt	5.138658793125972e-06
R_2OXOADOXm	1.4554107882980283e-05
R_2OXOADPTm	-1.7005169662133142e-05
R_34DHPHEt	-1.1449227346652427e-05
R_34DHXMANDACOX	3.4839171433140304e-05
R_34HPLFM	2.0141728436746248e-05
R_3AIBtm	1.0863793179663288e-05
R_3HAO	6.48616298609705e-08
R_3MOBt2im	2.80050015002975e-05
R_3MOPt2im	2.861832200375114e-05
R_3MOXTYROX	1.0506314177399778e-06
R_3SALAOX	6.729039356036248e-07
R_42A12BOOX	7.871283023153097e-07
R_4HBZCOAFm	6.210219590102595e-06
R_4HBZFm	6.210219582598181e-06
R_4HDEBRISOQUINEte	7.317728187294925e-09
R_4HOXPACDOX_NADP	-4.11145951609293e-05
R_4MOPt2im	3.250245083612213e-05
R_4MPTNLte	2.8802657151626165e-05
R_4NPHSULT	-5.373563469190934e-09
R_4PYRDX	4.625267193400506e-06
R_5ADTSTSTERONEGLCtr	-3.911408318763021e-08
R_5ADTSTSTERONESULT	8.046219730252491e-07
R_5ADTSTSTERONEte	-4.2836225959061447e-07
R_5FTHFt2_1	-1.997960075161842e-09
R_5HOXINOXDA	1.8692402858205837e-06
R_5THFtl	3.0614883467644516e-06
R_5THFtm	2.326496603428929e-06
R_7DHCHSTEROLtr	-6.437603487478849e-05
R_7DHFtm	2.509011034226849e-06
R_A4GALTc	6.249097461995614e-06
R_A4GALTg	4.963511918629421e-06
R_A4GNT2g	-9.562484869399385e-09
R_AACTtm	0.00012588607196667434
R_ABO1g	4.2719880958067e-07
R_ABO4g	6.12393142706202e-07
R_ABO5g	6.123925702903894e-07
R_ABO6g	5.153052424320022e-07
R_ABO7g	5.153045074118845e-07
R_ABO9g	4.406451204806792e-07
R_ABTArm	-3.734258500535893e-05
