	0
R_24_25DHVITD3tm	2.826153013631323e-08
R_25HVITD3t	5.60276729773268e-06
R_COAtl	5.5699347061774485e-06
R_EX_5adtststerone_e	8.775312698716675e-09
R_EX_5adtststerones_e	8.761214184693777e-09
R_EX_5fthf_e	-3.995474485984918e-09
R_EX_5htrp_e	4.505985805619561e-06
R_EX_5mthf_e	0.0001403435351684107
R_EX_5thf_e	-6.085022478952151e-09
R_EX_6dhf_e	-4.284935996301531e-09
R_24_25VITD3Hm	2.826153064003356e-08
R_24NPHte	6.908752549217301e-09
R_10FTHF7GLUtl	4.610222677149667e-06
R_10FTHFtm	-9.239467175298569e-05
R_11DOCRTSLtr	-1.963581013064708e-08
R_13DAMPPOX	1.7574701608805143e-06
R_24_25DHVITD2t	7.919183634609583e-06
R_24_25DHVITD2tm	7.919183634921834e-06
R_24_25DHVITD3t	4.161469475648383e-06
R_25VITD2Hm	4.992331404107819e-06
R_2AMACHYD	3.867270671418556e-06
R_2AMACSULT	1.2968947989862312e-06
R_2AMADPTm	1.1087717793981273e-05
R_2MCITt	6.060341829629279e-06
R_2OXOADOXm	6.837033625931022e-06
R_2OXOADPTm	-1.0355520573129828e-06
R_34DHPHEt	-1.2405549526999047e-05
R_34DHXMANDACOX	2.381243045426057e-05
R_34HPLFM	2.5869108663506557e-05
R_3AIBtm	1.3363329258216788e-05
R_3HAO	3.7061555596025475e-06
R_3MOBt2im	2.7369780441793834e-05
R_3MOPt2im	2.5988492311071476e-05
R_3MOXTYROX	1.0761917489369608e-06
R_3SALAOX	3.3900377280279836e-06
R_42A12BOOX	7.967581207571003e-07
R_4HBZCOAFm	6.960971547759209e-06
R_4HBZFm	6.960971547322059e-06
R_4HDEBRISOQUINEte	7.317621855684742e-09
R_4HOXPACDOX_NADP	-2.5881687765860056e-05
R_4MOPt2im	2.9160339262507273e-05
R_4MPTNLte	9.773065264354064e-06
R_4NPHSULT	-5.37346986351217e-09
R_4PYRDX	4.8207485501480796e-06
R_5ADTSTSTERONEGLCtr	-2.097436100495509e-08
R_5ADTSTSTERONESULT	7.760866872624783e-07
R_5ADTSTSTERONEte	-8.775398907534537e-09
R_5FTHFt2_1	-1.9977358239886556e-09
R_5HOXINOXDA	1.7522155673094925e-06
R_5THFtl	3.0336884736664738e-06
R_5THFtm	2.134124844822838e-06
R_7DHCHSTEROLtr	-8.765629306708642e-05
R_7DHFtm	2.4085798022988048e-06
R_A4GALTc	7.0807336142500975e-06
R_A4GALTg	4.240319332860041e-06
R_A4GNT2g	-9.563154067330484e-09
R_AACTtm	0.0001317327756590117
R_ABO1g	2.9448122333859683e-07
R_ABO4g	4.457092437617702e-07
R_ABO5g	4.4570922790553025e-07
R_ABO6g	3.9608949124140397e-07
R_ABO7g	3.9608946948450213e-07
R_ABO9g	3.4120459656717533e-07
R_ABTArm	-7.850787857514516e-05
R_ABTt	-1.1200185812514085e-05
R_ABUTt2rL	3.41755907745378e-05
R_ACACT10m	-1.4288684231811288e-05
R_ACACT5p	1.8390842026407006e-05
R_ACACT8p	1.3675713493907504e-05
R_ACACT9p	8.736413566842738e-06
R_ACALDtr	1.7936909884816443e-06
R_ACALDtx	-3.745826718248857e-09
R_ACCOALm	3.42226094834832e-06
R_ACCOAtr	-5.1028056087752335e-05
R_ACETONEt2	-4.4776123746675944e-06
R_ACGAGBSIDEtl	1.0655706119619412e-06
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.960894621249378e-07
R_ACGALtlg	-2.2280565547885822e-06
R_ACGAMK	3.559946976629258e-06
R_ACGAMPM	8.116304648771167e-05
R_ACGAMtly	4.859748631705352e-05
R_ACGBGBSIDEtl	2.228056546621504e-06
R_ACHtn	1.1936048093914853e-05
R_ACHVESSEC_1	1.4187698879558966e-06
R_ACN13ACNGALGBSIDEtg	-2.5060154645872856e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.5117479757484915e-09
R_ACNACNGALGBSIDEtg	-2.5059425298734617e-09
R_ACNAMlt	-5.010182698723942e-06
R_ACNAMtn	2.437514322917167e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-2.7697537405974026e-07
R_ACNML	-9.866820230103324e-06
R_ACOAD10m	8.104554526981722e-06
R_ACOAD8m	1.1028913959001962e-05
R_ACOAD9m	1.7300006708152738e-05
R_ACOAO7p	4.687969255269542e-06
R_ACODA	-4.993890457410943e-09
R_ACONTm	6.418988221071342e-05
R_ACP1_FMN	3.4094152400188094e-06
R_ACS2	1.1993350592376384e-06
R_ACSRTNMT	7.883322577824487e-08
R_ACt2r	-5.2367896483440646e-05
R_ADEt	-9.145983047754297e-05
R_ADK3	2.030555102828591e-06
R_ADK3m	3.14478557572051e-05
R_ADKd	-4.538825017803968e-06
R_ADMDC	2.2818481763650644e-05
R_ADNt4	2.336939887181111e-06
R_ADNtl	2.0807172956261583e-05
