	0
R_24_25DHVITD3tm	2.850899741215114e-08
R_25HVITD3t	5.4497534677303006e-06
R_COAtl	5.824206734249271e-06
R_EX_5adtststerone_e	5.073417227025034e-07
R_EX_5adtststerones_e	5.080529232315278e-07
R_EX_5fthf_e	-3.995475700291351e-09
R_EX_5htrp_e	2.976102158082361e-06
R_EX_5mthf_e	0.0001028142059067566
R_EX_5thf_e	-6.085024276125672e-09
R_EX_6dhf_e	-4.284936148957197e-09
R_24_25VITD3Hm	2.850899792490423e-08
R_24NPHte	6.908755047219106e-09
R_10FTHF7GLUtl	4.651106864969612e-06
R_10FTHFtm	-5.492755934918825e-05
R_11DOCRTSLtr	-3.8092388946614486e-07
R_13DAMPPOX	1.729063833543279e-06
R_24_25DHVITD2t	3.6884537498518832e-06
R_24_25DHVITD2tm	3.6884537500808667e-06
R_24_25DHVITD3t	4.051015719486184e-06
R_25VITD2Hm	5.507497793828808e-06
R_2AMACHYD	2.4699254364720356e-06
R_2AMACSULT	3.136074452059906e-06
R_2AMADPTm	9.061407931621412e-06
R_2MCITt	5.187270216797102e-06
R_2OXOADOXm	1.1381978546123883e-05
R_2OXOADPTm	2.2902749750786837e-06
R_34DHPHEt	-2.113793622131278e-05
R_34DHXMANDACOX	2.0248392839705698e-05
R_34HPLFM	2.55047132637215e-05
R_3AIBtm	1.1365549239835196e-05
R_3HAO	8.655129817342522e-08
R_3MOBt2im	2.58374088782376e-06
R_3MOPt2im	2.564816632320832e-06
R_3MOXTYROX	1.3912339718730182e-06
R_3SALAOX	5.679461081847803e-07
R_42A12BOOX	1.1234375798946372e-06
R_4HBZCOAFm	6.763450400897042e-06
R_4HBZFm	6.763450400522342e-06
R_4HDEBRISOQUINEte	7.3176266296437475e-09
R_4HOXPACDOX_NADP	-3.7947379610062115e-05
R_4MOPt2im	2.7218354528221744e-06
R_4MPTNLte	3.0112368360285524e-05
R_4NPHSULT	-5.373473083158942e-09
R_4PYRDX	3.7596846690912678e-06
R_5ADTSTSTERONEGLCtr	-3.875548378745597e-08
R_5ADTSTSTERONESULT	8.195782767762838e-07
R_5ADTSTSTERONEte	-5.0734172253597e-07
R_5FTHFt2_1	-1.99773664971703e-09
R_5HOXINOXDA	2.4036327841842065e-06
R_5THFtl	3.0996100992344844e-06
R_5THFtm	2.184587592997389e-06
R_7DHCHSTEROLtr	-7.574653324364522e-05
R_7DHFtm	2.3659466127923245e-06
R_A4GALTc	8.144034717101449e-06
R_A4GALTg	3.94692155757017e-06
R_A4GNT2g	-9.563163482203337e-09
R_AACTtm	0.00015218529799650854
R_ABO1g	3.5061674971692547e-07
R_ABO4g	5.330306057128864e-07
R_ABO5g	5.330305936600277e-07
R_ABO6g	4.6884138961075794e-07
R_ABO7g	4.6884137201719245e-07
R_ABO9g	3.9783876656235284e-07
R_ABTArm	-6.609656550640112e-05
R_ABTt	-1.3523195663424359e-05
R_ABUTt2rL	3.323705908676172e-05
R_ACACT10m	-1.1250924424999198e-05
R_ACACT5p	1.5975283839286814e-05
R_ACACT8p	1.257076525444309e-05
R_ACACT9p	8.399013505890063e-06
R_ACALDtr	1.1676058166515402e-05
R_ACALDtx	-3.745828168477683e-09
R_ACCOALm	3.421874246881465e-06
R_ACCOAtr	-2.753869571722571e-05
R_ACETONEt2	-2.3573606738325203e-06
R_ACGAGBSIDEtl	2.829519919755885e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-4.688413659387214e-07
R_ACGALtlg	-2.7963504266592665e-06
R_ACGAMK	4.7564392958929225e-06
R_ACGAMPM	7.955159698596129e-05
R_ACGAMtly	4.855202706748052e-05
R_ACGBGBSIDEtl	2.796350422253069e-06
R_ACHtn	2.3719841132918695e-08
R_ACHVESSEC_1	1.694537756072759e-08
R_ACN13ACNGALGBSIDEtg	-2.5787903687457536e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.4620111291627786e-09
R_ACNACNGALGBSIDEtg	-2.5782536314244986e-09
R_ACNAMlt	-5.100742833768525e-06
R_ACNAMtn	2.2327838003544098e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-3.362095301051582e-07
R_ACNML	-9.162043759419758e-06
R_ACOAD10m	7.008545984718562e-06
R_ACOAD8m	9.575183676401727e-06
R_ACOAD9m	1.2812883929569363e-05
R_ACOAO7p	4.3019514529944736e-06
R_ACODA	-4.993891831311936e-09
R_ACONTm	9.785079924730378e-05
R_ACP1_FMN	3.5070490574662383e-06
R_ACS2	1.2386805320202532e-06
R_ACSRTNMT	7.590610925923059e-08
R_ACt2r	-7.146968941885296e-05
R_ADEt	-0.00012799022050617725
R_ADK3	4.2477394114922006e-08
R_ADK3m	5.2065614819032935e-05
R_ADKd	-1.5654407557009892e-07
R_ADMDC	2.4174290875186855e-05
R_ADNt4	4.48694298473771e-06
R_ADNtl	1.5788732421518053e-05
R_ADNtm	-1.5349678040565973e-06
R_ADPMAN	-4.993890689863889e-09
R_ADPRIBt	-5.1309855537132925e-09
R_ADRNCOAtx	8.835602225580608e-06
R_ADRNCRNt	3.224705415503376e-06
R_ADSL2r	2.5470797716253823e-06
R_AG13T16g	1.8644311048504614e-07
R_AG13T18g	1.7398570351795373e-07
R_AG13T2g	1.8526411565966683e-07
R_AGMTm	1.4883075786266409e-06
R_AGTim	2.0683226369817685e-06
R_AHANDROSTANGLCte	-9.20303415072321e-09
R_AHEXASE2ly	-4.596584779470447e-09
R_AIRCr	2.547079774969929e-06
R_AKGMALtm	-3.949252427956629e-06
R_AKGt4_3	-2.1323224335296906e-06
R_AKR1C41	1.0711806369452601e-05
R_AKR1D	1.712427130488878e-08
