	0
R_24_25DHVITD3tm	2.850325365652811e-08
R_25HVITD3t	5.7348685693417445e-06
R_COAtl	5.643214920546258e-06
R_EX_5adtststerone_e	8.572205056900373e-09
R_EX_5adtststerones_e	8.5454554057951e-09
R_EX_5fthf_e	-3.995210065554922e-09
R_EX_5htrp_e	3.5603916051854534e-06
R_EX_5mthf_e	0.00010819507609036855
R_EX_5thf_e	-6.084357073721236e-09
R_EX_6dhf_e	-4.2848924894367535e-09
R_24_25VITD3Hm	2.8503258322175318e-08
R_24NPHte	6.908012099848815e-09
R_10FTHF7GLUtl	4.785985812834348e-06
R_10FTHFtm	-9.051048348387297e-05
R_11DOCRTSLtr	-9.886150752203005e-09
R_13DAMPPOX	1.4838948444451106e-06
R_24_25DHVITD2t	7.803919624932432e-06
R_24_25DHVITD2tm	7.803919626944711e-06
R_24_25DHVITD3t	4.268312672001118e-06
R_25VITD2Hm	5.335569428519503e-06
R_2AMACHYD	4.6161658612045835e-06
R_2AMACSULT	2.2453215426307405e-06
R_2AMADPTm	4.554243480181584e-06
R_2MCITt	5.106229994736311e-06
R_2OXOADOXm	1.8050235198997788e-05
R_2OXOADPTm	-1.3904814782365513e-05
R_34DHPHEt	-2.0241260320580313e-06
R_34DHXMANDACOX	3.506689194789081e-05
R_34HPLFM	2.496153596704548e-05
R_3AIBtm	4.273892942149697e-06
R_3HAO	6.175859748935646e-08
R_3MOBt2im	4.043423498308052e-06
R_3MOPt2im	4.071682083578443e-06
R_3MOXTYROX	1.1833880084474529e-06
R_3SALAOX	1.0686359173811555e-06
R_42A12BOOX	8.857616141965709e-07
R_4HBZCOAFm	6.630955315362064e-06
R_4HBZFm	6.630955314008979e-06
R_4HDEBRISOQUINEte	7.316812780655546e-09
R_4HOXPACDOX_NADP	-3.786214422028811e-05
R_4MOPt2im	4.587573426355351e-06
R_4MPTNLte	5.656162753463201e-06
R_4NPHSULT	-5.3728752696935445e-09
R_4PYRDX	4.8247294830230936e-06
R_5ADTSTSTERONEGLCtr	-2.087609035639204e-08
R_5ADTSTSTERONESULT	7.367521385366615e-07
R_5ADTSTSTERONEte	-8.572612404667002e-09
R_5FTHFt2_1	-1.9976463677684464e-09
R_5HOXINOXDA	7.722178373061484e-08
R_5THFtl	3.1911433862469307e-06
R_5THFtm	2.4811497417315254e-06
R_7DHCHSTEROLtr	-6.891735025366108e-05
R_7DHFtm	2.593949970507159e-06
R_A4GALTc	6.538278002885846e-06
R_A4GALTg	4.986819574873472e-06
R_A4GNT2g	-9.561946169825827e-09
R_AACTtm	8.700821627705135e-05
R_ABO1g	4.557407031584304e-07
R_ABO4g	6.307779602825105e-07
R_ABO5g	6.307778872933698e-07
R_ABO6g	5.202690109785881e-07
R_ABO7g	5.202689123910004e-07
R_ABO9g	4.4006945340135245e-07
R_ABTArm	-2.301039415518745e-06
R_ABTt	-1.211527713932542e-05
R_ABUTt2rL	3.420429529502923e-05
R_ACACT10m	-2.3448283386046098e-05
R_ACACT5p	1.8540549075622692e-05
R_ACACT8p	1.4251615003159357e-05
R_ACACT9p	6.769079945762035e-06
R_ACALDtr	1.1984033244025194e-06
R_ACALDtx	-3.745596124926642e-09
R_ACCOALm	3.179213363205431e-06
R_ACCOAtr	-6.322165657551664e-05
R_ACETONEt2	3.7935428914837033e-06
R_ACGAGBSIDEtl	9.355805745195345e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.202688802066757e-07
R_ACGALtlg	-2.5502443481706383e-06
R_ACGAMK	3.4081429176220646e-06
R_ACGAMPM	8.26220486824028e-05
R_ACGAMtly	4.8144593218363285e-05
R_ACGBGBSIDEtl	2.5502442825009464e-06
R_ACHtn	2.3719926398046987e-08
R_ACHVESSEC_1	1.690737613658879e-08
R_ACN13ACNGALGBSIDEtg	-2.7939614372085586e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.3658645523515496e-09
R_ACNACNGALGBSIDEtg	-2.793917201759921e-09
R_ACNAMlt	-3.694997421303803e-06
R_ACNAMtn	2.874019005604661e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.278722190859119e-07
R_ACNML	-1.0144697440303552e-05
R_ACOAD10m	2.7500134329450088e-08
R_ACOAD8m	6.769906384790358e-08
R_ACOAD9m	4.2635912286814737e-08
R_ACOAO7p	4.671392174450395e-06
R_ACODA	-4.993563447290572e-09
R_ACONTm	0.00010808797027656025
R_ACP1_FMN	3.5592401008144314e-06
R_ACS2	1.0900521413420572e-06
R_ACSRTNMT	7.912245343929432e-08
R_ACt2r	-4.415831903820111e-05
R_ADEt	-2.3883818506788973e-05
R_ADK3	5.634883501346444e-08
R_ADK3m	1.7792668456135044e-05
R_ADKd	-1.129370384950265e-07
R_ADMDC	1.9766011986985244e-05
R_ADNt4	5.90282380093178e-06
R_ADNtl	1.587464728876331e-05
R_ADNtm	1.0338648915642068e-05
R_ADPMAN	-4.993561994459661e-09
R_ADPRIBt	-5.1306296463117605e-09
R_ADRNCOAtx	7.469599218962175e-06
R_ADRNCRNt	7.822428223641653e-07
R_ADSL2r	2.386209652482929e-06
R_AG13T16g	1.0785547933239714e-07
R_AG13T18g	9.53991885765948e-08
R_AG13T2g	1.9489750317097654e-07
R_AGMTm	2.001553517936086e-08
R_AGTim	1.7025926082403146e-08
R_AHANDROSTANGLCte	-9.201715313322811e-09
R_AHEXASE2ly	-4.599401026705863e-09
R_AIRCr	2.3862096632382146e-06
R_AKGMALtm	-2.3017945237208126e-05
R_AKGt4_3	-0.00015009656341301997
R_AKR1C41	2.494052873198692e-06
R_AKR1D	1.717556001274063e-08
R_ALAGLYexR	-5.2121734014669085e-09
R_ALASERNaEx	2.277887770860132e-05
R_ALASm	9.89392744972506e-05
R_ALATHRNaEx	2.2844996458507016e-05
R_ALCD21_D	9.576868063412847e-05
R_ALCD22_D	0.0001522617667798487
R_ALCD2y	-3.745598178839238e-09
R_ALDD20xm	2.9004093634668604e-06
R_ALDD2xm	1.5376681963013075e-05
R_ALDD2y	1.087739500416074e-05
R_ALDSTRNte	3.1610739123499876e-08
R_ALDSTRNtm	-3.161076668478646e-08
R_ALOX15	6.03283668709359e-07
R_ALR2	9.3120116306189e-05
R_ALR3	9.396082576940135e-05
R_AMACR2p	7.172757678620967e-06
R_AMACRp	4.58050344786555e-06
R_AMETr	1.9670280191487477e-05
R_AMETt2m	8.397433633990092e-06
R_AMPDA	0.00019223681470710574
R_AMY2e	-7.1623147135380094e-09
R_ANDRSTRNGLCte	3.209374622309413e-08
R_ANDRSTRNGLCtr	-3.2094032834106834e-08
R_ANDRSTRNtr	-4.643946144675115e-06
R_ANTIPYRENEte	-6.61022396541977e-10
R_APOCFm	9.422429105780672e-06
R_APOC_LYS_BTNP	6.626999469044881e-06
R_APRTO2	5.634476620046348e-06
R_ARAB_Lt	-7.147060721024445e-16
R_ARABR	-4.9935652834953714e-09
R_ARACHDCOAtx	4.757818806455649e-05
R_ARACHDt2	2.304489583466931e-05
R_ARACHt	3.9950182759207475e-05
R_ARGDCm	4.484834514872915e-08
R_ARGLYSex	0.00013075324833002056
R_ARGSS	1.1823279180388224e-06
R_ARGt4	1.7088837034379204e-08
R_ARTCOAL3_cho	1.0899044566164973e-06
R_R_group_phosphotase_2	3.7564357776020962e-06
R_R_group_phosphotase_3	0.00010761721353698406
R_ASCBOX_1	4.2929736416424946e-07
R_ASCBt	0.00015370601514980153
R_ASNCYSNaEx	2.3566502623070806e-05
R_ASNGLNNaEx	2.309323365998206e-05
R_ASNNm	9.028880585330856e-05
R_ASNS1	1.0680488467806892e-06
R_ASNt4	4.261952055648055e-05
R_ASPDxt	1.9971697143295053e-09
R_ASPGLUm	1.6755287561273646e-05
R_ASPNATm	4.345851321026217e-05
R_ASPt6	8.64759849320332e-06
R_ASPTAm	1.3018373371240233e-05
R_ATP1ter	2.2966654234991835e-05
R_BILGLCURte	1.920274585953674e-06
R_BILIRED	9.309859999862002e-07
R_EX_6htststerone_e	1.571383001497395e-08
R_ATPasel_1	2.40749773788157e-06
R_ATPtn	3.850769544781751e-06
R_ATPtx	2.3973654343034667e-05
R_AVITE2t	-4.989454960302453e-09
R_B3GALT3g	4.3808540591133704e-06
R_B3GALT42g	6.904935614818544e-09
R_B3GALTg	1.9685784477807555e-06
R_B3GNT11g	2.969699355384603e-06
R_B3GNT310g	5.263752681741729e-06
R_B3GNT315g	6.04194780762235e-07
R_B3GNT31g	6.059654902718092e-07
R_B3GNT34g	4.325632347035313e-07
R_B3GNT37g	1.2134007201791697e-08
