	0
R_24_25DHVITD3tm	3.050923829761923e-08
R_25HVITD3t	5.549989577254e-06
R_COAtl	9.153177832035148e-06
R_EX_5adtststerone_e	4.228424178472079e-07
R_EX_5adtststerones_e	4.1954130353127894e-07
R_EX_5fthf_e	-3.995503979753456e-09
R_EX_5htrp_e	3.2481520839747202e-06
R_EX_5mthf_e	7.320953704665137e-05
R_EX_5thf_e	-6.085099462510568e-09
R_EX_6dhf_e	-4.28494174517513e-09
R_24_25VITD3Hm	3.0509238699641394e-08
R_24NPHte	6.9088378490400615e-09
R_10FTHF7GLUtl	4.768470159708521e-06
R_10FTHFtm	-0.00010270176743873427
R_11DOCRTSLtr	-2.7540565498279657e-08
R_13DAMPPOX	1.5591157086335822e-06
R_24_25DHVITD2t	7.654942222403566e-06
R_24_25DHVITD2tm	7.654942222455607e-06
R_24_25DHVITD3t	4.1511689384925166e-06
R_25VITD2Hm	5.2656300834307e-06
R_2AMACHYD	4.227944492072428e-06
R_2AMACSULT	3.4765587900009026e-06
R_2AMADPTm	4.5922936676326236e-06
R_2MCITt	5.5239943804186176e-06
R_2OXOADOXm	1.4515924949110026e-05
R_2OXOADPTm	-1.2042199449981681e-05
R_34DHPHEt	-6.662720720624699e-06
R_34DHXMANDACOX	3.113460116249689e-05
R_34HPLFM	2.4469506229432558e-05
R_3AIBtm	1.2369433874750285e-05
R_3HAO	3.546822368217411e-06
R_3MOBt2im	1.932939580563328e-05
R_3MOPt2im	1.993794567546267e-05
R_3MOXTYROX	8.872740680926361e-07
R_3SALAOX	3.350367680753086e-07
R_42A12BOOX	6.214588228331541e-07
R_4HBZCOAFm	6.531629677463541e-06
R_4HBZFm	6.531629677362927e-06
R_4HDEBRISOQUINEte	7.317712102938856e-09
R_4HOXPACDOX_NADP	-4.021167873360931e-05
R_4MOPt2im	2.3114350966583347e-05
R_4MPTNLte	2.0095996124670085e-05
R_4NPHSULT	-5.373543082720644e-09
R_4PYRDX	4.96769047754822e-06
R_5ADTSTSTERONEGLCtr	-3.9755482007103327e-08
R_5ADTSTSTERONESULT	7.818883119622283e-07
R_5ADTSTSTERONEte	-4.2284241788190235e-07
R_5FTHFt2_1	-1.9977517973224224e-09
R_5HOXINOXDA	2.998680541807519e-06
R_5THFtl	3.132044282781743e-06
R_5THFtm	2.2823115161593743e-06
R_7DHCHSTEROLtr	-6.645907526329695e-05
R_7DHFtm	2.494468946869638e-06
R_A4GALTc	6.8091643231245336e-06
R_A4GALTg	5.341589221486559e-06
R_A4GNT2g	-9.5632736923164e-09
R_AACTtm	0.0001217631089143259
R_ABO1g	3.2569738622591546e-08
R_ABO4g	3.324633360205284e-08
R_ABO5g	3.324619777183938e-08
R_ABO6g	3.308174824002774e-08
R_ABO7g	3.308160025907122e-08
R_ABO9g	5.487408228225165e-08
R_ABTArm	-5.271801536318316e-05
R_ABTt	-1.4322499475583061e-05
R_ABUTt2rL	3.4555433214032705e-05
