	0
R_24_25DHVITD3tm	2.9135423091491974e-08
R_25HVITD3t	5.186531834622254e-06
R_COAtl	5.518367760345977e-06
R_EX_5adtststerone_e	2.641385124374507e-07
R_EX_5adtststerones_e	2.619312129935325e-07
R_EX_5fthf_e	-3.9953163728789765e-09
R_EX_5htrp_e	2.778405473025103e-06
R_EX_5mthf_e	8.34633844775945e-05
R_EX_5thf_e	-6.0846019750426805e-09
R_EX_6dhf_e	-4.2849083066454074e-09
R_24_25VITD3Hm	2.91354236327257e-08
R_24NPHte	6.908285415940796e-09
R_10FTHF7GLUtl	4.5628870876494865e-06
R_10FTHFtm	-6.069021852938075e-05
R_11DOCRTSLtr	-1.8151423725187854e-08
R_13DAMPPOX	1.516329930413736e-06
R_24_25DHVITD2t	7.4602375672305765e-06
R_24_25DHVITD2tm	7.4602375675636434e-06
R_24_25DHVITD3t	3.858490685008931e-06
R_25VITD2Hm	4.9002432996065465e-06
R_2AMACHYD	2.4141153484450096e-06
R_2AMACSULT	2.512011400893771e-06
R_2AMADPTm	1.0001642970099839e-05
R_2MCITt	5.516688465545538e-06
R_2OXOADOXm	1.819583348303122e-05
R_2OXOADPTm	-2.8280653721532087e-05
R_34DHPHEt	-1.4280929787267556e-05
R_34DHXMANDACOX	2.8116178448500673e-05
R_34HPLFM	2.5883425569351443e-05
R_3AIBtm	1.1553010680420608e-05
R_3HAO	1.4892848221176314e-06
R_3MOBt2im	2.9802794814039885e-05
R_3MOPt2im	2.8534381656706437e-05
R_3MOXTYROX	1.377178079044238e-06
R_3SALAOX	7.176876808540067e-07
R_42A12BOOX	1.1100407844933172e-06
R_4HBZCOAFm	6.328075371632436e-06
R_4HBZFm	6.3280753710877324e-06
R_4HDEBRISOQUINEte	7.317116881150332e-09
R_4HOXPACDOX_NADP	-4.304864665663488e-05
R_4MOPt2im	3.02910566257579e-05
R_4MPTNLte	1.688940798713623e-05
R_4NPHSULT	-5.373098549421584e-09
R_4PYRDX	4.5194176950431875e-06
R_5ADTSTSTERONEGLCtr	-3.82112070075602e-08
R_5ADTSTSTERONESULT	7.587089816615822e-07
R_5ADTSTSTERONEte	-2.6413851230214225e-07
R_5FTHFt2_1	-1.997661779051807e-09
R_5HOXINOXDA	3.383839066890869e-06
R_5THFtl	3.0349437580429184e-06
R_5THFtm	2.27090868597582e-06
R_7DHCHSTEROLtr	-7.111043120124408e-05
R_7DHFtm	2.4053208559811357e-06
R_A4GALTc	6.223345041730618e-06
R_A4GALTg	4.313441341524888e-06
R_A4GNT2g	-9.562528778843724e-09
R_AACTtm	0.0001343265761083387
R_ABO1g	4.606293335686351e-07
R_ABO4g	6.405630837355569e-07
R_ABO5g	6.405630709332977e-07
R_ABO6g	5.290643749246426e-07
R_ABO7g	5.290643557420704e-07
R_ABO9g	4.468719836114854e-07
R_ABTArm	-3.837509738800846e-05
R_ABTt	-1.3871819248049977e-05
R_ABUTt2rL	3.433479720693286e-05
R_ACACT10m	-1.542025150383375e-05
