	0
R_24_25DHVITD3tm	2.994827213764805e-08
R_25HVITD3t	5.015341660842554e-06
R_COAtl	5.347681204626725e-06
R_EX_5adtststerone_e	2.9086981541762147e-07
R_EX_5adtststerones_e	2.910169377388916e-07
R_EX_5fthf_e	-3.995436998610602e-09
R_EX_5htrp_e	3.130641147108121e-06
R_EX_5mthf_e	9.67147023861678e-05
R_EX_5thf_e	-6.084926576499505e-09
R_EX_6dhf_e	-4.284933588505346e-09
R_24_25VITD3Hm	2.9948312385563725e-08
R_24NPHte	6.908635830082943e-09
R_10FTHF7GLUtl	4.527629062132943e-06
R_10FTHFtm	-7.586880431982926e-05
R_11DOCRTSLtr	-4.6078287209774804e-07
R_13DAMPPOX	1.5069273142176778e-06
R_24_25DHVITD2t	5.305352108918998e-06
R_24_25DHVITD2tm	5.305352131338564e-06
R_24_25DHVITD3t	3.7331711922571065e-06
R_25VITD2Hm	4.751269356808663e-06
R_2AMACHYD	5.226877517307618e-06
R_2AMACSULT	1.5989944444766424e-06
R_2AMADPTm	7.080398842523698e-06
R_2MCITt	5.811360446247166e-06
R_2OXOADOXm	1.2468330948173234e-05
R_2OXOADPTm	-2.3922976621767403e-05
R_34DHPHEt	-1.0976763057651676e-05
R_34DHXMANDACOX	3.720051364181076e-05
R_34HPLFM	2.404598065208416e-05
R_3AIBtm	9.666211200221129e-06
R_3HAO	3.107574542019452e-06
R_3MOBt2im	2.1920555517803558e-05
R_3MOPt2im	2.164149810679472e-05
R_3MOXTYROX	1.4133459164057303e-06
R_3SALAOX	2.0025491453135036e-06
R_42A12BOOX	1.179644555714815e-06
R_4HBZCOAFm	6.312894087805165e-06
R_4HBZFm	6.312894079256448e-06
R_4HDEBRISOQUINEte	7.317493857378343e-09
R_4HOXPACDOX_NADP	-3.8670861108036636e-05
R_4MOPt2im	2.5683551974513275e-05
R_4MPTNLte	2.156521720637558e-05
R_4NPHSULT	-5.3733438254433e-09
R_4PYRDX	4.282759437174155e-06
R_5ADTSTSTERONEGLCtr	-6.501998660798924e-07
R_5ADTSTSTERONESULT	7.196650760599166e-07
R_5ADTSTSTERONEte	-2.908700098488981e-07
R_5FTHFt2_1	-1.997727490377077e-09
R_5HOXINOXDA	1.8707826508139024e-06
R_5THFtl	3.0233647390146e-06
R_5THFtm	2.318998678509099e-06
R_7DHCHSTEROLtr	-7.646347878320636e-05
R_7DHFtm	2.4232516293472284e-06
R_A4GALTc	5.56053867277256e-06
R_A4GALTg	4.5850873123859295e-06
R_A4GNT2g	-9.562063819537166e-09
R_AACTtm	0.00010511721988891096
R_ABO1g	4.4104783008034167e-07
R_ABO4g	5.931584450599822e-07
R_ABO5g	5.931578821014483e-07
R_ABO6g	4.86933586966911e-07
R_ABO7g	4.86932830550985e-07
R_ABO9g	4.1078212679936544e-07
R_ABTArm	-4.093696237617364e-05
R_ABTt	-1.160594093651754e-05
R_ABUTt2rL	3.220796964749188e-05
R_ACACT10m	-1.8438034501910838e-05
R_ACACT5p	1.576347407386547e-05
