	0
R_24_25DHVITD3tm	2.829714135108236e-08
R_25HVITD3t	5.7899439116979035e-06
R_COAtl	5.724540835617964e-06
R_EX_5adtststerone_e	8.814014476610232e-09
R_EX_5adtststerones_e	8.780491930759915e-09
R_EX_5fthf_e	-3.995534791911837e-09
R_EX_5htrp_e	3.877808413065009e-06
R_EX_5mthf_e	8.835286835560258e-05
R_EX_5thf_e	-6.085190872029411e-09
R_EX_6dhf_e	-4.284947431598685e-09
R_24_25VITD3Hm	2.8297141782540614e-08
R_24NPHte	6.908945145156498e-09
R_10FTHF7GLUtl	4.931958007298176e-06
R_10FTHFtm	-9.24590592576019e-05
R_11DOCRTSLtr	-9.424158349535805e-09
R_13DAMPPOX	1.60797522863812e-06
R_24_25DHVITD2t	8.386238585275652e-06
R_24_25DHVITD2tm	8.386238585525452e-06
R_24_25DHVITD3t	4.320354759161649e-06
R_25VITD2Hm	5.568959523419986e-06
R_2AMACHYD	2.895796718507918e-06
R_2AMACSULT	2.223048754038115e-06
R_2AMADPTm	8.981513803391246e-06
R_2MCITt	5.248975728192051e-06
R_2OXOADOXm	1.2632958792876958e-05
R_2OXOADPTm	-2.1690702960798936e-05
R_34DHPHEt	-1.9030397691778122e-05
R_34DHXMANDACOX	2.5991497892785542e-05
R_34HPLFM	2.410365977421891e-05
R_3AIBtm	9.699046412561894e-06
R_3HAO	7.921079683657358e-08
R_3MOBt2im	3.5437842397095798e-06
R_3MOPt2im	3.560117401234242e-06
R_3MOXTYROX	1.2475376045817388e-06
R_3SALAOX	8.987849855618402e-07
R_42A12BOOX	9.276173343897298e-07
R_4HBZCOAFm	6.924557067161663e-06
R_4HBZFm	6.924557066752268e-06
R_4HDEBRISOQUINEte	7.317834851972016e-09
R_4HOXPACDOX_NADP	-3.884304513081249e-05
R_4MOPt2im	3.887290326923254e-06
R_4MPTNLte	6.801635836814479e-06
R_4NPHSULT	-5.373622186111149e-09
R_4PYRDX	4.318967074125324e-06
R_5ADTSTSTERONEGLCtr	-2.0997753903684302e-08
R_5ADTSTSTERONESULT	7.623109254950577e-07
R_5ADTSTSTERONEte	-8.814108345966964e-09
R_5FTHFt2_1	-1.997766341244045e-09
R_5HOXINOXDA	7.70312601344747e-08
R_5THFtl	3.2326970100457486e-06
R_5THFtm	2.5840084415668096e-06
R_7DHCHSTEROLtr	-7.326448521540602e-05
R_7DHFtm	2.732200103855442e-06
R_A4GALTc	6.957791764353877e-06
R_A4GALTg	4.2212703794085316e-06
R_A4GNT2g	-9.56348625453317e-09
R_AACTtm	0.00011846466309608367
R_ABO1g	2.5214243240675397e-07
R_ABO4g	4.066858702487207e-07
R_ABO5g	4.0668585437838613e-07
R_ABO6g	3.6776569506456833e-07
R_ABO7g	3.6776567347528415e-07
R_ABO9g	3.1643353722520494e-07
R_ABTArm	-2.7605525932276453e-05
R_ABTt	-1.4112043517436335e-05
R_ABUTt2rL	3.6411071011611604e-05
R_ACACT10m	-2.9793118018484055e-05
R_ACACT5p	2.076890351004196e-05
R_ACACT8p	1.5096288473209762e-05
R_ACACT9p	8.574634104516199e-06
R_ACALDtr	1.3872088382230197e-06
