	0
R_24_25DHVITD3tm	3.120362352038901e-08
R_25HVITD3t	5.201932566256673e-06
R_COAtl	5.5331351822909824e-06
R_EX_5adtststerone_e	7.420096989479985e-07
R_EX_5adtststerones_e	7.566368539525803e-07
R_EX_5fthf_e	-3.9955031054528245e-09
R_EX_5htrp_e	3.8826268506687855e-06
R_EX_5mthf_e	0.00012634766117808338
R_EX_5thf_e	-6.085096634911302e-09
R_EX_6dhf_e	-4.284942196203234e-09
R_24_25VITD3Hm	3.120362403186139e-08
R_24NPHte	6.908833460189667e-09
R_10FTHF7GLUtl	4.429019376903098e-06
R_10FTHFtm	-5.062953720047156e-05
R_11DOCRTSLtr	-3.0650704755524893e-08
R_13DAMPPOX	1.6027239147422406e-06
R_24_25DHVITD2t	7.306261028759697e-06
R_24_25DHVITD2tm	7.306261028839495e-06
R_24_25DHVITD3t	3.871657672582102e-06
R_25VITD2Hm	4.813733428133543e-06
R_2AMACHYD	3.84981467170287e-06
R_2AMACSULT	1.6442150330385485e-06
R_2AMADPTm	4.8205425876913545e-06
R_2MCITt	5.609635086587655e-06
R_2OXOADOXm	1.2962888240181103e-05
R_2OXOADPTm	-1.5924294509356415e-05
R_34DHPHEt	-8.883727746528353e-06
R_34DHXMANDACOX	3.64991329589448e-05
R_34HPLFM	2.6018713576856506e-05
R_3AIBtm	1.2420644616165967e-05
R_3HAO	3.2457878996027933e-06
R_3MOBt2im	2.429787114336876e-05
R_3MOPt2im	2.4224014977907576e-05
R_3MOXTYROX	4.567240143487153e-07
R_3SALAOX	2.9476708482550906e-06
R_42A12BOOX	2.952115913893577e-07
R_4HBZCOAFm	6.330144848673558e-06
R_4HBZFm	6.330144848548658e-06
R_4HDEBRISOQUINEte	7.317711200882648e-09
R_4HOXPACDOX_NADP	-3.748908737064016e-05
R_4MOPt2im	2.594882225865139e-05
R_4MPTNLte	3.8053445992797946e-05
R_4NPHSULT	-5.373540890030171e-09
R_4PYRDX	4.664519705498832e-06
R_5ADTSTSTERONEGLCtr	-4.0740052487803213e-08
R_5ADTSTSTERONESULT	7.971868407376237e-07
R_5ADTSTSTERONEte	-7.420096989618763e-07
R_5FTHFt2_1	-1.9977511520052893e-09
R_5HOXINOXDA	1.1268549902326407e-06
R_5THFtl	2.953219319690864e-06
R_5THFtm	1.9972560261413697e-06
R_7DHCHSTEROLtr	-7.854626727244254e-05
R_7DHFtm	2.236483244544285e-06
R_A4GALTc	7.603616181624945e-06
R_A4GALTg	5.2299113782409284e-06
R_A4GNT2g	-9.56328609417979e-09
R_AACTtm	0.00015508860671744132
R_ABO1g	4.931542238253983e-07
R_ABO4g	6.828783088719259e-07
R_ABO5g	6.828783048039994e-07
R_ABO6g	5.613894556062704e-07
R_ABO7g	5.61389449323102e-07
R_ABO9g	4.7531796990192554e-07
R_ABTArm	-6.298963412254815e-05
R_ABTt	-1.241010920532623e-05
R_ABUTt2rL	3.3097807577920496e-05
R_ACACT10m	-1.7423709136710208e-05
R_ACACT5p	2.0479893402480798e-05
R_ACACT8p	1.4767449306909985e-05
R_ACACT9p	8.08457253430317e-06
R_ACALDtr	1.1809698924555162e-05
R_ACALDtx	-3.7458542656576554e-09
R_ACCOALm	3.464980238012186e-06
R_ACCOAtr	-2.8585545384526845e-05
R_ACETONEt2	-3.4907496209712896e-06
R_ACGAGBSIDEtl	9.973544653138489e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.613894470783698e-07
R_ACGALtlg	-2.602653773303709e-06
R_ACGAMK	7.220937767053737e-06
R_ACGAMPM	9.761599078206284e-05
R_ACGAMtly	4.6796000354131645e-05
R_ACGBGBSIDEtl	2.602653771267144e-06
R_ACHtn	2.5051153439842322e-08
R_ACHVESSEC_1	1.2808387229993313e-06
R_ACN13ACNGALGBSIDEtg	-2.9266898661506335e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.294695426203642e-09
R_ACNACNGALGBSIDEtg	-2.92668852694411e-09
R_ACNAMlt	-4.454501302209035e-06
R_ACNAMtn	2.9565135548810517e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.76152581613265e-07
R_ACNML	-1.141036672997961e-05
R_ACOAD10m	5.945690355835254e-06
R_ACOAD8m	8.775064722049697e-06
R_ACOAD9m	1.1213536096579824e-05
R_ACOAO7p	4.472549557460459e-06
R_ACODA	-4.993928104379819e-09
R_ACONTm	7.715754787741835e-05
R_ACP1_FMN	3.2813095386940994e-06
R_ACS2	1.2122030625671965e-06
R_ACSRTNMT	8.207109288465592e-08
R_ACt2r	-4.6027163538166216e-05
R_ADEt	-0.00014364671684065355
R_ADK3	2.1727301299516617e-06
R_ADK3m	4.2092963106026005e-05
R_ADKd	-1.9203459381522594e-05
R_ADMDC	2.345804843251198e-05
R_ADNt4	2.3024596405905526e-05
