	0
R_24_25DHVITD3tm	2.9031634343062995e-08
R_25HVITD3t	5.3438273983560935e-06
R_COAtl	5.544505245320963e-06
R_EX_5adtststerone_e	6.327182878601567e-07
R_EX_5adtststerones_e	6.232805399714048e-07
R_EX_5fthf_e	-3.995414624147209e-09
R_EX_5htrp_e	2.2351833017866807e-06
R_EX_5mthf_e	0.00011415424825705206
R_EX_5thf_e	-6.084859248411956e-09
R_EX_6dhf_e	-4.284926184705551e-09
R_24_25VITD3Hm	2.9031636643848426e-08
R_24NPHte	6.908571353880788e-09
R_10FTHF7GLUtl	4.6041430408622075e-06
R_10FTHFtm	-7.06633411873131e-05
R_11DOCRTSLtr	-4.23538286178915e-07
R_13DAMPPOX	1.3580726829047485e-06
R_24_25DHVITD2t	7.057775233854091e-06
R_24_25DHVITD2tm	7.057775234499408e-06
R_24_25DHVITD3t	3.9997060155699815e-06
R_25VITD2Hm	4.933482481662087e-06
R_2AMACHYD	4.030659765340478e-06
R_2AMACSULT	2.7571388200187813e-06
R_2AMADPTm	5.2362951125566135e-06
R_2MCITt	5.6951266506691245e-06
R_2OXOADOXm	1.88416344001352e-05
R_2OXOADPTm	-1.0655225853637373e-05
R_34DHPHEt	-3.0554184348705374e-06
R_34DHXMANDACOX	3.9853317440066705e-05
R_34HPLFM	3.580218712016109e-05
R_3AIBtm	8.229248827238333e-06
R_3HAO	2.905733699370207e-06
R_3MOBt2im	2.2469690972734546e-05
R_3MOPt2im	2.1979400661939485e-05
R_3MOXTYROX	1.012894314617041e-06
R_3SALAOX	5.74391432785204e-07
R_42A12BOOX	7.213299721350874e-07
R_4HBZCOAFm	6.834162034834168e-06
R_4HBZFm	6.834162033605984e-06
R_4HDEBRISOQUINEte	7.317412523133449e-09
R_4HOXPACDOX_NADP	-3.884905685616613e-05
R_4MOPt2im	2.349101164492856e-05
R_4MPTNLte	3.235022093986406e-05
R_4NPHSULT	-5.373325083490865e-09
R_4PYRDX	4.656960224627693e-06
R_5ADTSTSTERONEGLCtr	-3.9196529716400974e-08
R_5ADTSTSTERONESULT	7.224652825675582e-07
R_5ADTSTSTERONEte	-6.327182888662963e-07
R_5FTHFt2_1	-1.9977061602172164e-09
R_5HOXINOXDA	1.484781614345676e-06
R_5THFtl	3.101527604507104e-06
R_5THFtm	2.2973332106865363e-06
R_7DHCHSTEROLtr	-8.313193562652782e-05
R_7DHFtm	2.455933957895562e-06
R_A4GALTc	6.862906452752976e-06
R_A4GALTg	4.245628247835642e-06
R_A4GNT2g	-9.562983939394223e-09
R_AACTtm	0.00013445596318738956
R_ABO1g	3.1457245577817094e-08
R_ABO4g	3.2095563147213983e-08
