	0
R_24_25DHVITD3tm	3.241644407189683e-08
R_25HVITD3t	5.8144141243353376e-06
R_COAtl	5.574381240956716e-06
R_EX_5adtststerone_e	1.1595914822110087e-08
R_EX_5adtststerones_e	1.158479825610903e-08
R_EX_5fthf_e	-3.9948800066580414e-09
R_EX_5htrp_e	2.6106750997123562e-08
R_EX_5mthf_e	8.018788009905506e-05
R_EX_5thf_e	-6.084479680507071e-09
R_EX_6dhf_e	-4.2849041918813224e-09
R_24_25VITD3Hm	3.241647212963959e-08
R_24NPHte	6.908142072270529e-09
R_10FTHF7GLUtl	4.53283384542133e-06
R_10FTHFtm	-7.429630154342365e-05
R_11DOCRTSLtr	-1.511150263602823e-08
R_13DAMPPOX	2.140288492428165e-06
R_24_25DHVITD2t	7.575720798669999e-06
R_24_25DHVITD2tm	7.575720811319603e-06
R_24_25DHVITD3t	4.35000121530929e-06
R_25VITD2Hm	5.019070419489237e-06
R_2AMACHYD	2.9010172889520132e-06
R_2AMACSULT	2.1838412705681848e-06
R_2AMADPTm	3.634581912983809e-06
R_2MCITt	5.988770748512062e-06
R_2OXOADOXm	1.9770602516636093e-05
R_2OXOADPTm	-1.0828371351475285e-05
R_34DHPHEt	-1.6673986915356263e-06
R_34DHXMANDACOX	3.0321562863443174e-05
R_34HPLFM	3.3425617196287255e-05
R_3AIBtm	7.050199327924699e-06
R_3HAO	6.803346080865458e-08
R_3MOBt2im	3.080624675392066e-05
R_3MOPt2im	2.9127918725110197e-05
R_3MOXTYROX	4.1168048622476226e-07
R_3SALAOX	1.1537521593628364e-06
R_42A12BOOX	2.610866804801659e-07
R_4HBZCOAFm	6.770738058242687e-06
R_4HBZFm	6.770738051681963e-06
R_4HDEBRISOQUINEte	7.316906792259603e-09
R_4HOXPACDOX_NADP	-3.452072681610352e-05
R_4MOPt2im	3.221237565263074e-05
R_4MPTNLte	1.0005028931465293e-05
R_4NPHSULT	-5.3729549837067125e-09
R_4PYRDX	4.8384142735287405e-06
R_5ADTSTSTERONEGLCtr	-2.3675870236550267e-08
R_5ADTSTSTERONESULT	7.400986138418608e-07
