	0
R_24_25DHVITD3tm	2.8122853241801214e-08
R_25HVITD3t	5.587309234222904e-06
R_COAtl	5.276717690537447e-06
R_EX_5adtststerone_e	4.123463653860071e-10
R_EX_5adtststerones_e	4.1001502193438455e-10
R_EX_5fthf_e	-3.99518750721084e-09
R_EX_5htrp_e	2.4940406318785246e-06
R_EX_5mthf_e	0.000120947468855305
R_EX_5thf_e	-6.084275673556849e-09
R_EX_6dhf_e	-4.284876259363912e-09
R_24_25VITD3Hm	2.812285375321938e-08
R_24NPHte	6.907942287637248e-09
R_10FTHF7GLUtl	4.711322974165766e-06
R_10FTHFtm	-5.651005404487541e-05
R_11DOCRTSLtr	-7.325938522484421e-09
R_13DAMPPOX	1.301101984471642e-06
R_24_25DHVITD2t	7.568779247429935e-06
R_24_25DHVITD2tm	7.568779247693613e-06
R_24_25DHVITD3t	4.1069191733592025e-06
R_25VITD2Hm	5.295789622599724e-06
R_2AMACHYD	2.9867127906627175e-06
R_2AMACSULT	2.2017635274255987e-06
R_2AMADPTm	1.6926773758341713e-08
R_2MCITt	6.8374784842131775e-06
R_2OXOADOXm	1.70523714130566e-05
R_2OXOADPTm	3.866164299853904e-11
R_34DHPHEt	-4.2366770673225005e-06
R_34DHXMANDACOX	3.793249438956148e-05
R_34HPLFM	3.2399023252457915e-05
R_3AIBtm	1.0277315761198598e-05
R_3HAO	2.515786579030939e-06
R_3MOBt2im	2.8116488977047993e-06
R_3MOPt2im	2.7849409970845396e-06
R_3MOXTYROX	1.839144304405238e-06
R_3SALAOX	7.822643305691046e-07
R_42A12BOOX	1.5660925487964716e-06
R_4HBZCOAFm	7.656969759545218e-06
R_4HBZFm	7.656969758941534e-06
R_4HDEBRISOQUINEte	7.3167567143928025e-09
R_4HOXPACDOX_NADP	-3.481541112763942e-05
R_4MOPt2im	2.9944182564078936e-06
R_4MPTNLte	4.0339803072941827e-07
R_4NPHSULT	-5.372799705138931e-09
R_4PYRDX	3.6727269986797095e-06
R_5ADTSTSTERONEGLCtr	-1.3378867978752762e-08
R_5ADTSTSTERONESULT	6.874034345176472e-07
R_5ADTSTSTERONEte	-4.1571768943926557e-10
R_5FTHFt2_1	-1.9975930146132193e-09
R_5HOXINOXDA	3.613124264945089e-06
R_5THFtl	3.192550517554238e-06
R_5THFtm	2.624149561758493e-06
R_7DHCHSTEROLtr	-6.784169810897939e-05
R_7DHFtm	2.6689459776546576e-06
R_A4GALTc	7.95222171767751e-06
R_A4GALTg	7.705005016997446e-07
R_A4GNT2g	-9.562116594212775e-09
R_AACTtm	7.44057300785042e-05
R_ABO1g	4.2337013318044514e-07
R_ABO4g	5.9082819633266e-07
R_ABO5g	5.908281794130346e-07
