	0
R_24_25DHVITD3tm	3.1029961885999796e-08
R_25HVITD3t	5.022846833787481e-06
R_COAtl	5.364916295588773e-06
R_EX_5adtststerone_e	8.533456212489465e-09
R_EX_5adtststerones_e	8.534775403773454e-09
R_EX_5fthf_e	-3.995382497068434e-09
R_EX_5htrp_e	3.4871822363995164e-06
R_EX_5mthf_e	0.000148142219907655
R_EX_5thf_e	-6.084776849046847e-09
R_EX_6dhf_e	-4.284920633590428e-09
R_24_25VITD3Hm	3.102996266388775e-08
R_24NPHte	6.908479444761584e-09
R_10FTHF7GLUtl	4.507022179928849e-06
R_10FTHFtm	-8.450734122732867e-05
R_11DOCRTSLtr	-1.1781427420448631e-08
R_13DAMPPOX	1.5903504204800578e-06
R_24_25DHVITD2t	4.8230736624660375e-06
R_24_25DHVITD2tm	4.823073662580529e-06
R_24_25DHVITD3t	3.7178077979746482e-06
R_25VITD2Hm	4.6623487176315976e-06
R_2AMACHYD	4.132285212370113e-06
R_2AMACSULT	2.6579903495138613e-06
R_2AMADPTm	5.610385640379082e-06
R_2MCITt	5.5989131379427515e-06
R_2OXOADOXm	1.0205461050877274e-05
R_2OXOADPTm	-1.651300132162999e-05
R_34DHPHEt	-3.2873091842184135e-05
R_34DHXMANDACOX	2.341853903434568e-05
R_34HPLFM	1.525525494186844e-05
R_3AIBtm	1.0832644723673436e-05
R_3HAO	8.291841839953547e-08
R_3MOBt2im	7.3313344306907835e-06
R_3MOPt2im	7.424885795519198e-06
R_3MOXTYROX	1.0806633593625405e-06
R_3SALAOX	1.0907521706196577e-06
R_42A12BOOX	8.325334749231805e-07
R_4HBZCOAFm	6.347389523590763e-06
R_4HBZFm	6.347389523399943e-06
R_4HDEBRISOQUINEte	7.317328822725733e-09
R_4HOXPACDOX_NADP	-2.259786720478288e-05
R_4MOPt2im	8.63726608277618e-06
R_4MPTNLte	8.190927474244908e-06
R_4NPHSULT	-5.373255507201691e-09
R_4PYRDX	4.459040422139654e-06
R_5ADTSTSTERONEGLCtr	-4.454836105907689e-08
R_5ADTSTSTERONESULT	7.831633802579674e-07
R_5ADTSTSTERONEte	-8.533670992072473e-09
R_5FTHFt2_1	-1.997690603217084e-09
R_5HOXINOXDA	8.054672166225851e-08
R_5THFtl	2.8977860492898633e-06
R_5THFtm	2.282457716870634e-06
R_7DHCHSTEROLtr	-5.988334593335504e-05
R_7DHFtm	2.400020572262268e-06
R_A4GALTc	7.525126091478818e-06
R_A4GALTg	4.28905429018106e-06
R_A4GNT2g	-9.5626915794468e-09
R_AACTtm	0.00011118208829147269
R_ABO1g	3.285101483923196e-08
R_ABO4g	3.350082959466145e-08
R_ABO5g	3.350059585774649e-08
R_ABO6g	3.325100723678738e-08
R_ABO7g	3.3250746996645015e-08
R_ABO9g	5.4981817319381045e-08
R_ABTArm	-5.259114216597891e-05
R_ABTt	-1.1815037855272825e-05
R_ABUTt2rL	3.3020795458169744e-05
R_ACACT10m	-2.6111355670155323e-05
R_ACACT5p	1.664879715206763e-05
R_ACACT8p	1.3622596025122946e-05
R_ACACT9p	8.47539161862032e-06
R_ACALDtr	1.4332686522518234e-06
R_ACALDtx	-3.7457421921127665e-09
R_ACCOALm	2.8358414068520928e-06
R_ACCOAtr	-5.330124810891228e-05
R_ACETONEt2	1.3522004958244072e-06
R_ACGAGBSIDEtl	2.949512235839169e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.424600247825538e-08
R_ACGALtlg	-2.672462033739831e-06
R_ACGAMK	1.9021579865594052e-06
R_ACGAMPM	8.452315150996037e-05
R_ACGAMtly	4.4604478793817265e-05
R_ACGBGBSIDEtl	2.672462031217543e-06
R_ACHtn	6.583086328865173e-06
R_ACHVESSEC_1	1.980796953720632e-06
R_ACN13ACNGALGBSIDEtg	-2.9165820036869405e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.303613122646043e-09
R_ACNACNGALGBSIDEtg	-2.9165166393063657e-09
