	0
R_24_25DHVITD3tm	2.869782389085555e-08
R_25HVITD3t	5.989297549802153e-06
R_COAtl	8.364330774966733e-06
R_EX_5adtststerone_e	3.999911699498204e-07
R_EX_5adtststerones_e	3.9978464184964313e-07
R_EX_5fthf_e	-3.995534625378383e-09
R_EX_5htrp_e	3.454353832470225e-06
R_EX_5mthf_e	7.865671746960096e-05
R_EX_5thf_e	-6.0851948688323e-09
R_EX_6dhf_e	-4.2849420955892725e-09
R_24_25VITD3Hm	2.869782413095212e-08
R_24NPHte	6.908948808892479e-09
R_10FTHF7GLUtl	4.7084342158845716e-06
R_10FTHFtm	-0.00010785728247381804
R_11DOCRTSLtr	-1.845198615429977e-08
R_13DAMPPOX	1.9168172611500577e-06
R_24_25DHVITD2t	8.222482954650667e-06
R_24_25DHVITD2tm	8.222482954671484e-06
R_24_25DHVITD3t	4.456928248811054e-06
R_25VITD2Hm	5.27509407227786e-06
R_2AMACHYD	2.707797069081161e-06
R_2AMACSULT	2.865623397199646e-06
R_2AMADPTm	6.648084399740609e-06
R_2MCITt	4.88889271900439e-06
R_2OXOADOXm	1.3594436522518238e-05
R_2OXOADPTm	-1.6994348546086734e-05
R_34DHPHEt	-7.708944325896222e-06
R_34DHXMANDACOX	3.1838651069579504e-05
R_34HPLFM	2.043951196707694e-05
R_3AIBtm	1.1746058759927892e-05
R_3HAO	3.493319047268939e-06
R_3MOBt2im	3.532409684257193e-05
R_3MOPt2im	3.5844116500607925e-05
R_3MOXTYROX	7.659360311846469e-07
R_3SALAOX	8.386825086637018e-07
R_42A12BOOX	5.114842815609477e-07
R_4HBZCOAFm	6.9418190065326235e-06
R_4HBZFm	6.941819006546501e-06
R_4HDEBRISOQUINEte	7.317850492238875e-09
R_4HOXPACDOX_NADP	-3.3753292623270315e-05
R_4MOPt2im	3.74448345853845e-05
R_4MPTNLte	2.7457571321005958e-05
R_4NPHSULT	-5.373610889591873e-09
R_4PYRDX	5.0090544286146566e-06
R_5ADTSTSTERONEGLCtr	-3.859860960714334e-08
R_5ADTSTSTERONESULT	8.23438829879175e-07
R_5ADTSTSTERONEte	-3.999911702134984e-07
R_5FTHFt2_1	-1.997767347383661e-09
R_5HOXINOXDA	7.716092034586175e-08
R_5THFtl	3.0920876026921396e-06
R_5THFtm	2.142875758559537e-06
R_7DHCHSTEROLtr	-8.256717823201115e-05
R_7DHFtm	2.4432059759146862e-06
R_A4GALTc	7.264289143461009e-06
R_A4GALTg	4.906381813663419e-06
R_A4GNT2g	-9.563496295827544e-09
R_AACTtm	0.00010644421826886546
R_ABO1g	3.1264785532769956e-08
R_ABO4g	3.1925707768887104e-08
R_ABO5g	3.1925626169233785e-08
R_ABO6g	3.168956304866243e-08
R_ABO7g	3.168946945567198e-08
R_ABO9g	5.2999089312902754e-08
R_ABTArm	-5.1789894622756086e-05
R_ABTt	-1.094373115090308e-05
R_ABUTt2rL	3.892316029219245e-05
R_ACACT10m	-1.2379672401419128e-05
R_ACACT5p	2.0096946963393814e-05
R_ACACT8p	1.476284958035895e-05
R_ACACT9p	8.147913267891882e-06
R_ACALDtr	5.904286870361819e-06
R_ACALDtx	-3.7458834367676275e-09
R_ACCOALm	3.4854498516196167e-06
R_ACCOAtr	-6.119454325809182e-05
R_ACETONEt2	-1.7988949815306299e-06
R_ACGAGBSIDEtl	2.8313463622253732e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.301455640813966e-08
R_ACGALtlg	-2.455153396578591e-06
R_ACGAMK	2.027096836603945e-05
R_ACGAMPM	0.00011676276089096771
R_ACGAMtly	5.29874897457136e-05
R_ACGBGBSIDEtl	2.4551533951561177e-06
R_ACHtn	4.7782951948099894e-06
R_ACHVESSEC_1	1.6980717410163096e-08
R_ACN13ACNGALGBSIDEtg	-2.9428476028270367e-07
R_ACNACNGAL14ACGLCGALGLUSIDEtg	2.3606578883339502e-07
R_ACNACNGALGBSIDEtg	-2.899323057053982e-07
R_ACNAMlt	-7.149681469580116e-06
R_ACNAMtn	3.530221613506912e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-5.99537292977903e-07
R_ACNML	-2.157496791513336e-05
R_ACOAD10m	6.056802135799566e-06
R_ACOAD8m	8.253353188568402e-06
R_ACOAD9m	9.980817077703819e-06
R_ACOAO7p	5.413995736554961e-06
R_ACODA	-4.9939748950761365e-09
R_ACONTm	5.065005556340041e-05
R_ACP1_FMN	3.361957734981935e-06
R_ACS2	1.2626015447603223e-06
