	0
R_24_25DHVITD3tm	2.9652057800680712e-08
R_25HVITD3t	5.6252844132728685e-06
R_COAtl	5.856880629706573e-06
R_EX_5adtststerone_e	8.9334528455276e-09
R_EX_5adtststerones_e	8.7653077712746e-09
R_EX_5fthf_e	-3.99553353597204e-09
R_EX_5htrp_e	3.0859828978602177e-06
R_EX_5mthf_e	0.0001238155844821287
R_EX_5thf_e	-6.085183284348927e-09
R_EX_6dhf_e	-4.2849466509731204e-09
R_24_25VITD3Hm	2.965205808007961e-08
R_24NPHte	6.908933970067865e-09
R_10FTHF7GLUtl	4.949742696231524e-06
R_10FTHFtm	-1.9438592474548683e-05
R_11DOCRTSLtr	-7.346510472877599e-09
R_13DAMPPOX	1.7271494242854235e-06
R_24_25DHVITD2t	3.5377622341660475e-06
R_24_25DHVITD2tm	3.537762234176456e-06
R_24_25DHVITD3t	4.161516650641461e-06
R_25VITD2Hm	6.00415744978107e-06
R_2AMACHYD	3.912850125983538e-06
R_2AMACSULT	1.392152927701118e-06
R_2AMADPTm	1.7346850528067496e-08
R_2MCITt	7.190452775161782e-06
R_2OXOADOXm	2.3484961665404258e-05
R_2OXOADPTm	-1.0439854266298916e-10
R_34DHPHEt	-2.2354959336799707e-05
R_34DHXMANDACOX	2.401924552839635e-05
R_34HPLFM	2.3860671337829625e-05
R_3AIBtm	1.2516799651354424e-05
R_3HAO	1.2998290751127235e-06
R_3MOBt2im	3.9395419897600426e-06
R_3MOPt2im	3.902406527239027e-06
R_3MOXTYROX	1.6191637342501293e-06
R_3SALAOX	1.2358853143205895e-06
R_42A12BOOX	1.3570215870867264e-06
R_4HBZCOAFm	7.738385208379273e-06
R_4HBZFm	7.738385208348048e-06
R_4HDEBRISOQUINEte	7.317822237062899e-09
R_4HOXPACDOX_NADP	-3.148883632980021e-05
R_4MOPt2im	4.323886771965407e-06
R_4MPTNLte	7.954014033667578e-07
R_4NPHSULT	-5.3736176619523235e-09
R_4PYRDX	3.536018885846176e-06
R_5ADTSTSTERONEGLCtr	-2.1404992021911706e-08
R_5ADTSTSTERONESULT	7.593511582582035e-07
R_5ADTSTSTERONEte	-8.933644372877136e-09
R_5FTHFt2_1	-1.997766684719293e-09
R_5HOXINOXDA	2.2648177764195837e-06
R_5THFtl	3.269755473756658e-06
R_5THFtm	2.684773116566619e-06
R_7DHCHSTEROLtr	-6.929688259822361e-05
R_7DHFtm	2.719765656820916e-06
R_A4GALTc	7.540121111891673e-06
R_A4GALTg	5.111782273393983e-06
R_A4GNT2g	-9.56343574712743e-09
R_AACTtm	0.00010952296662238362
R_ABO1g	4.8464776637204e-07
R_ABO4g	6.872151529025219e-07
R_ABO5g	6.872151515338251e-07
R_ABO6g	5.765355322179255e-07
R_ABO7g	5.765355302351366e-07
R_ABO9g	4.794888417728946e-07
R_ABTArm	-2.0714429695993e-05
R_ABTt	-1.4479568046236319e-05
R_ABUTt2rL	3.510594885843335e-05
R_ACACT10m	-1.4194581176601995e-05
R_ACACT5p	1.8956358770902404e-05
R_ACACT8p	1.421990798236572e-05
R_ACACT9p	8.753376835896054e-06
R_ACALDtr	2.0559873957493036e-07
R_ACALDtx	-3.745882892064456e-09
R_ACCOALm	3.4750954267352696e-06
R_ACCOAtr	-4.9334215501541795e-05
R_ACETONEt2	-6.025500523595961e-05
R_ACGAGBSIDEtl	9.86732385615391e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.765355295672681e-07
R_ACGALtlg	-2.5676244918663993e-06
R_ACGAMK	5.572463005643069e-06
R_ACGAMPM	9.195931417743664e-05
R_ACGAMtly	4.83017521728038e-05
R_ACGBGBSIDEtl	2.5676244908186263e-06
R_ACHtn	2.4342156033918538e-08
R_ACHVESSEC_1	1.7235785603803943e-08
R_ACN13ACNGALGBSIDEtg	-2.766776380919156e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.386047810194359e-09
R_ACNACNGALGBSIDEtg	-2.7666826295236202e-09
R_ACNAMlt	-4.01934000837656e-06
R_ACNAMtn	2.9557643924312677e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.6546978958381113e-07
R_ACNML	-1.082356948039695e-05
R_ACOAD10m	5.9266696550014375e-06
R_ACOAD8m	8.28662809062436e-06
R_ACOAD9m	8.748459695451238e-06
R_ACOAO7p	5.034606587905888e-06
R_ACODA	-4.993969994482317e-09
R_ACONTm	3.411077642970217e-06
R_ACP1_FMN	3.5593643655240648e-06
R_ACS2	1.2067997599563007e-06
R_ACSRTNMT	7.765017128181651e-08
R_ACt2r	-3.735899899299025e-05
R_ADEt	-9.216250350654875e-05
R_ADK3	4.2370568035377107e-07
R_ADK3m	5.495618204384711e-05
R_ADKd	-1.514894675932988e-06
R_ADMDC	2.347958606824241e-05
R_ADNt4	2.1604635067128813e-05
R_ADNtl	1.605777544188376e-05
R_ADNtm	4.510647975748683e-06
R_ADPMAN	-4.993969265898457e-09
R_ADPRIBt	-5.131070040526725e-09
R_ADRNCOAtx	8.739314153943106e-06
R_ADRNCRNt	5.309969480601917e-06
R_ADSL2r	2.5067223925756554e-06
R_AG13T16g	1.8766795262248337e-07
R_AG13T18g	1.7521015465565837e-07
R_AG13T2g	1.8659087277356212e-07
R_AGMTm	1.2333721294277566e-08
R_AGTim	1.4150659834828301e-06
R_AHANDROSTANGLCte	-9.203370503196862e-09
R_AHEXASE2ly	-4.5966883910342204e-09
R_AIRCr	2.5067223926866777e-06
R_AKGMALtm	-5.314201589652623e-05
R_AKGt4_3	-1.6202656325410298e-06
R_AKR1C41	2.6602642180492366e-08
R_AKR1D	3.6468278610965615e-08
R_ALAGLYexR	-1.6874887366383728e-12
R_ALASERNaEx	2.5713239584126968e-05
R_ALASm	0.00010951852497467773
R_ALATHRNaEx	2.5920479273564e-05
R_ALCD21_D	8.208739724439862e-05
R_ALCD22_D	0.000136819320872672
R_ALCD2y	-3.745882937167266e-09
R_ALDD20xm	4.101344463436352e-06
R_ALDD2xm	2.388388136903563e-05
R_ALDD2y	1.9424363060072114e-05
R_ALDSTRNte	2.304282593207363e-08
R_ALDSTRNtm	-2.3042864952943498e-08
R_ALOX15	7.216330412017293e-07
R_ALR2	8.072456501989622e-05
R_ALR3	8.334016685118684e-05
R_AMACR2p	3.5011186879312095e-05
R_AMACRp	3.3229771519149853e-06
R_AMETr	2.0729607126835498e-05
R_AMETt2m	1.007098028869835e-05
R_AMPDA	0.0002891380650333203
R_AMY2e	-7.163556692280082e-09
R_ANDRSTRNGLCte	3.563323176802857e-08
R_ANDRSTRNGLCtr	-3.5633358545089644e-08
R_ANDRSTRNtr	-1.4903902016000226e-07
R_ANTIPYRENEte	-6.614520979553173e-10
R_APOCFm	1.0068663749154827e-05
R_APOC_LYS_BTNP	7.3529863266544315e-06
R_APRTO2	6.3266460359107145e-06
R_ARAB_Lt	-3.469446951953614e-18
R_ARABR	-4.993971292055477e-09
R_ARACHDCOAtx	5.126958042074928e-05
R_ARACHDt2	8.052665355738967e-05
R_ARACHt	9.370701117439664e-05
R_ARGDCm	2.6385403298426202e-06
R_ARGLYSex	6.426523250844043e-05
R_ARGSS	1.3169422291015032e-06
R_ARGt4	2.9892565244360803e-06
R_ARTCOAL3_cho	1.2017967062280532e-06
R_R_group_phosphotase_2	4.763024009448585e-06
R_R_group_phosphotase_3	0.0001154823385673305
R_ASCBOX_1	4.4991697366672523e-07
R_ASCBt	0.00010340635809032855
R_ASNCYSNaEx	2.610542731398824e-05
R_ASNGLNNaEx	2.5597538688540422e-05
R_ASNNm	3.932307133633784e-05
R_ASNS1	1.2048867880087855e-06
R_ASNt4	3.683756530514781e-05
R_ASPDxt	1.9973460316236036e-09
R_ASPGLUm	1.4356026809186906e-05
R_ASPNATm	2.138627871622889e-05
R_ASPt6	1.5082484164541388e-05
R_ASPTAm	-1.4343868472543875e-05
R_ATP1ter	2.8413147514241843e-05
R_BILGLCURte	2.265618731449315e-06
R_BILIRED	1.1848590570212592e-06
R_EX_6htststerone_e	1.6232000587396156e-08
R_ATPasel_1	2.3705416794250755e-06
R_ATPtn	7.100030520360012e-06
R_ATPtx	2.37240766116191e-05
R_AVITE2t	-4.9901244490724306e-09
R_B3GALT3g	4.485373728505156e-06
R_B3GALT42g	6.8591527419914824e-09
R_B3GALTg	2.0671063276390955e-06
R_B3GNT11g	2.9173631107964892e-06
R_B3GNT310g	5.167823946730654e-06
R_B3GNT315g	5.242060709259588e-07
R_B3GNT31g	6.264085444726564e-07
R_B3GNT34g	4.572346114992132e-07
R_B3GNT37g	1.2083942402263403e-08
R_B3GNT39g	1.5655273614481602e-06
R_B3GNT51g	7.234930274846799e-06
R_BAAT1x	5.8582456293188295e-06
R_BAAT3x	3.5001732656942276e-05
R_BACCL	7.352986326793209e-06
R_BALAVECSEC_1	1.16129869171373e-06
R_BDHm	-5.484401092567537e-05
R_BETALDHxm	5.509695074894239e-06
R_BHBtm	-5.484401092565455e-05
R_BHMT	3.3698759401549648e-06
R_BILDGLCURt	1.726940937927992e-05
R_BTNDm	1.0068663749126204e-05
R_BTNPL	7.352986326709943e-06
R_BTNt2m	1.4029896994019464e-05
R_BTNt3i_1	2.144822820661363e-06
R_BVITEt	-4.9901244490724306e-09
R_BZtr	7.373819881084653e-09
R_C160CPT1	4.4877568591839e-08
R_C160CPT2	-3.697271159089355e-05
R_C160CRNt	-1.5773496460827485e-05
R_C161CPT1	-2.8243478634712438e-05
R_C161CPT12	-5.727210499253954e-06
R_C161CPT2	-2.4442877580885952e-05
R_C161CRN2t	-2.634969524517583e-08
R_C161CRNt	-1.168387594089465e-05
R_C180CPT1	-2.335348103650603e-05
R_C181CPT1	-6.176014888420456e-06
R_C181CRNt	-1.0721756028293783e-05
R_C204CPT1	-3.433521295317932e-05
R_C204CPT2	2.7859965915817686e-06
R_C226COAtx	1.6927803733007146e-05
R_C226CPT1	0.00010702824457731186
R_C226CPT2	0.0001070244752456144
R_C226CRNt	4.489747595179394e-05
R_C3STDH1r	9.797565735311653e-07
R_C4STMO1r	8.268611264572456e-07
R_C4STMO2Pr	7.366325573583687e-07
R_CAATPS_1	2.5200249106627215e-06
R_CAROtr	-2.0816681711721685e-17
R_CAt7r	-1.7395989642185385e-05
R_CATm	4.509087492340913e-05
R_CATp	0.00019828452129874719
R_CBL2tm	-9.560732283555445e-09
R_CBPPer	1.0959221970890942e-06
R_CBR2	3.21065271038333e-05
R_CDIPTr	4.645785313089901e-06
R_CDPDAGtm	-6.165690598230328e-06
R_CDS	1.2164486777044292e-06
R_CERT1gt	3.2189581856308103e-06
R_CERT1rt	1.1094920544577752e-05
R_CERT2rt	1.637347128111491e-05
R_CH25H	1.731747519718883e-08
R_CHATn	2.379127502923339e-08
R_CHLP	1.4595095914169434e-06
R_CHOLD2m	5.509695074890769e-06
R_CHOLK	0.00013682830032357707
R_CHOLPtl	-8.493810247228728e-07
R_CHOLtn	2.434222554428822e-08
R_CHOLtr	1.1981414171392812e-06
R_CHSTEROLt3	1.5152759148408246e-05
R_CITRtm	3.638919906214649e-05
R_CITtam	-2.423349064881175e-05
R_CK_cho	9.216719912878701e-06
R_CLHCO3tex2	0.00026856517690172776
R_CLOXAtex2	0.00010450052187187253
R_CLPNDCOAtx	1.4593511436684914e-06
R_CLPNDCPT1	7.247043520564045e-07
R_CLPNDt	-7.583310156593359e-07
R_CMPACNAtn	3.021075355064129e-05
R_ACNMCT	1.2582577002318018e-05
R_CO2tg	-3.983286512354578e-06
R_CO2tm	2.5324552491330643e-06
R_COAtim	2.414203329975835e-05
R_COKECBESr	-5.781608178323516e-09
R_COQ3m	5.576149942551623e-07
R_COQ6m	5.576150115121914e-07
R_COQ7m	5.57614998134004e-07
R_CORE3GTg	1.89316451371405e-07
R_CORE6GTg	1.8675013133823137e-06
R_CORE7GTg	-9.563487845393182e-09
R_CREATt4_2_r	-6.324894539831358e-05
R_CREATtmdiffir	9.216719912844007e-06
R_CRMPte	6.154115513787306e-07
R_CRNCAR3tp	2.5215753811064223e-05
R_CRNCARtp	5.217136129013339e-05
R_CRNt	-4.5003276027844735e-06
R_CRNtHa	1.1702865712935736e-05
R_CRNtuNa	1.960462088970716e-05
R_CRTNsyn_cho	5.308771719989003e-06
R_CRTSLt	-3.707275399861265e-09
R_CRTSLtm	-1.9111157482931684e-08
R_CRTSLtr	-1.3765606120264007e-08
R_CRVNCtr	0.00011768870452802047
R_CSAPASEly	8.866128496445858e-07
R_CSCPASEly	1.1594050642084464e-06
R_CSEPASEly	1.2156654197043038e-06
R_CSNAT2m	-1.1948840273928035e-05
R_CSNAT2x	-2.4193809015950196e-06
R_CSNAT3x	5.127472149411491e-05
R_CSNATm	-0.00012716654570470512
R_CSNATp	2.6201543780784292e-05
R_CSNATr	-0.0001040325527322146
R_CSPG_Atly	8.866128519101346e-07
R_CSPG_Ct	1.266426082627281e-06
R_CSPG_Ctly	1.1594050664809341e-06
R_CSPG_Dt	1.325643595662812e-06
R_CSPG_Dtly	1.243189433817321e-06
R_CTPtn	3.0210753550863334e-05
R_CYANt	1.6982900849504823e-09
R_CYANtm	2.9223861282290375e-09
R_CYSALANaEx	2.6173028181600277e-05
R_CYSASNNaEx	2.5537028877115064e-05
R_CYSGLYex	3.121691414430727e-07
R_CYSO	1.583937230874355e-05
R_CYSSERNaEx	2.577398296926825e-05
R_CYStec	1.8568427954927412e-06
R_CYSTGLUex	8.460602169546583e-05
R_CYTD	1.1161094531434747e-05
R_CYTDn	1.746401346827165e-08
R_CYTDt	-2.892964459808023e-05
R_CYTDtl	2.216594413571079e-06
R_CYTK12	-3.4249580553785686e-05
R_CYTK12n	3.681134552180332e-06
R_CYTK13n	-1.9770986234984855e-06
R_CYTK14	-7.625490538179513e-05
R_CYTK1m	4.811328712599422e-06
R_CYTK2n	-1.3430413019169252e-05
R_CYTK3	-4.791217106213516e-08
R_CYTK4	-1.2283538242173573e-07
R_CYTK5n	-6.000313805543112e-08
R_CPK1	-7.522146813182529e-06
R_CYTK6n	-6.000313812482005e-08
R_CYTK7	-5.416609699214481e-05
R_CYTK7n	1.4941524977968301e-06
R_CYTK8	3.2880693925194104e-05
R_CYTK8n	1.4936460420861275e-06
R_DADNK	2.3268730569535323e-06
R_DAG_HSter	1.606506688736284e-05
R_DAGK_hs	3.633421340976106e-05
R_DARGOp	-6.651904707251648e-09
R_DASCBH	-7.11850748832954e-09
R_DASPO1p	-5.992038129172257e-09
R_DATPtn	1.7298328547424302e-06
R_DCK1m	-2.4901612260402883e-05
R_DCK1n	-1.6422897857859553e-05
R_DLNLCGCPT2	5.052822648295152e-06
R_DCSPTN1CPT1	5.55519263303883e-06
R_DCSPTN1CRNt	5.484504581695915e-06
R_DCSPTN1t	1.5451884818190598e-06
R_DCTPtn	2.478555640421029e-05
R_DCYTD	1.4033396815058994e-05
R_DCYTDn	1.747528388965881e-08
R_DCYTt	-3.455286356120191e-05
R_DECDPtm	1.1047911673105204e-06
R_DEDOLP2_L	1.6267375053599653e-07
R_DESAT18_10	4.4489270722564145e-06
R_DESAT18_6	6.1492293794360164e-06
R_DESAT18_12	3.27174093907312e-06
R_DESAT22_2p	1.452825915987388e-06
R_DESAT24_1	-8.430361672639997e-09
R_DGCHOLte	-5.215203564111481e-05
R_DGSNt	-3.9536276189175434e-05
R_DGSNtm	4.3268505589562356e-05
R_DHCRD2	2.0885461313568943e-05
R_DHDPBMTm	1.1047911290043566e-06
R_DHEASt	-7.103823887119609e-06
R_DHEASULT	2.1954138004209867e-06
R_DHEAtr	9.675530901059881e-07
R_DHFtl	-1.0547163855231106e-05
R_DHFtm	1.130186757335172e-05
R_DHORD9	2.2238328334148877e-05
R_DHPM1	2.410912074736482e-06
R_DIGALSGALSIDEtg	-1.1691276507776183e-06
R_DIGALSIDEtl	4.725683240256601e-06
R_DITPtn	-1.3100931620171896e-06
R_D_LACt2	-7.271167729039352e-05
R_DLNLCGCPT1	6.562167674792341e-06
R_DM_Asn_X_Ser_Thr_l	-1.5055698791843763e-08
R_DM_core5_g	-7.900946629585404e-09
R_DM_dem2emgacpail_prot_hs_r	2.0434771240696037e-06
R_DM_dgpi_prot_hs_r	2.698851362087362e-06
R_DM_dsT_antigen_g	-5.633745369520993e-09
R_DM_kdn_c	4.1469230327891016e-06
R_DM_melanin_c	2.3043015489991603e-06
R_DM_n5m2masn_g	-4.661134870437289e-09
R_DM_oretn_n	7.395427277921696e-06
R_DM_Ser_Thr_l	-7.497621613838934e-09
R_DM_Ser_Gly_Ala_X_Gly_l	5.148720941184487e-05
R_DM_sprm_c	6.563280983869213e-07
R_DMANTIPYRINEte	7.317830636593969e-09
R_DMATTx	7.055501178729329e-06
R_DMGDHm	1.8460766127575967e-08
R_DMGtm	1.8460766151862096e-08
R_DMHPTCRNCPT2	7.884499886312568e-09
R_DMHPTCRNte	-8.929648503269716e-09
R_C110CPT2m	-2.0419417094685866e-08
R_DMNONCRNt	1.9664507337480153e-06
R_DNADtn	1.4361885285370246e-06
R_DNDPt10m	1.813528855295482e-05
R_DNDPt11m	1.3300237817169547e-05
R_DNDPt13m	5.721156934590521e-06
R_DNDPt14m	4.2217423269610976e-05
R_DNDPt15m	7.3817458805802705e-06
R_DNDPt16m	1.5766977843743868e-05
R_DNDPt17m	8.705056674024325e-06
