	0
R_24_25DHVITD3tm	2.9858559684957896e-08
R_25HVITD3t	5.751756668358199e-06
R_COAtl	5.733583814955534e-06
R_EX_5adtststerone_e	2.503280619806092e-07
R_EX_5adtststerones_e	2.479372539915259e-07
R_EX_5fthf_e	-3.995554338775964e-09
R_EX_5htrp_e	2.9134609810035905e-06
R_EX_5mthf_e	0.0001203218890511934
R_EX_5thf_e	-6.0854759356687715e-09
R_EX_6dhf_e	-4.284970343826355e-09
R_24_25VITD3Hm	2.9858593486586926e-08
R_24NPHte	6.909249637698789e-09
R_10FTHF7GLUtl	4.744364166982262e-06
R_10FTHFtm	-0.00010944919640805406
R_11DOCRTSLtr	-2.8449382641348997e-08
R_13DAMPPOX	1.627692288431147e-06
R_24_25DHVITD2t	8.23432692000775e-06
R_24_25DHVITD2tm	8.23432693381615e-06
R_24_25DHVITD3t	4.2935304299732135e-06
R_25VITD2Hm	5.479699969388949e-06
R_2AMACHYD	2.6583845995938992e-06
R_2AMACSULT	3.7474155352296146e-06
R_2AMADPTm	9.857940145677722e-06
R_2MCITt	5.264532109958142e-06
R_2OXOADOXm	1.415984898792133e-05
R_2OXOADPTm	-1.7475103219330955e-05
R_34DHPHEt	-6.104651878161417e-06
R_34DHXMANDACOX	3.4853204838675156e-05
R_34HPLFM	2.740987907773329e-05
R_3AIBtm	1.3317489411076439e-05
R_3HAO	1.7528490665756532e-06
R_3MOBt2im	2.7087662798332135e-05
R_3MOPt2im	2.689607641477576e-05
R_3MOXTYROX	1.4700162340834655e-06
R_3SALAOX	-6.808562325044676e-10
R_42A12BOOX	1.2198306911306855e-06
R_4HBZCOAFm	6.592128563041866e-06
R_4HBZFm	6.592128555769905e-06
R_4HDEBRISOQUINEte	7.318159800373536e-09
R_4HOXPACDOX_NADP	-3.638401479252873e-05
R_4MOPt2im	2.8423545326658473e-05
R_4MPTNLte	2.093573851542213e-05
R_4NPHSULT	-5.373835210153999e-09
R_4PYRDX	4.3316038115248645e-06
R_5ADTSTSTERONEGLCtr	-3.856936097584862e-08
R_5ADTSTSTERONESULT	7.990205191307775e-07
R_5ADTSTSTERONEte	-2.5032828615545455e-07
R_5FTHFt2_1	-1.9980062465618786e-09
R_5HOXINOXDA	7.904828647209428e-08
R_5THFtl	3.125258929544128e-06
R_5THFtm	2.1580628159142967e-06
R_7DHCHSTEROLtr	-7.862801610908354e-05
R_7DHFtm	2.4901025320739345e-06
R_A4GALTc	8.018894538497356e-06
R_A4GALTg	4.608419080037729e-06
R_A4GNT2g	-9.56296004919706e-09
R_AACTtm	0.00011618759382115568
R_ABO1g	5.057699961862061e-07
R_ABO4g	6.99090456041801e-07
R_ABO5g	6.990899993793154e-07
R_ABO6g	5.745652037827953e-07
R_ABO7g	5.745645880426975e-07
R_ABO9g	4.858680661273818e-07
R_ABTArm	-2.300214277737092e-05
R_ABTt	-1.4014256064773245e-05
R_ABUTt2rL	3.649612632132364e-05
R_ACACT10m	-1.7940909469396638e-05
R_ACACT5p	2.1662939967158346e-05
R_ACACT8p	1.596726023964795e-05
R_ACACT9p	8.770067408077342e-06
R_ACALDtr	4.604856412779301e-06
R_ACALDtx	-3.745972115831719e-09
R_ACCOALm	3.7627575429476784e-06
R_ACCOAtr	-5.612609137459895e-05
R_ACETONEt2	-1.0234639759576503e-06
R_ACGAGBSIDEtl	2.8941671802173996e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.74564387713361e-07
R_ACGALtlg	-2.8946928644357772e-06
R_ACGAMK	4.714182720876037e-06
R_ACGAMPM	9.404821263594987e-05
R_ACGAMtly	5.026924106051739e-05
R_ACGBGBSIDEtl	2.894692455290837e-06
R_ACHtn	2.4415850445602683e-08
R_ACHVESSEC_1	1.07413163172064e-06
R_ACN13ACNGALGBSIDEtg	-2.7973933863778555e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.3722810169334316e-09
R_ACNACNGALGBSIDEtg	-2.7973569918793295e-09
R_ACNAMlt	-4.639828760259063e-06
R_ACNAMtn	2.673317284498239e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.886690385050296e-07
R_ACNML	-1.2125525598136178e-05
R_ACOAD10m	6.602334151298295e-06
R_ACOAD8m	9.91970368319911e-06
R_ACOAD9m	1.3543929682710565e-05
R_ACOAO7p	4.988837299012283e-06
R_ACODA	-4.994116916887115e-09
R_ACONTm	0.00010583318479581716
R_ACP1_FMN	3.431008326226781e-06
R_ACS2	1.2111286486760076e-06
R_ACSRTNMT	8.118142382886289e-08
R_ACt2r	-5.0175287553327896e-05
R_ADEt	-0.0001292826880436096
R_ADK3	5.038887565558554e-06
R_ADK3m	7.121133000510815e-05
R_ADKd	-2.0490558902540746e-05
R_ADMDC	2.5245515681435182e-05
R_ADNt4	2.8121990132828765e-06
R_ADNtl	2.4657366363478594e-05
R_ADNtm	1.5042480282931314e-05
R_ADPMAN	-4.994104491062856e-09
R_ADPRIBt	-5.131230050234303e-09
R_ADRNCOAtx	9.092599152625558e-06
R_ADRNCRNt	-4.1690370776448216e-07
R_ADSL2r	2.5157941983544596e-06
R_AG13T16g	1.883552433398772e-07
R_AG13T18g	1.7589608636986442e-07
R_AG13T2g	1.8712324868774832e-07
R_AGMTm	1.2430133939506094e-08
R_AGTim	2.6197409412772558e-06
R_AHANDROSTANGLCte	-9.203900627752226e-09
R_AHEXASE2ly	-4.579915474645091e-09
R_AIRCr	2.5157942552672674e-06
R_AKGMALtm	-3.910916688582011e-06
R_AKGt4_3	-0.00011277837984990241
R_AKR1C41	2.673524931159093e-08
R_AKR1D	3.660441617811549e-08
R_ALAGLYexR	-1.058531232570834e-08
R_ALASERNaEx	2.4067992543258532e-05
R_ALASm	9.608222940110656e-05
R_ALATHRNaEx	2.4119444823153535e-05
R_ALCD21_D	8.157380051455887e-05
R_ALCD22_D	0.00012641966978090002
R_ALCD2y	-3.745988158554425e-09
R_ALDD20xm	3.5778557860022264e-06
R_ALDD2xm	2.357951889719878e-05
R_ALDD2y	1.4838135959316379e-05
R_ALDSTRNte	4.3803473147308036e-08
R_ALDSTRNtm	-4.380354352157001e-08
R_ALOX15	7.233339795074609e-07
R_ALR2	8.092977077336916e-05
R_ALR3	8.183931941832534e-05
R_AMACR2p	1.16568915207102e-05
R_AMACRp	4.491792843289849e-06
R_AMETr	2.1339974934579675e-05
