	0
R_24_25DHVITD3tm	2.9141872373084684e-08
R_25HVITD3t	5.506575209850845e-06
R_COAtl	5.767143071763042e-06
R_EX_5adtststerone_e	1.215470846194222e-08
R_EX_5adtststerones_e	1.214121445394789e-08
R_EX_5fthf_e	-3.995444270571413e-09
R_EX_5htrp_e	2.9059235228459657e-06
R_EX_5mthf_e	8.479602664306085e-05
R_EX_5thf_e	-6.084948572793181e-09
R_EX_6dhf_e	-4.284931107850776e-09
R_24_25VITD3Hm	2.914187284574262e-08
R_24NPHte	6.9086746531943355e-09
R_10FTHF7GLUtl	4.780268320903058e-06
R_10FTHFtm	-9.094675233973365e-05
R_11DOCRTSLtr	-2.7204106717304555e-08
R_13DAMPPOX	1.5167441980139945e-06
R_24_25DHVITD2t	7.06612783121785e-06
R_24_25DHVITD2tm	7.0661278314468334e-06
R_24_25DHVITD3t	4.096942631450634e-06
R_25VITD2Hm	5.18195327883276e-06
R_2AMACHYD	1.1757287256680434e-06
R_2AMACSULT	1.7808607025056322e-06
R_2AMADPTm	5.4418646834939865e-06
R_2MCITt	4.874422254275146e-06
R_2OXOADOXm	1.293901672100306e-05
R_2OXOADPTm	-1.626124715368776e-05
R_34DHPHEt	-3.0742427653641935e-05
R_34DHXMANDACOX	1.4866950374628485e-05
R_34HPLFM	2.2891622979193116e-05
R_3AIBtm	8.457025591241491e-06
R_3HAO	8.094972517083405e-08
R_3MOBt2im	3.1219923750540335e-05
R_3MOPt2im	3.380491072832795e-05
R_3MOXTYROX	1.1102054006085441e-06
R_3SALAOX	1.1794438895193493e-06
R_42A12BOOX	8.323451272090193e-07
R_4HBZCOAFm	6.408347342282822e-06
R_4HBZFm	6.408347341939347e-06
R_4HDEBRISOQUINEte	7.3175393314195425e-09
R_4HOXPACDOX_NADP	-3.775072893949516e-05
R_4MOPt2im	3.537781674050472e-05
R_4MPTNLte	1.7243292070791283e-05
R_4NPHSULT	-5.373407149789067e-09
R_4PYRDX	3.6509109496880854e-06
R_5ADTSTSTERONEGLCtr	-2.316316235692617e-08
R_5ADTSTSTERONESULT	8.098261130764367e-07
R_5ADTSTSTERONEte	-1.2154776417999669e-08
R_5FTHFt2_1	-1.997726178926129e-09
R_5HOXINOXDA	7.798221565767736e-08
R_5THFtl	3.1236750749757958e-06
R_5THFtm	2.352093720833781e-06
R_7DHCHSTEROLtr	-7.330032690838068e-05
R_7DHFtm	2.5316707481896905e-06
R_A4GALTc	7.254973699019791e-06
R_A4GALTg	4.3239927870332255e-06
R_A4GNT2g	-9.56303393318719e-09
R_AACTtm	0.00012780375830727733
R_ABO1g	2.928440418336481e-07
R_ABO4g	4.4860435128381325e-07
R_ABO5g	4.486043394172205e-07
R_ABO6g	4.006569650066025e-07
R_ABO7g	4.006569488980145e-07
