	0
R_24_25DHVITD3tm	2.8179715148423257e-08
R_25HVITD3t	5.044996485528697e-06
R_COAtl	5.637747687400885e-06
R_EX_5adtststerone_e	4.83842813116947e-07
R_EX_5adtststerones_e	4.778770119027997e-07
R_EX_5fthf_e	-3.994981415123e-09
R_EX_5htrp_e	2.6588366780939954e-06
R_EX_5mthf_e	9.698298191731028e-05
R_EX_5thf_e	-6.0837120514911636e-09
R_EX_6dhf_e	-4.2848461306865815e-09
R_24_25VITD3Hm	2.8179715515113985e-08
R_24NPHte	6.907301161596102e-09
R_10FTHF7GLUtl	4.783573116104445e-06
R_10FTHFtm	-2.1414041232039466e-05
R_11DOCRTSLtr	-3.953677918631937e-07
R_13DAMPPOX	1.5773062975246721e-06
R_24_25DHVITD2t	4.152619534132651e-06
R_24_25DHVITD2tm	4.152619534156937e-06
R_24_25DHVITD3t	3.744284579294127e-06
R_25VITD2Hm	5.1028989755254155e-06
R_2AMACHYD	3.769244683239745e-06
R_2AMACSULT	2.335322076389007e-06
R_2AMADPTm	8.894462728723136e-06
R_2MCITt	5.939476023689161e-06
R_2OXOADOXm	1.0231766005397436e-05
R_2OXOADPTm	-1.9852459718775958e-05
R_34DHPHEt	-2.2512276062039687e-05
R_34DHXMANDACOX	3.2257158340501246e-05
R_34HPLFM	2.1159770352458668e-05
R_3AIBtm	1.3073642416289166e-05
R_3HAO	6.371229275204586e-08
R_3MOBt2im	3.5587868537946543e-06
R_3MOPt2im	3.5600267510767225e-06
R_3MOXTYROX	1.5295866780673517e-06
R_3SALAOX	1.319145725868498e-06
R_42A12BOOX	1.2556301557803407e-06
R_4HBZCOAFm	7.122198662740803e-06
R_4HBZFm	7.122198662685292e-06
R_4HDEBRISOQUINEte	7.31605761389309e-09
R_4HOXPACDOX_NADP	-3.2039830717589535e-05
R_4MOPt2im	3.903498254603788e-06
R_4MPTNLte	3.351999317144708e-05
R_4NPHSULT	-5.372305933448729e-09
R_4PYRDX	3.629611734553423e-06
R_5ADTSTSTERONEGLCtr	-9.703471141077336e-07
R_5ADTSTSTERONESULT	7.755753055893599e-07
R_5ADTSTSTERONEte	-4.838428131100081e-07
R_5FTHFt2_1	-1.9974905340891524e-09
R_5HOXINOXDA	2.495300046936877e-06
R_5THFtl	3.1427535590287936e-06
R_5THFtm	2.6613959038211676e-06
R_7DHCHSTEROLtr	-7.194334965856392e-05
R_7DHFtm	2.6286063694522244e-06
R_A4GALTc	7.3985925885245146e-06
R_A4GALTg	3.8332797510556155e-06
R_A4GNT2g	-9.56117523936745e-09
R_AACTtm	9.558912395208827e-05
R_ABO1g	3.0844418268125284e-08
R_ABO4g	3.143552696177911e-08
R_ABO5g	3.143539672585866e-08
R_ABO6g	3.120970249252865e-08
R_ABO7g	3.1209558093065294e-08
R_ABO9g	5.1997165361985044e-08
R_ABTArm	-0.00011809869188003294
R_ABTt	-1.149365244168532e-05
R_ABUTt2rL	3.1004754092082455e-05
R_ACACT10m	-2.2696656631959744e-05
R_ACACT5p	1.6661373803641966e-05
R_ACACT8p	1.2446651214512161e-05
R_ACACT9p	8.28640709162054e-06
R_ACALDtr	9.220725316110012e-06
R_ACALDtx	-3.745370898838862e-09
R_ACCOALm	3.222784155269571e-06
R_ACCOAtr	-3.3970843049083155e-05
R_ACETONEt2	-3.9816671919296054e-05
R_ACGAGBSIDEtl	2.8187769302717713e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.2602876544329806e-08
R_ACGALtlg	-2.3173406123698503e-06
R_ACGAMK	2.065357211516322e-06
R_ACGAMPM	7.902829954865853e-05
R_ACGAMtly	4.684122202553917e-05
R_ACGBGBSIDEtl	2.317340610916152e-06
R_ACHtn	2.356086048829753e-08
R_ACHVESSEC_1	1.6818584901416128e-08
