	0
R_24_25DHVITD3tm	2.8279353553100836e-08
R_25HVITD3t	5.130446072282302e-06
R_COAtl	5.418970631207443e-06
R_EX_5adtststerone_e	4.7568437814768383e-07
R_EX_5adtststerones_e	4.574642986990285e-07
R_EX_5fthf_e	-3.995482136115447e-09
R_EX_5htrp_e	2.477827120102305e-06
R_EX_5mthf_e	0.00010947437636338667
R_EX_5thf_e	-6.084984682797057e-09
R_EX_6dhf_e	-4.284934667503348e-09
R_24_25VITD3Hm	2.8279354406801627e-08
R_24NPHte	6.9087088862274104e-09
R_10FTHF7GLUtl	4.571521582306948e-06
R_10FTHFtm	-6.820163382162403e-05
R_11DOCRTSLtr	-3.447561293529189e-07
R_13DAMPPOX	1.3849109184796426e-06
R_24_25DHVITD2t	7.508903960243285e-06
R_24_25DHVITD2tm	7.508903960395941e-06
R_24_25DHVITD3t	3.811891368041276e-06
R_25VITD2Hm	4.808072993114617e-06
R_2AMACHYD	3.5794891559360535e-06
R_2AMACSULT	2.419060916466348e-06
R_2AMADPTm	7.25281322893484e-06
R_2MCITt	5.337554356922569e-06
R_2OXOADOXm	1.6268802380974e-05
R_2OXOADPTm	-1.4797591894826975e-05
R_34DHPHEt	-6.361833722248712e-06
R_34DHXMANDACOX	3.9682077885599965e-05
R_34HPLFM	2.3224416994972047e-05
R_3AIBtm	1.0146073959565191e-05
R_3HAO	2.848318839189924e-06
R_3MOBt2im	6.8898315265276955e-06
R_3MOPt2im	6.844749542100903e-06
R_3MOXTYROX	1.2535877117574035e-06
R_3SALAOX	8.36640424457108e-07
R_42A12BOOX	9.76455595901038e-07
R_4HBZCOAFm	6.142777535605992e-06
R_4HBZFm	6.142777535324967e-06
R_4HDEBRISOQUINEte	7.317570212966862e-09
R_4HOXPACDOX_NADP	-3.887362214052836e-05
R_4MOPt2im	7.918276834533583e-06
R_4MPTNLte	2.8232049683964838e-05
R_4NPHSULT	-5.373439471156871e-09
R_4PYRDX	3.956008613262285e-06
R_5ADTSTSTERONEGLCtr	-3.848172923370807e-08
R_5ADTSTSTERONESULT	7.39618330834052e-07
R_5ADTSTSTERONEte	-4.7568437815809217e-07
R_5FTHFt2_1	-1.9976873766314185e-09
R_5HOXINOXDA	2.1026548867215944e-06
R_5THFtl	3.013977645099919e-06
R_5THFtm	2.2798259238718255e-06
R_7DHCHSTEROLtr	-6.655903460589876e-05
R_7DHFtm	2.456136775429163e-06
R_A4GALTc	7.047281068034775e-06
R_A4GALTg	4.206746748423168e-06
R_A4GNT2g	-9.563124752617934e-09
R_AACTtm	0.00010953787881574223
R_ABO1g	4.3964777870142066e-07
R_ABO4g	6.134547624674861e-07
R_ABO5g	6.134547537630774e-07
R_ABO6g	5.087657453967543e-07
R_ABO7g	5.087657324544161e-07
R_ABO9g	4.3084212341683824e-07
R_ABTArm	-3.2812538497489774e-05
R_ABTt	-1.3418938377050826e-05
R_ABUTt2rL	3.384870741937607e-05
R_ACACT10m	-1.8023666718158804e-05
R_ACACT5p	1.8286909580722543e-05
R_ACACT8p	1.3340911161348334e-05
R_ACACT9p	8.047254639785562e-06
R_ACALDtr	1.0836942675066658e-05
R_ACALDtx	-3.74581520662387e-09
R_ACCOALm	3.267286406021669e-06
R_ACCOAtr	-4.621910915051167e-05
R_ACETONEt2	7.64522273544177e-08
R_ACGAGBSIDEtl	2.8102719540346044e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.0876572798772e-07
R_ACGALtlg	-2.73710372139524e-06
R_ACGAMK	2.2331912534201415e-06
R_ACGAMPM	8.207224686226922e-05
R_ACGAMtly	4.6858895819082425e-05
R_ACGBGBSIDEtl	2.737103716041883e-06
R_ACHtn	2.36006988535431e-08
R_ACHVESSEC_1	1.6828652051018733e-08
R_ACN13ACNGALGBSIDEtg	-2.6126949631555263e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.4797709297373913e-09
R_ACNACNGALGBSIDEtg	-2.6126606537946184e-09
R_ACNAMlt	-4.0194034457213465e-06
R_ACNAMtn	2.865018412117129e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.256678718499163e-07
R_ACNML	-1.1459926631974399e-05
R_ACOAD10m	5.149173220787839e-06
R_ACOAD8m	7.997697192688169e-06
R_ACOAD9m	9.762400514354286e-06
R_ACOAO7p	4.259434520280381e-06
R_ACODA	-4.993872900274643e-09
R_ACONTm	8.659818298295541e-05
R_ACP1_FMN	3.345051743486316e-06
R_ACS2	1.1091784471034538e-06
R_ACSRTNMT	7.861369565678761e-08
R_ACt2r	-5.861715502036499e-05
R_ADEt	-5.751691425986971e-05
R_ADK3	4.8285288806017095e-08
R_ADK3m	3.1197111189658344e-05
R_ADKd	-4.044716937978498e-07
R_ADMDC	2.1581455534450122e-05
R_ADNt4	9.429835564437228e-06
R_ADNtl	2.0534850917915126e-05
R_ADNtm	6.828775700351564e-06
R_ADPMAN	-4.993871552394502e-09
R_ADPRIBt	-5.130964525761235e-09
R_ADRNCOAtx	8.509018285109832e-06
R_ADRNCRNt	1.1735030276925629e-06
R_ADSL2r	2.3408954179654495e-06
R_AG13T16g	1.8524920566281855e-07
R_AG13T18g	1.727916424075493e-07
R_AG13T2g	1.837474360756597e-07
R_AGMTm	2.9316822936185927e-06
R_AGTim	3.992192327441271e-06
R_AHANDROSTANGLCte	-9.20293766193403e-09
R_AHEXASE2ly	-4.5955118599394496e-09
R_AIRCr	2.3408954197279286e-06
R_AKGMALtm	-1.55002692676931e-05
R_AKGt4_3	-7.4340822766433e-06
R_AKR1C41	1.4785127811770948e-05
R_AKR1D	1.7019572561584146e-08
R_ALAGLYexR	-1.818616038522198e-08
R_ALASERNaEx	2.3807099028244627e-05
R_ALASm	8.674004771123955e-05
R_ALATHRNaEx	2.3842928721748424e-05
R_ALCD21_D	9.12478684345075e-05
R_ALCD22_D	0.00013541921569296123
R_ALCD2y	-3.745815532751884e-09
R_ALDD20xm	3.149051591377905e-06
R_ALDD2xm	2.0051755065919608e-05
R_ALDD2y	1.3884165015853878e-05
R_ALDSTRNte	4.281063118935502e-08
R_ALDSTRNtm	-4.2810634710843676e-08
R_ALOX15	6.658957859546444e-07
R_ALR2	8.824123890976976e-05
R_ALR3	8.924452097294755e-05
R_AMACR2p	1.0008977482531267e-05
R_AMACRp	3.383205773092174e-06
R_AMETr	1.777779880425545e-05
R_AMETt2m	7.240692522871017e-06
R_AMPDA	0.0002599439011146745
R_AMY2e	-7.163238516239012e-09
R_ANDRSTRNGLCte	7.249132023962046e-07
R_ANDRSTRNGLCtr	-7.249132020839544e-07
R_ANDRSTRNtr	-5.696236633104951e-06
R_ANTIPYRENEte	-6.613695771595651e-10
R_APOCFm	9.473264018230315e-06
R_APOC_LYS_BTNP	6.746929200301954e-06
R_APRTO2	5.843685938831944e-06
R_ARAB_Lt	-4.5102810375396984e-17
R_ARABR	-4.9938742863187e-09
R_ARACHDCOAtx	4.059793845019935e-05
R_ARACHDt2	5.439644857563146e-05
R_ARACHt	7.240198163718792e-05
R_ARGDCm	2.9488147380227203e-06
R_ARGLYSex	8.519890617491796e-05
R_ARGSS	1.260153142279563e-06
R_ARGt4	4.428072152116991e-05
R_ARTCOAL3_cho	1.1027410216149502e-06
R_R_group_phosphotase_2	4.34568595546192e-06
R_R_group_phosphotase_3	0.0001108527277980699
R_ASCBOX_1	3.8174951566202764e-07
R_ASCBt	0.00016454493505142082
R_ASNCYSNaEx	2.4585942497101776e-05
R_ASNGLNNaEx	2.3999182367132055e-05
R_ASNNm	5.220136096940366e-05
R_ASNS1	1.0902916987021172e-06
R_ASNt4	3.282508381605154e-05
R_ASPDxt	1.997303322731625e-09
R_ASPGLUm	1.2746857145654045e-05
R_ASPNATm	3.2688790156127495e-05
R_ASPt6	1.3499690306312262e-05
R_ASPTAm	-6.2045479462952136e-06
R_ATP1ter	2.236510818868359e-05
R_BILGLCURte	4.529716753909341e-07
R_BILIRED	1.2144371379363417e-06
R_EX_6htststerone_e	5.389069900156584e-07
R_ATPasel_1	2.299102100672412e-06
R_ATPtn	5.91595344991494e-06
R_ATPtx	2.3971304563621953e-05
R_AVITE2t	-4.989965277785169e-09
R_B3GALT3g	3.627811922635865e-06
R_B3GALT42g	6.635448392133814e-09
R_B3GALTg	1.8725018499816948e-06
R_B3GNT11g	2.991059905085164e-06
R_B3GNT310g	5.226231310101817e-06
R_B3GNT315g	6.403731990217015e-07
R_B3GNT31g	5.789348235616526e-07
R_B3GNT34g	4.206343153650982e-07
R_B3GNT37g	1.1747245674473272e-08
R_B3GNT39g	1.4436300982013234e-06
R_B3GNT51g	7.098733162904172e-06
R_BAAT1x	2.745439331820667e-06
R_BAAT3x	9.999523966398044e-06
R_BACCL	6.746929201363605e-06
R_BALAVECSEC_1	1.6858962760236442e-08
R_BDHm	-7.459643131091376e-06
R_BETALDHxm	5.537983068275992e-06
R_BHBtm	-7.45964313056055e-06
R_BHMT	3.61599361604331e-06
R_BILDGLCURt	4.0988055286278277e-10
R_BTNDm	9.473264017800971e-06
R_BTNPL	6.74692920070441e-06
R_BTNt2m	1.2420125309366148e-05
R_BTNt3i_1	2.0244628338578208e-06
R_BVITEt	-4.989965277785169e-09
R_BZtr	7.373467152821389e-09
R_C160CPT1	3.378460474559586e-05
R_C160CPT2	-1.5818962330174657e-05
R_C160CRNt	-7.825176205192297e-06
R_C161CPT1	-5.482129838141336e-07
R_C161CPT12	-6.439929404494782e-06
R_C161CPT2	2.912351242011918e-06
R_C161CRN2t	-2.7599957651124746e-06
R_C161CRNt	8.567723247705772e-07
R_C180CPT1	-2.6393007295358317e-05
R_C181CPT1	2.6394872892104848e-05
R_C181CRNt	2.1487920819074358e-06
R_C204CPT1	-2.358406215675901e-05
R_C204CPT2	2.339865601375807e-06
R_C226COAtx	2.705580341605049e-05
R_C226CPT1	5.184483868136969e-05
R_C226CPT2	5.1841069471633694e-05
R_C226CRNt	3.4930326519830995e-05
R_C3STDH1r	8.26787073152091e-07
R_C4STMO1r	6.915995465969771e-07
R_C4STMO2Pr	6.224321275755118e-07
R_CAATPS_1	2.4629974131745724e-06
R_CAROtr	5.551115123125783e-17
R_CAt7r	-4.395089543498458e-06
R_CATm	3.245368197761153e-05
R_CATp	0.00020182675547982323
R_CBL2tm	-9.56033150496978e-09
R_CBPPer	1.0197144691692639e-06
R_CBR2	0.00010321306297854382
R_CDIPTr	3.5072697868177016e-06
R_CDPDAGtm	-5.0943799105342136e-06
R_CDS	1.1099000727030073e-06
R_CERT1gt	2.947970763531732e-06
R_CERT1rt	1.0741271624838816e-05
R_CERT2rt	1.5200222227522778e-05
R_CH25H	1.8982134337842786e-06
R_CHATn	2.285567528028075e-08
R_CHLP	2.0129931353513215e-06
R_CHOLD2m	5.537983068238696e-06
R_CHOLK	0.0001330467330333679
R_CHOLPtl	-7.927552553889383e-07
R_CHOLtn	2.360086576863596e-08
