	0
R_24_25DHVITD3tm	1.3909028107712221e-08
R_25HVITD3t	5.379997617002696e-06
R_COAtl	5.639453879192902e-06
R_EX_5adtststerone_e	4.504046766801162e-07
R_EX_5adtststerones_e	4.516979649205055e-07
R_EX_5fthf_e	-3.99479355844834e-09
R_EX_5htrp_e	3.6932452227161905e-06
R_EX_5mthf_e	0.00011420444491253012
R_EX_5thf_e	-6.083217908570138e-09
R_EX_6dhf_e	-4.2848136358464295e-09
R_24_25VITD3Hm	1.390922328671152e-08
R_24NPHte	6.906756278013404e-09
R_10FTHF7GLUtl	4.568770808788258e-06
R_10FTHFtm	-6.967978115666323e-05
R_11DOCRTSLtr	-1.0829848811205744e-06
R_13DAMPPOX	1.4855462447359302e-06
R_24_25DHVITD2t	4.692613596313233e-08
R_24_25DHVITD2tm	4.692624706870152e-08
R_24_25DHVITD3t	4.011735149023199e-06
R_25VITD2Hm	6.071656315000682e-06
R_2AMACHYD	3.2372097680366096e-06
R_2AMACSULT	2.369164550326819e-06
R_2AMADPTm	4.122191366035769e-06
R_2MCITt	5.535974450562864e-06
R_2OXOADOXm	1.1468133534822678e-05
R_2OXOADPTm	-1.049376137750394e-05
R_34DHPHEt	-5.72808870118081e-06
R_34DHXMANDACOX	3.4046635271289816e-05
R_34HPLFM	3.0279087013938832e-05
R_3AIBtm	1.0562569575709932e-05
R_3HAO	1.4282318759196836e-06
R_3MOBt2im	3.4833889605151436e-06
R_3MOPt2im	3.5026950517824673e-06
R_3MOXTYROX	1.0001286670866666e-06
R_3SALAOX	8.838981590889028e-07
R_42A12BOOX	7.039271189539925e-07
R_4HBZCOAFm	6.31775154935621e-06
R_4HBZFm	6.317751547989248e-06
R_4HDEBRISOQUINEte	7.315469369162386e-09
R_4HOXPACDOX_NADP	-4.285139869643351e-05
R_4MOPt2im	3.804520105447906e-06
R_4MPTNLte	3.396653169338015e-05
R_4NPHSULT	-5.37185974869292e-09
R_4PYRDX	4.065357893608124e-06
R_5ADTSTSTERONEGLCtr	-8.701904394906035e-07
R_5ADTSTSTERONESULT	7.345516770153326e-07
R_5ADTSTSTERONEte	-4.504046787062732e-07
R_5FTHFt2_1	-1.997395693287274e-09
R_5HOXINOXDA	2.016919947926514e-06
R_5THFtl	3.0882343383803468e-06
R_5THFtm	2.186687466029791e-06
R_7DHCHSTEROLtr	-9.928458707130633e-05
R_7DHFtm	2.3467603573884555e-06
