	0
R_24_25DHVITD3tm	2.8620465255299165e-08
R_25HVITD3t	5.837544323511468e-06
R_COAtl	5.986876049024481e-06
R_EX_5adtststerone_e	8.579800689356709e-09
R_EX_5adtststerones_e	8.570368498217462e-09
R_EX_5fthf_e	-3.995391503752721e-09
R_EX_5htrp_e	2.830539974400803e-06
R_EX_5mthf_e	0.0001490243142572567
R_EX_5thf_e	-6.084821153884423e-09
R_EX_6dhf_e	-4.284921778507922e-09
R_24_25VITD3Hm	2.862046556174891e-08
R_24NPHte	6.908534355698492e-09
R_10FTHF7GLUtl	4.89172321416903e-06
R_10FTHFtm	-7.910513266295993e-05
R_11DOCRTSLtr	-7.828358329631246e-09
R_13DAMPPOX	1.4760055992552555e-06
R_24_25DHVITD2t	8.20724260317679e-06
R_24_25DHVITD2tm	8.207242603197606e-06
R_24_25DHVITD3t	4.302508846899811e-06
R_25VITD2Hm	5.5060987930394614e-06
R_2AMACHYD	3.626420698098627e-06
R_2AMACSULT	2.185143143269841e-06
R_2AMADPTm	1.2972701714954356e-05
R_2MCITt	5.478570367652147e-06
R_2OXOADOXm	1.3364722784889316e-05
R_2OXOADPTm	-8.00030295747007e-06
R_34DHPHEt	-5.0947339727196e-06
R_34DHXMANDACOX	2.365384144110451e-05
R_34HPLFM	3.126078932070425e-05
R_3AIBtm	1.598234585134528e-05
R_3HAO	1.9301111165107715e-06
R_3MOBt2im	3.4771810991096608e-06
R_3MOPt2im	3.4382141598232607e-06
R_3MOXTYROX	1.1929374799726777e-06
R_3SALAOX	1.4018144052982406e-06
R_42A12BOOX	8.806346634068762e-07
R_4HBZCOAFm	6.908464635670131e-06
R_4HBZFm	6.908464635642375e-06
R_4HDEBRISOQUINEte	7.317388209249209e-09
R_4HOXPACDOX_NADP	-3.8372412088247265e-05
R_4MOPt2im	3.7406329725098164e-06
R_4MPTNLte	8.143487829626039e-07
R_4NPHSULT	-5.373294920119065e-09
R_4PYRDX	5.088176165755909e-06
R_5ADTSTSTERONEGLCtr	-2.0928925516250363e-08
R_5ADTSTSTERONESULT	7.935512627982311e-07
R_5ADTSTSTERONEte	-8.579998135582745e-09
R_5FTHFt2_1	-1.997708942713672e-09
R_5HOXINOXDA	2.086807272774771e-06
R_5THFtl	3.1936140368546417e-06
R_5THFtm	2.36939897585442e-06
R_7DHCHSTEROLtr	-6.837074313739006e-05
R_7DHFtm	2.5729454324677214e-06
R_A4GALTc	7.320122413063956e-06
R_A4GALTg	4.821808396296423e-06
R_A4GNT2g	-9.562830924061369e-09
R_AACTtm	0.0001269688096998331
R_ABO1g	3.09041232258257e-08
R_ABO4g	3.1639804425321416e-08
R_ABO5g	3.1639677024595835e-08
R_ABO6g	3.1429268610194054e-08
R_ABO7g	3.142912867919785e-08
R_ABO9g	5.226296823292756e-08
R_ABTArm	-0.00017319196729601027
R_ABTt	-1.4282280446718809e-05
R_ABUTt2rL	3.3070287212734126e-05
R_ACACT10m	-1.809782692008266e-05
R_ACACT5p	1.8268595829089296e-05
R_ACACT8p	1.4030099500225712e-05
R_ACACT9p	8.78243171261589e-06
R_ACALDtr	2.0449798643351613e-07
R_ACALDtx	-3.745755094985981e-09
R_ACCOALm	3.5797224290437524e-06
R_ACCOAtr	-1.1749632847401353e-05
R_ACETONEt2	2.4652705627598026e-07
R_ACGAGBSIDEtl	2.8355896714016282e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.27546610667806e-08
R_ACGALtlg	-3.286471030206073e-06
R_ACGAMK	6.633189544948126e-06
R_ACGAMPM	7.470714967318381e-05
R_ACGAMtly	4.9039459100980176e-05
R_ACGBGBSIDEtl	3.286471027923177e-06
R_ACHtn	2.387916802487622e-08
R_ACHVESSEC_1	1.6791409597723268e-08
R_ACN13ACNGALGBSIDEtg	-2.641656476898291e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.465564724081105e-09
R_ACNACNGALGBSIDEtg	-2.641611117348841e-09
R_ACNAMlt	-4.660958645982122e-06
R_ACNAMtn	2.5858562826261422e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-3.741704671586521e-07
R_ACNML	-9.302103897664005e-06
R_ACOAD10m	7.207143555149065e-06
R_ACOAD8m	1.1301150680750882e-05
R_ACOAD9m	1.7565168418672006e-05
R_ACOAO7p	4.790043770325214e-06
R_ACODA	-4.993789866000742e-09
