	0
R_24_25DHVITD3tm	3.044496597117167e-08
R_25HVITD3t	5.015724096175955e-06
R_COAtl	8.108377603843753e-06
R_EX_5adtststerone_e	5.651088721518593e-07
R_EX_5adtststerones_e	5.583127479676098e-07
R_EX_5fthf_e	-3.9951605426691295e-09
R_EX_5htrp_e	3.5813080078613002e-06
R_EX_5mthf_e	0.00011945258420524921
R_EX_5thf_e	-6.084188236554766e-09
R_EX_6dhf_e	-4.284883798472139e-09
R_24_25VITD3Hm	3.044500910057146e-08
R_24NPHte	6.907814830564574e-09
R_10FTHF7GLUtl	4.3004686531983305e-06
R_10FTHFtm	-5.683155881356511e-05
R_11DOCRTSLtr	-5.327474802002685e-07
R_13DAMPPOX	1.609928450014425e-06
R_24_25DHVITD2t	6.874606006967293e-06
R_24_25DHVITD2tm	6.874606025174951e-06
R_24_25DHVITD3t	3.7209948321424713e-06
R_25VITD2Hm	4.663493751909387e-06
R_2AMACHYD	4.156601326824765e-06
R_2AMACSULT	1.4439492783679952e-06
R_2AMADPTm	4.1801328217504555e-06
R_2MCITt	5.029804759831835e-06
R_2OXOADOXm	1.7356986471636637e-05
R_2OXOADPTm	-1.1116198495693549e-05
R_34DHPHEt	-9.026156521990604e-06
R_34DHXMANDACOX	3.79248126550491e-05
R_34HPLFM	2.3605745817185247e-05
R_3AIBtm	1.0886688503651109e-05
R_3HAO	3.288783727736083e-06
R_3MOBt2im	1.694906394509102e-05
R_3MOPt2im	1.7607672908644817e-05
R_3MOXTYROX	5.821344473487641e-07
R_3SALAOX	2.8965350153398184e-06
R_42A12BOOX	3.900897725984953e-07
R_4HBZCOAFm	6.271741037407186e-06
R_4HBZFm	6.271741029444805e-06
R_4HDEBRISOQUINEte	7.316609682700426e-09
R_4HOXPACDOX_NADP	-3.785014483462246e-05
R_4MOPt2im	1.8745148161993658e-05
R_4MPTNLte	2.3349240246887254e-05
R_4NPHSULT	-5.3726844084778236e-09
R_4PYRDX	4.390984382748875e-06
R_5ADTSTSTERONEGLCtr	-4.001953433918626e-08
R_5ADTSTSTERONESULT	7.532206609123238e-07
R_5ADTSTSTERONEte	-5.651089829486478e-07
R_5FTHFt2_1	-1.9975871998201278e-09
R_5HOXINOXDA	1.436734543301026e-06
R_5THFtl	2.8565240446053186e-06
R_5THFtm	2.022539642449611e-06
