	0
R_24_25DHVITD3tm	2.956997918453306e-08
R_25HVITD3t	5.109071771699364e-06
R_COAtl	5.284310244667995e-06
R_EX_5adtststerone_e	7.677017951901455e-09
R_EX_5adtststerones_e	7.677002675926525e-09
R_EX_5fthf_e	-3.995581702304074e-09
R_EX_5htrp_e	3.404272366839406e-06
R_EX_5mthf_e	9.027651683074164e-05
R_EX_5thf_e	-6.08531044651861e-09
R_EX_6dhf_e	-4.2849555952073626e-09
R_24_25VITD3Hm	2.956998011529352e-08
R_24NPHte	6.9090757837120265e-09
R_10FTHF7GLUtl	4.348293426860439e-06
R_10FTHFtm	-5.451668413647068e-05
R_11DOCRTSLtr	-2.9309982892133934e-08
R_13DAMPPOX	1.4320911964314786e-06
R_24_25DHVITD2t	4.973829221471132e-06
R_24_25DHVITD2tm	4.973829221637666e-06
R_24_25DHVITD3t	3.7924208282427707e-06
R_25VITD2Hm	4.953884015844283e-06
R_2AMACHYD	3.594134147951963e-06
R_2AMACSULT	2.76269697902648e-06
R_2AMADPTm	3.525390260404062e-06
R_2MCITt	5.871025882498576e-06
R_2OXOADOXm	1.5264648858731578e-05
R_2OXOADPTm	-9.700360815669083e-06
R_34DHPHEt	-7.073022373396584e-06
R_34DHXMANDACOX	4.118712119330348e-05
R_34HPLFM	2.9934285849866904e-05
R_3AIBtm	1.3167532723194243e-05
R_3HAO	3.131528206088373e-06
R_3MOBt2im	1.9440969012570614e-05
R_3MOPt2im	1.929387992465753e-05
R_3MOXTYROX	9.6170445778275e-07
R_3SALAOX	6.593076564420652e-07
R_42A12BOOX	6.945809860933044e-07
R_4HBZCOAFm	6.39991829074274e-06
R_4HBZFm	6.399918290357631e-06
R_4HDEBRISOQUINEte	7.317974656806392e-09
R_4HOXPACDOX_NADP	-4.32385224259646e-05
R_4MOPt2im	2.1802546681284896e-05
R_4MPTNLte	8.852881692514303e-07
R_4NPHSULT	-5.373729822233386e-09
R_4PYRDX	4.538327732613728e-06
R_5ADTSTSTERONEGLCtr	-4.1990279388975926e-08
R_5ADTSTSTERONESULT	7.23503370339551e-07
R_5ADTSTSTERONEte	-7.677356628904564e-09
R_5FTHFt2_1	-1.9977902665502256e-09
R_5HOXINOXDA	1.789273030949716e-06
R_5THFtl	2.8980563005452653e-06
R_5THFtm	2.1667199202497767e-06
R_7DHCHSTEROLtr	-7.247286360805363e-05
R_7DHFtm	2.2478643530408904e-06
R_A4GALTc	4.1130204242146474e-08
R_A4GALTg	2.0786678945967564e-07
R_A4GNT2g	-9.563643245174766e-09
R_AACTtm	0.00012744033052440942
R_ABO1g	3.1714505371438685e-08
R_ABO4g	3.243809061905603e-08
R_ABO5g	3.2437831672529236e-08
R_ABO6g	3.221473055412003e-08
R_ABO7g	3.2214442256796813e-08
R_ABO9g	5.330595571630907e-08
R_ABTArm	2.4029392018498456e-05
R_ABTt	-9.464024377847657e-06
R_ABUTt2rL	4.0427202408521365e-05
R_ACACT10m	-1.463366966464319e-05
R_ACACT5p	1.6817191673297593e-05
R_ACACT8p	1.2203393446923172e-05
R_ACACT9p	7.886038633136971e-06
R_ACALDtr	2.7682845298721004e-07
R_ACALDtx	-3.745926645259967e-09
R_ACCOALm	2.9330942378433256e-06
R_ACCOAtr	-6.459182605366223e-05
R_ACETONEt2	-5.376179770269496e-06
R_ACGAGBSIDEtl	3.7064212171644684e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.340884626237828e-08
R_ACGALtlg	-3.855541906572224e-08
R_ACGAMK	1.4922811656173374e-06
R_ACGAMPM	8.755844985036676e-05
R_ACGAMtly	4.717930041822638e-05
R_ACGBGBSIDEtl	3.855499144944652e-08
R_ACHtn	6.1528362622631505e-06
R_ACHVESSEC_1	1.7240912274730174e-08
R_ACN13ACNGALGBSIDEtg	-1.9824625253905825e-08
R_ACNACNGAL14ACGLCGALGLUSIDEtg	2.2078924709345582e-07
R_ACNACNGALGBSIDEtg	-1.9824616510899506e-08
R_ACNAMlt	-5.523490805223186e-06
R_ACNAMtn	3.37222760935299e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-5.395631196974948e-07
R_ACNML	-1.9250463847202137e-05
R_ACOAD10m	6.725035134699797e-06
R_ACOAD8m	9.212339426800664e-06
R_ACOAD9m	9.656469184465832e-06
R_ACOAO7p	4.700555583915522e-06
R_ACODA	-4.994033162702971e-09
R_ACONTm	4.835937084904374e-05
R_ACP1_FMN	3.4072929606110414e-06
R_ACS2	1.0711936747898054e-06
R_ACSRTNMT	8.057703611903725e-08
R_ACt2r	-3.339837200028867e-05
R_ADEt	-3.910934510875479e-05
R_ADK3	9.914556605074287e-06
R_ADK3m	4.364702640292928e-05
R_ADKd	-9.226599205122005e-05
R_ADMDC	2.0553146995686e-05
R_ADNt4	3.286878042182509e-06
R_ADNtl	1.1810576072395634e-05
R_ADNtm	-1.6475362371592972e-07
R_ADPMAN	-4.994031813088107e-09
R_ADPRIBt	-5.1311382735503945e-09
R_ADRNCOAtx	7.864870455911999e-06
R_ADRNCRNt	6.381535012200956e-06
R_ADSL2r	2.3529654622767016e-06
R_AG13T16g	1.8797749353968718e-07
R_AG13T18g	1.7551943913909906e-07
R_AG13T2g	1.6108805273584714e-06
R_AGMTm	3.3994049545724918e-06
R_AGTim	1.810488179152916e-06
R_AHANDROSTANGLCte	-9.203614485114864e-09
R_AHEXASE2ly	-4.591888147498224e-09
R_AIRCr	2.3529654640946918e-06
R_AKGMALtm	-6.0781913261795384e-05
R_AKGt4_3	-0.0003320377969073633
R_AKR1C41	2.65673381965074e-08
R_AKR1D	3.643682258518133e-08
R_ALAGLYexR	-1.3759515264809644e-12
R_ALASERNaEx	2.690016030701403e-05
R_ALASm	9.646923991549206e-05
R_ALATHRNaEx	2.7168127634064065e-05
R_ALCD21_D	9.66560093886154e-05
R_ALCD22_D	0.00015226537653986738
R_ALCD2y	-3.745927013021344e-09
R_ALDD20xm	2.40244122406974e-06
R_ALDD2xm	2.6621155751027636e-05
R_ALDD2y	1.4440469748411289e-05
R_ALDSTRNte	1.0519807143102855e-07
R_ALDSTRNtm	-1.0519810265605112e-07
R_ALOX15	6.643389054628761e-07
R_ALR2	9.505562944789325e-05
R_ALR3	9.58684216930128e-05
R_AMACR2p	7.848266872813314e-06
R_AMACRp	3.483139326437845e-06
R_AMETr	1.3229100983502828e-05
R_AMETt2m	8.870861901572047e-06
R_AMPDA	0.00017368192370129099
R_AMY2e	-7.163709514479422e-09
R_ANDRSTRNGLCte	2.9125267028001778e-08
R_ANDRSTRNGLCtr	-2.912553410602814e-08
R_ANDRSTRNtr	-3.7824678617431884e-06
R_ANTIPYRENEte	-6.614626797685208e-10
R_APOCFm	8.692534089964343e-06
R_APOC_LYS_BTNP	6.508640122866727e-06
R_APRTO2	6.455824442501076e-06
R_ARAB_Lt	-9.71445146547012e-17
R_ARABR	-4.994034630279032e-09
R_ARACHDCOAtx	3.8779506616810205e-05
R_ARACHDt2	3.29269746158975e-05
R_ARACHt	5.052335993780896e-05
R_ARGDCm	8.460040309937744e-06
R_ARGLYSex	6.969768603916696e-05
R_ARGSS	1.1643779096871636e-06
R_ARGt4	1.7452394216793367e-08
R_ARTCOAL3_cho	1.0590966615167674e-06
R_R_group_phosphotase_2	4.119355869879049e-06
R_R_group_phosphotase_3	0.00010732564937611377
R_ASCBOX_1	4.2467864746001394e-07
R_ASCBt	0.00011555929176431182
R_ASNCYSNaEx	2.710587591640834e-05
R_ASNGLNNaEx	2.659911229403733e-05
R_ASNNm	4.70680479328538e-05
R_ASNS1	1.0579622032325098e-06
R_ASNt4	3.7160382514001e-05
R_ASPDxt	1.9973725590149982e-09
R_ASPGLUm	1.5282856596396388e-05
R_ASPNATm	3.1580358412532095e-05
R_ASPt6	8.485670798434185e-06
R_ASPTAm	-1.5102386947643542e-05
R_ATP1ter	2.706189775101772e-05
R_BILGLCURte	2.156260197457016e-06
R_BILIRED	1.0636473775638144e-06
R_EX_6htststerone_e	1.6146556078289187e-08
R_ATPasel_1	2.4122433610537786e-06
R_ATPtn	4.466352759645992e-06
R_ATPtx	1.7453089773106223e-05
R_AVITE2t	-4.990228324314172e-09
R_B3GALT3g	1.7812830933883195e-07
R_B3GALT42g	7.425450487773527e-07
R_B3GALTg	1.7526162496526998e-06
R_B3GNT11g	2.0875437774653394e-06
R_B3GNT310g	4.033698635733975e-06
R_B3GNT315g	5.959178214507213e-07
R_B3GNT31g	3.297326434375386e-08
