	0
R_24_25DHVITD3tm	2.99396415469398e-08
R_25HVITD3t	5.365532016909924e-06
R_COAtl	5.587497005216102e-06
R_EX_5adtststerone_e	9.838915824428307e-09
R_EX_5adtststerones_e	9.83759421840924e-09
R_EX_5fthf_e	-3.9955884607867365e-09
R_EX_5htrp_e	3.208173227148975e-06
R_EX_5mthf_e	9.713444968780655e-05
R_EX_5thf_e	-6.085337622696585e-09
R_EX_6dhf_e	-4.284961066525206e-09
R_24_25VITD3Hm	2.9939683722919304e-08
R_24NPHte	6.909094713014596e-09
R_10FTHF7GLUtl	4.631961735005602e-06
R_10FTHFtm	-6.41079118924269e-05
R_11DOCRTSLtr	-1.1673676279105871e-08
R_13DAMPPOX	1.579046714727389e-06
R_24_25DHVITD2t	5.020391496451254e-06
R_24_25DHVITD2tm	5.02039152320416e-06
R_24_25DHVITD3t	4.014484956134379e-06
R_25VITD2Hm	5.266154034357616e-06
R_2AMACHYD	3.215557072543736e-06
R_2AMACSULT	2.3637329777392857e-06
R_2AMADPTm	6.012967163646814e-06
R_2MCITt	6.0537606430995095e-06
R_2OXOADOXm	9.591433940664418e-06
R_2OXOADPTm	-1.2936584019965485e-05
R_34DHPHEt	-1.1679081397081791e-05
R_34DHXMANDACOX	3.13140402414952e-05
R_34HPLFM	2.5956317994377948e-05
R_3AIBtm	9.87953651203832e-06
R_3HAO	6.563278778487882e-08
R_3MOBt2im	9.101184751801605e-06
R_3MOPt2im	9.014047952931453e-06
R_3MOXTYROX	7.330878516237024e-07
R_3SALAOX	1.0009665414555113e-06
R_42A12BOOX	4.895859916816125e-07
R_4HBZCOAFm	6.534493185265944e-06
R_4HBZFm	6.534493175346795e-06
R_4HDEBRISOQUINEte	7.317924748811988e-09
R_4HOXPACDOX_NADP	-4.2670930664609474e-05
R_4MOPt2im	1.0716360372638872e-05
R_4MPTNLte	9.486854178137466e-06
R_4NPHSULT	-5.37370631326084e-09
R_4PYRDX	3.5544161558868914e-06
R_5ADTSTSTERONEGLCtr	-2.2033233699342292e-08
R_5ADTSTSTERONESULT	7.595792127640388e-07
R_5ADTSTSTERONEte	-9.84069092532791e-09
R_5FTHFt2_1	-1.997807294595866e-09
R_5HOXINOXDA	1.6439324252975202e-06
R_5THFtl	3.0649097220794563e-06
R_5THFtm	2.378545787495856e-06
R_7DHCHSTEROLtr	-7.573695933026786e-05
R_7DHFtm	2.4490738525159705e-06
R_A4GALTc	6.4429728088989235e-06
R_A4GALTg	4.026066643682182e-06
R_A4GNT2g	-9.562738990389141e-09
R_AACTtm	0.00010867675511009797
R_ABO1g	3.129704943936668e-08
R_ABO4g	3.2266872318374445e-08
R_ABO5g	3.226438705958915e-08
R_ABO6g	3.2122634538868363e-08
R_ABO7g	3.211995015406939e-08
R_ABO9g	5.256518850292146e-08
R_ABTArm	-3.7569926091563996e-05
R_ABTt	-1.0859464483661818e-05
R_ABUTt2rL	2.490490349713395e-05
R_ACACT10m	-1.3859024052875757e-05
R_ACACT5p	1.757615078232938e-05
R_ACACT8p	1.3186125309802565e-05
R_ACACT9p	7.272005531890058e-06
R_ACALDtr	1.788949952577501e-06
R_ACALDtx	-3.745924431752812e-09
R_ACCOALm	3.168471488426e-06
R_ACCOAtr	-3.2306800915033254e-05
R_ACETONEt2	-2.1170836026207507e-06
R_ACGAGBSIDEtl	2.9031188106265482e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.324174316018946e-08
R_ACGALtlg	-2.95456406410044e-06
R_ACGAMK	4.032919721848327e-06
R_ACGAMPM	6.852282648943386e-05
R_ACGAMtly	4.385632911147949e-05
R_ACGBGBSIDEtl	2.954563191701065e-06
R_ACHtn	4.142978414445331e-06
R_ACHVESSEC_1	1.7375802157342318e-08
R_ACN13ACNGALGBSIDEtg	-2.6783448479894556e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.3845986638358916e-09
R_ACNACNGALGBSIDEtg	-2.6778965156459833e-09
R_ACNAMlt	-4.574538053941923e-06
R_ACNAMtn	2.13125499560346e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-2.925079766388783e-07
R_ACNML	-6.367686724236682e-06
R_ACOAD10m	6.768256624808955e-06
R_ACOAD8m	9.337260322636598e-06
R_ACOAD9m	1.2194571980331248e-05
R_ACOAO7p	4.62518442156945e-06
R_ACODA	-4.994049419664026e-09
