	0
R_24_25DHVITD3tm	3.009291922796047e-08
R_25HVITD3t	4.995593846323504e-06
R_COAtl	5.123633450964532e-06
R_EX_5adtststerone_e	7.460154785345063e-07
R_EX_5adtststerones_e	7.34522493977402e-07
R_EX_5fthf_e	-3.9952268264531465e-09
R_EX_5htrp_e	3.655884295666184e-06
R_EX_5mthf_e	8.12028116264421e-05
R_EX_5thf_e	-6.084363964042883e-09
R_EX_6dhf_e	-4.28489322149006e-09
R_24_25VITD3Hm	3.009292019739984e-08
R_24NPHte	6.908024024337989e-09
R_10FTHF7GLUtl	4.071298100222914e-06
R_10FTHFtm	-0.00011171242506122225
R_11DOCRTSLtr	-1.9174779125608055e-08
R_13DAMPPOX	1.5449951596500228e-06
R_24_25DHVITD2t	6.6890783187271985e-06
R_24_25DHVITD2tm	6.68907831897006e-06
R_24_25DHVITD3t	3.6974043585956406e-06
R_25VITD2Hm	4.393742650521046e-06
R_2AMACHYD	2.3141015820152928e-06
R_2AMACSULT	3.5017414359850285e-06
R_2AMADPTm	1.4566710318577865e-06
R_2MCITt	4.574611457391908e-06
R_2OXOADOXm	1.5157725717890314e-05
R_2OXOADPTm	-1.6620356113304657e-06
R_34DHPHEt	-4.42123478705528e-06
R_34DHXMANDACOX	3.9396572817429476e-05
R_34HPLFM	2.135860602283865e-05
R_3AIBtm	1.1432380795470265e-05
R_3HAO	6.54996562477157e-08
R_3MOBt2im	2.078943583135387e-05
R_3MOPt2im	2.110599494176829e-05
R_3MOXTYROX	5.83481521731306e-07
R_3SALAOX	-6.630909918370342e-10
R_42A12BOOX	3.9637513249250744e-07
R_4HBZCOAFm	5.688190176399155e-06
R_4HBZFm	5.688190176097313e-06
R_4HDEBRISOQUINEte	7.316835793497178e-09
R_4HOXPACDOX_NADP	-4.037492966948997e-05
R_4MOPt2im	2.190933284985236e-05
R_4MPTNLte	3.233142750554141e-05
R_4NPHSULT	-5.3728881899139935e-09
R_4PYRDX	4.267244010348892e-06
R_5ADTSTSTERONEGLCtr	-4.002414135881316e-08
R_5ADTSTSTERONESULT	7.283794076218264e-07
R_5ADTSTSTERONEte	-7.460154785761397e-07
R_5FTHFt2_1	-1.997612450455044e-09
R_5HOXINOXDA	1.2785257828417003e-06
R_5THFtl	2.710911097499047e-06
R_5THFtm	1.762628591733123e-06
R_7DHCHSTEROLtr	-6.732184735318975e-05
R_7DHFtm	2.02718652269826e-06
R_A4GALTc	6.540352254073324e-06
R_A4GALTg	5.114976498485878e-06
R_A4GNT2g	-9.56224725432147e-09
R_AACTtm	0.00010360648514223456
R_ABO1g	3.23879979450852e-08
R_ABO4g	3.5190143783321685e-08
R_ABO5g	3.518989151485395e-08
R_ABO6g	3.705373637381504e-08
R_ABO7g	3.7053434274015066e-08
R_ABO9g	6.108082820401927e-08
R_ABTArm	-9.726909197052894e-05
R_ABTt	-8.71031597165367e-06
R_ABUTt2rL	2.93457392119955e-05
R_ACACT10m	-1.5002812108727559e-05
R_ACACT5p	1.2062305717548683e-05
R_ACACT8p	1.1623406568919692e-05
R_ACACT9p	7.020428850562643e-06
R_ACALDtr	9.626318423671537e-06
R_ACALDtx	-3.745597724341687e-09
R_ACCOALm	2.5368367284081897e-06
R_ACCOAtr	-4.005645917788507e-05
R_ACETONEt2	1.1915165709086573e-06
R_ACGAGBSIDEtl	9.594371766057097e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.840550391945308e-08
R_ACGALtlg	-2.55873837712306e-06
R_ACGAMK	2.559368933788969e-06
R_ACGAMPM	7.427898004075395e-05
R_ACGAMtly	4.3632808031598275e-05
R_ACGBGBSIDEtl	2.5587383712423473e-06
R_ACHtn	2.4486374997079174e-08
