	0
R_24_25DHVITD3tm	3.037874048920485e-08
R_25HVITD3t	4.720191268115653e-06
R_COAtl	5.3048576589796725e-06
R_EX_5adtststerone_e	2.7042234648430585e-07
R_EX_5adtststerones_e	2.6881848401785757e-07
R_EX_5fthf_e	-3.995474239654184e-09
R_EX_5htrp_e	2.8311462462321524e-06
R_EX_5mthf_e	0.00015182259705980375
R_EX_5thf_e	-6.085050466980713e-09
R_EX_6dhf_e	-4.2849381265419595e-09
R_24_25VITD3Hm	3.037874461231729e-08
R_24NPHte	6.9087820325774985e-09
R_10FTHF7GLUtl	4.3844748198462735e-06
R_10FTHFtm	-4.60973032993528e-05
R_11DOCRTSLtr	-2.5270006062672046e-07
R_13DAMPPOX	1.5088944726009135e-06
R_24_25DHVITD2t	6.75319726058804e-06
R_24_25DHVITD2tm	6.753197262357458e-06
R_24_25DHVITD3t	3.4981262134435587e-06
R_25VITD2Hm	4.546832750505075e-06
R_2AMACHYD	4.538915283544163e-06
R_2AMACSULT	3.0565176442134967e-06
R_2AMADPTm	6.864461091045425e-06
R_2MCITt	5.291424250243593e-06
R_2OXOADOXm	8.723658381171173e-06
R_2OXOADPTm	-1.3498513698080626e-05
R_34DHPHEt	-1.0769264214667822e-05
R_34DHXMANDACOX	3.4727068631008884e-05
R_34HPLFM	1.8154804062541635e-05
R_3AIBtm	8.97715320529683e-06
R_3HAO	2.7740682222190905e-06
R_3MOBt2im	3.7826119005091724e-05
R_3MOPt2im	4.109145978201806e-05
R_3MOXTYROX	1.224675229104591e-06
R_3SALAOX	6.742446103311095e-07
R_42A12BOOX	9.921162509932135e-07
R_4HBZCOAFm	5.816948704492203e-06
R_4HBZFm	5.8169487035415746e-06
R_4HDEBRISOQUINEte	7.317646315285753e-09
R_4HOXPACDOX_NADP	-3.371947474134496e-05
R_4MOPt2im	4.1859583456281546e-05
R_4MPTNLte	1.7099324808211164e-05
R_4NPHSULT	-5.373492206750541e-09
R_4PYRDX	3.814714730276253e-06
R_5ADTSTSTERONEGLCtr	-6.364740273746838e-07
R_5ADTSTSTERONESULT	7.673686362799637e-07
R_5ADTSTSTERONEte	-2.704223645982884e-07
R_5FTHFt2_1	-1.997765460004519e-09
R_5HOXINOXDA	2.266887486753258e-06
R_5THFtl	2.852268956334003e-06
R_5THFtm	2.218655174430345e-06
R_7DHCHSTEROLtr	-6.40562615692418e-05
R_7DHFtm	2.311743436820418e-06
R_A4GALTc	6.589452038169904e-06
R_A4GALTg	4.985151330862006e-06
R_A4GNT2g	-9.563200941645894e-09
R_AACTtm	0.00011841151081309204
R_ABO1g	3.242716845618541e-08
R_ABO4g	3.305991850644191e-08
R_ABO5g	3.30596817589695e-08
R_ABO6g	3.2806983474734056e-08
R_ABO7g	3.280671189381081e-08
R_ABO9g	5.439206325756647e-08
R_ABTArm	-4.452823798165072e-05
R_ABTt	-1.0810445821018977e-05
R_ABUTt2rL	3.228145653214401e-05
R_ACACT10m	-2.4522886879208006e-05
R_ACACT5p	1.8223869156057393e-05
R_ACACT8p	1.3802270412213713e-05
R_ACACT9p	8.272836461133137e-06
R_ACALDtr	6.3248837674709235e-06
R_ACALDtx	-3.745835391866237e-09
R_ACCOALm	3.1702831563562572e-06
R_ACCOAtr	-6.906334640737269e-05
R_ACETONEt2	-2.058097331225639e-06
R_ACGAGBSIDEtl	9.59324379757459e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.389085699925798e-08
R_ACGALtlg	-2.4296738432016962e-06
R_ACGAMK	1.7925746279671972e-06
R_ACGAMPM	8.568978431094942e-05
R_ACGAMtly	4.4248458810736135e-05
R_ACGBGBSIDEtl	2.429673803309995e-06
R_ACHtn	2.4674064180718602e-08
R_ACHVESSEC_1	1.3340064327667926e-06
R_ACN13ACNGALGBSIDEtg	-2.848385277642862e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.3441199809303157e-09
R_ACNACNGALGBSIDEtg	-2.8483844553839344e-09
R_ACNAMlt	-4.3268735050207285e-06
R_ACNAMtn	2.775653531717978e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.935839754451055e-07
R_ACNML	-1.4180371840942507e-05
R_ACOAD10m	3.061296212358844e-08
R_ACOAD8m	6.937312924809591e-08
R_ACOAD9m	4.400492316369853e-08
R_ACOAO7p	4.17399068475266e-06
R_ACODA	-4.993904867758858e-09
R_ACONTm	9.90183283692131e-05
R_ACP1_FMN	3.2057957166098383e-06
R_ACS2	1.16987493470333e-06
R_ACSRTNMT	8.18694329339172e-08
R_ACt2r	-2.6805370386673993e-05
R_ADEt	-0.00013217151585331877
R_ADK3	-4.7521542908234016e-08
R_ADK3m	5.5767111817525694e-05
R_ADKd	-6.618564223977337e-06
R_ADMDC	2.321178619142661e-05
R_ADNt4	1.130512551544751e-05
R_ADNtl	1.936706963852862e-05
R_ADNtm	-2.432143040520529e-06
R_ADPMAN	-4.993902374961223e-09
R_ADPRIBt	-5.1309995666333486e-09
R_ADRNCOAtx	7.977307310128023e-06
R_ADRNCRNt	1.6827274844088969e-06
R_ADSL2r	2.3212734705513327e-06
R_AG13T16g	1.900745931204817e-07
R_AG13T18g	1.7761701858257095e-07
R_AG13T2g	1.8836425706367232e-07
R_AGMTm	5.873976990814628e-06
R_AGTim	3.384953786643788e-06
R_AHANDROSTANGLCte	-9.203067766194728e-09
R_AHEXASE2ly	-4.596285130276101e-09
R_AIRCr	2.3212734783645272e-06
R_AKGMALtm	-1.6391167508372773e-05
R_AKGt4_3	-1.2063731561584405e-06
R_AKR1C41	1.7725311358315565e-08
R_AKR1D	1.7726341469350878e-08
R_ALAGLYexR	-1.1621804488900697e-06
R_ALASERNaEx	2.893251783832318e-05
R_ALASm	0.00010530538724473626
R_ALATHRNaEx	2.9026641877011317e-05
R_ALCD21_D	8.951558488429212e-05
R_ALCD22_D	0.00014638247786211145
R_ALCD2y	-3.745837667823437e-09
R_ALDD20xm	3.0700895154445185e-06
R_ALDD2xm	2.568319357310056e-05
R_ALDD2y	1.6158374586405788e-05
R_ALDSTRNte	4.380324329644747e-08
