	0
R_24_25DHVITD3tm	2.9804703962396217e-08
R_25HVITD3t	5.044992211739041e-06
R_COAtl	5.260410834019569e-06
R_EX_5adtststerone_e	3.3758899862373903e-07
R_EX_5adtststerones_e	3.354640118850838e-07
R_EX_5fthf_e	-3.995265299150397e-09
R_EX_5htrp_e	3.114685713401233e-06
R_EX_5mthf_e	9.402197712003388e-05
R_EX_5thf_e	-6.0844631936951554e-09
R_EX_6dhf_e	-4.284903414725205e-09
R_24_25VITD3Hm	2.980474018763723e-08
R_24NPHte	6.908116675918841e-09
R_10FTHF7GLUtl	4.241914665008978e-06
R_10FTHFtm	-9.986194074099522e-05
R_11DOCRTSLtr	-2.89675057517369e-08
R_13DAMPPOX	1.4975820003138712e-06
R_24_25DHVITD2t	4.216885676262827e-06
R_24_25DHVITD2tm	4.216885701260192e-06
R_24_25DHVITD3t	3.739440762023233e-06
R_25VITD2Hm	4.761990462582005e-06
R_2AMACHYD	1.6106446535588532e-06
R_2AMACSULT	3.2055994144946504e-06
R_2AMADPTm	9.420142810303081e-06
R_2MCITt	4.347621579210009e-06
R_2OXOADOXm	1.1446152161975753e-05
R_2OXOADPTm	-2.6266075909024342e-05
R_34DHPHEt	-6.737259301787656e-06
R_34DHXMANDACOX	2.2907234770191964e-05
R_34HPLFM	2.100070823612271e-05
R_3AIBtm	8.63760693182265e-06
R_3HAO	1.9698051130766654e-06
R_3MOBt2im	2.6769072780909176e-05
R_3MOPt2im	2.900295153720686e-05
R_3MOXTYROX	7.714951706554521e-07
R_3SALAOX	-6.724130870161549e-10
R_42A12BOOX	5.487661352693296e-07
R_4HBZCOAFm	5.92418107271675e-06
R_4HBZFm	5.9241810661074534e-06
R_4HDEBRISOQUINEte	7.316933250262059e-09
R_4HOXPACDOX_NADP	-2.828861555164569e-05
R_4MOPt2im	2.9497648122142617e-05
R_4MPTNLte	2.205899710979939e-05
R_4NPHSULT	-5.3729374421829235e-09
R_4PYRDX	4.469971748750912e-06
R_5ADTSTSTERONEGLCtr	-3.902520414114652e-08
R_5ADTSTSTERONESULT	7.597124368971531e-07
R_5ADTSTSTERONEte	-3.3758914957590647e-07
R_5FTHFt2_1	-1.997636805972647e-09
R_5HOXINOXDA	7.86281879909187e-08
R_5THFtl	2.7767661693496593e-06
R_5THFtm	1.9270181805877695e-06
R_7DHCHSTEROLtr	-6.427206940521138e-05
R_7DHFtm	2.1615894338633534e-06
R_A4GALTc	7.3973109860920455e-06
R_A4GALTg	4.173483539938669e-06
R_A4GNT2g	-9.561270198383762e-09
R_AACTtm	0.00010576771593661521
R_ABO1g	4.3780732742349643e-07
R_ABO4g	6.196322715310183e-07
R_ABO5g	6.196317804633283e-07
R_ABO6g	5.145448849714143e-07
R_ABO7g	5.145442421423084e-07
R_ABO9g	4.351895732785348e-07
R_ABTArm	-5.024757590353602e-05
R_ABTt	-9.65433091752732e-06
R_ABUTt2rL	3.303458907403384e-05
R_ACACT10m	-2.210063614324631e-05
R_ACACT5p	1.7513310612088384e-05
R_ACACT8p	1.3117271331304636e-05
R_ACACT9p	7.453044556113286e-06
R_ACALDtr	4.575233538892803e-06
R_ACALDtx	-3.7456227598708924e-09
R_ACCOALm	3.0980666077809124e-06
R_ACCOAtr	-5.58007609749063e-05
R_ACETONEt2	-1.305643173354909e-06
R_ACGAGBSIDEtl	2.885099576604988e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.145440388869271e-07
R_ACGALtlg	-2.606935964495627e-06
R_ACGAMK	3.4107543712760813e-06
R_ACGAMPM	8.744332147060663e-05
R_ACGAMtly	4.3566996121666146e-05
R_ACGBGBSIDEtl	2.606935546961564e-06
R_ACHtn	5.741550582777366e-06
R_ACHVESSEC_1	1.7357372669267804e-08
R_ACN13ACNGALGBSIDEtg	-2.9429386566581783e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.2823025200579004e-09
R_ACNACNGALGBSIDEtg	-2.942925750315517e-09
R_ACNAMlt	-4.311693652954418e-06
R_ACNAMtn	2.525436629485095e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.382056759920372e-07
R_ACNML	-1.186328948605056e-05
R_ACOAD10m	2.8153475592485044e-08
R_ACOAD8m	6.908166046842856e-08
R_ACOAD9m	3.878199857088038e-08
R_ACOAO7p	4.132645423281234e-06
R_ACODA	-4.9936162201807965e-09
R_ACONTm	8.003124870503697e-05
R_ACP1_FMN	3.1206577512654654e-06
R_ACS2	1.1568976295492361e-06
R_ACSRTNMT	8.073033864481393e-08
R_ACt2r	-3.9066791207780643e-05
R_ADEt	-0.0001250400550668121
R_ADK3	-6.33351268703895e-07
R_ADK3m	3.5741056526261694e-05
R_ADKd	-1.008203359520194e-05
R_ADMDC	2.2338007952954486e-05
R_ADNt4	7.46684729293495e-06
R_ADNtl	1.722570747317905e-05
R_ADNtm	-3.210321530541793e-06
R_ADPMAN	-4.993601865344033e-09
R_ADPRIBt	-5.130686915727207e-09
R_ADRNCOAtx	7.344875400442513e-06
R_ADRNCRNt	1.842696098430796e-06
R_ADSL2r	2.3758029055187535e-06
R_AG13T16g	1.0928577327123934e-07
R_AG13T18g	9.682879063832583e-08
R_AG13T2g	1.968769864219011e-07
R_AGMTm	1.2482396904295312e-08
R_AGTim	2.8860444738692344e-06
R_AHANDROSTANGLCte	-9.201854805906962e-09
R_AHEXASE2ly	-4.5860323039104145e-09
R_AIRCr	2.3758029537856995e-06
R_AKGMALtm	-1.7614709578867016e-05
R_AKGt4_3	-9.471821213907165e-05
R_AKR1C41	2.028296539151153e-06
R_AKR1D	1.7636385676467246e-08
R_ALAGLYexR	-1.5623651757491058e-07
R_ALASERNaEx	2.4956039288745457e-05
R_ALASm	0.00010348861860176584
R_ALATHRNaEx	2.5896198618619026e-05
R_ALCD21_D	8.987811652017008e-05
R_ALCD22_D	0.0001427217758308147
R_ALCD2y	-3.7456384244238805e-09
R_ALDD20xm	1.9773450422588823e-06
R_ALDD2xm	2.5954674796324628e-05
R_ALDD2y	1.1801809632061566e-05
R_ALDSTRNte	4.38157112259141e-08
R_ALDSTRNtm	-4.3815780916695024e-08
R_ALOX15	6.070178634988638e-07
R_ALR2	8.87754865978585e-05
R_ALR3	8.926772977618791e-05
R_AMACR2p	1.8430191457929207e-05
R_AMACRp	4.0977366860400766e-06
R_AMETr	1.1977494427412028e-05
