	0
R_24_25DHVITD3tm	2.937381232188561e-08
R_25HVITD3t	5.0439921311651315e-06
R_COAtl	5.19359746997336e-06
R_EX_5adtststerone_e	2.5830226469888973e-07
R_EX_5adtststerones_e	2.5858149068844205e-07
R_EX_5fthf_e	-3.995450564148184e-09
R_EX_5htrp_e	2.589900100710002e-06
R_EX_5mthf_e	0.00013982630308475782
R_EX_5thf_e	-6.084959473795504e-09
R_EX_6dhf_e	-4.284932825227017e-09
R_24_25VITD3Hm	2.9373826338288667e-08
R_24NPHte	6.908682972928126e-09
R_10FTHF7GLUtl	3.964451870872715e-06
R_10FTHFtm	-8.352914573442685e-05
R_11DOCRTSLtr	-2.847925713658772e-08
R_13DAMPPOX	1.4064639758913644e-06
R_24_25DHVITD2t	7.113396415032308e-06
R_24_25DHVITD2tm	7.113396421138535e-06
R_24_25DHVITD3t	3.7518554973636764e-06
R_25VITD2Hm	4.7759273307341685e-06
R_2AMACHYD	2.4375222995579775e-06
R_2AMACSULT	4.5806301667457305e-06
R_2AMADPTm	1.4013561243906367e-06
R_2MCITt	4.7155631187310865e-06
R_2OXOADOXm	1.519137913227886e-05
R_2OXOADPTm	-2.045862424436629e-06
R_34DHPHEt	-2.6526309493849165e-06
R_34DHXMANDACOX	3.5392838466624665e-05
R_34HPLFM	1.8376694375800418e-05
R_3AIBtm	8.334215185119105e-06
R_3HAO	1.4711365086715066e-06
R_3MOBt2im	3.1930332929711036e-06
R_3MOPt2im	3.2096321460096944e-06
R_3MOXTYROX	6.1429383663332e-07
R_3SALAOX	-7.247564423606967e-10
R_42A12BOOX	4.074934703002242e-07
R_4HBZCOAFm	6.362961269105322e-06
R_4HBZFm	6.362961265722611e-06
R_4HDEBRISOQUINEte	7.317547765645083e-09
R_4HOXPACDOX_NADP	-3.826689770536351e-05
R_4MOPt2im	3.5403760559708786e-06
R_4MPTNLte	2.000020466337918e-05
R_4NPHSULT	-5.373398309638233e-09
R_4PYRDX	4.414388378209261e-06
R_5ADTSTSTERONEGLCtr	-3.828326089125311e-08
R_5ADTSTSTERONESULT	7.17845276505813e-07
R_5ADTSTSTERONEte	-2.583023412938701e-07
R_5FTHFt2_1	-1.9977268866933073e-09
R_5HOXINOXDA	7.782205812233156e-08
R_5THFtl	2.5965065069653848e-06
R_5THFtm	2.150283853603191e-06
R_7DHCHSTEROLtr	-6.269597386515668e-05
R_7DHFtm	2.1501643756999256e-06
R_A4GALTc	7.083008941864352e-06
R_A4GALTg	4.1618897992437565e-06
R_A4GNT2g	-9.562561582907942e-09
R_AACTtm	6.470097225636309e-05
R_ABO1g	4.580145614918249e-07
R_ABO4g	6.843206313547276e-07
R_ABO5g	6.8432045781993e-07
R_ABO6g	5.965235336637467e-07
R_ABO7g	5.965233158796227e-07
R_ABO9g	4.777578678236485e-07
R_ABTArm	-2.1540643371198128e-05
R_ABTt	-1.2269232148559572e-05
R_ABUTt2rL	3.248835475298806e-05
R_ACACT10m	-2.049488063476934e-05
R_ACACT5p	1.746681279289619e-05
R_ACACT8p	1.3203370920478186e-05
R_ACACT9p	7.256828437107732e-06
R_ACALDtr	3.833461561967427e-06
R_ACALDtx	-3.74579951084586e-09
R_ACCOALm	2.8834516739788913e-06
R_ACCOAtr	-6.982874197466842e-05
R_ACETONEt2	-4.166606295263886e-07
R_ACGAGBSIDEtl	2.864259415411019e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.965232407340038e-07
R_ACGALtlg	-2.651646556783155e-06
R_ACGAMK	2.3919503571029344e-06
R_ACGAMPM	7.923132834226215e-05
R_ACGAMtly	4.3809686021807626e-05
R_ACGBGBSIDEtl	2.6516463833524406e-06
R_ACHtn	2.4197505978096334e-08
R_ACHVESSEC_1	1.7140477555720185e-08
R_ACN13ACNGALGBSIDEtg	-2.7379098259394663e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-2.923656840930766e-09
R_ACNACNGALGBSIDEtg	-2.7378173304837272e-09
R_ACNAMlt	-3.942006816574917e-06
R_ACNAMtn	2.5627993495057344e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.3729438316264524e-07
R_ACNML	-1.1355109588984807e-05
R_ACOAD10m	3.012920130746055e-08
R_ACOAD8m	6.835576805974686e-08
R_ACOAD9m	4.329274289061047e-08
R_ACOAO7p	4.278305326205212e-06
R_ACODA	-4.993861161400881e-09
R_ACONTm	7.401706917239959e-05
R_ACP1_FMN	3.2281534971256853e-06
R_ACS2	1.0789677441294665e-06
R_ACSRTNMT	7.993473848977434e-08
R_ACt2r	-2.9354268480517864e-05
R_ADEt	-6.00034876327149e-05
R_ADK3	5.650702112292244e-08
R_ADK3m	5.378437948941328e-05
R_ADKd	-3.485746063537539e-07
R_ADMDC	2.066289875655991e-05
R_ADNt4	1.2627536818347884e-05
R_ADNtl	1.8993799758939764e-05
R_ADNtm	3.7349684107387815e-06
R_ADPMAN	-4.99385770236227e-09
R_ADPRIBt	-5.130953886963043e-09
R_ADRNCOAtx	7.415810083274965e-06
