	0
R_24_25DHVITD3tm	2.8514973512733417e-08
R_25HVITD3t	5.409631411421034e-06
R_COAtl	5.485564715919378e-06
R_EX_5adtststerone_e	4.2360131820295965e-07
R_EX_5adtststerones_e	4.2105047547494334e-07
R_EX_5fthf_e	-3.995404361523125e-09
R_EX_5htrp_e	3.173215578737565e-06
R_EX_5mthf_e	6.76505067751243e-05
R_EX_5thf_e	-6.084839843795153e-09
R_EX_6dhf_e	-4.284920411545823e-09
R_24_25VITD3Hm	2.851497350395138e-08
R_24NPHte	6.908557361601231e-09
R_10FTHF7GLUtl	4.566310575226246e-06
R_10FTHFtm	-7.675596481506244e-05
R_11DOCRTSLtr	-1.86765447066084e-08
R_13DAMPPOX	1.4766264929220313e-06
R_24_25DHVITD2t	7.596363697758013e-06
R_24_25DHVITD2tm	7.596363697730257e-06
R_24_25DHVITD3t	4.021312459492193e-06
R_25VITD2Hm	4.949793358638953e-06
R_2AMACHYD	1.4017637199090934e-06
R_2AMACSULT	3.263366052150274e-06
R_2AMADPTm	6.086904331750308e-06
R_2MCITt	5.165960211557519e-06
R_2OXOADOXm	1.115743581001083e-05
R_2OXOADPTm	-6.407163956421514e-06
R_34DHPHEt	-1.0273721105390557e-05
R_34DHXMANDACOX	3.540727781556341e-05
R_34HPLFM	2.0335921352997166e-05
R_3AIBtm	1.1556948822967483e-05
R_3HAO	1.6151622248840021e-06
R_3MOBt2im	2.086314586011162e-05
R_3MOPt2im	2.1688388384091123e-05
R_3MOXTYROX	6.649480282358219e-07
R_3SALAOX	-7.906282434300138e-10
R_42A12BOOX	4.4977851432551064e-07
R_4HBZCOAFm	6.712656274880657e-06
R_4HBZFm	6.712656274943107e-06
R_4HDEBRISOQUINEte	7.317417487912037e-09
R_4HOXPACDOX_NADP	-3.753164411382515e-05
R_4MOPt2im	2.4413757290581845e-05
R_4MPTNLte	2.957686626450795e-05
R_4NPHSULT	-5.37330913097378e-09
R_4PYRDX	4.722784200179159e-06
R_5ADTSTSTERONEGLCtr	-3.853650453952695e-08
R_5ADTSTSTERONESULT	7.74869917563592e-07
R_5ADTSTSTERONEte	-4.236013182723486e-07
R_5FTHFt2_1	-1.99770113645803e-09
R_5HOXINOXDA	7.679429576013669e-08
R_5THFtl	2.9971110148269142e-06
R_5THFtm	2.200068953749773e-06
R_7DHCHSTEROLtr	-7.163964824033128e-05
R_7DHFtm	2.4316090000663093e-06
R_A4GALTc	8.010362799023597e-06
R_A4GALTg	4.590170726065726e-06
R_A4GNT2g	-9.562910975227369e-09
R_AACTtm	0.00012534934660035288
R_ABO1g	3.1214150486078405e-08
R_ABO4g	3.1818933735254433e-08
R_ABO5g	3.181892480946401e-08
R_ABO6g	3.159345689415327e-08
R_ABO7g	3.159344725520762e-08
R_ABO9g	5.2929814774197906e-08
R_ABTArm	-7.145730270288232e-05
R_ABTt	-1.3614741063077557e-05
R_ABUTt2rL	3.321204290225154e-05
R_ACACT10m	-2.6598029635727105e-05
R_ACACT5p	1.3599814565203039e-05
R_ACACT8p	1.2539417595471003e-05
R_ACACT9p	7.937568135711615e-06
R_ACALDtr	7.262262659558233e-06
R_ACALDtx	-3.745762113677165e-09
R_ACCOALm	3.5026298497234376e-06
R_ACCOAtr	-6.02814379873709e-05
R_ACETONEt2	-2.095089317699639e-06
R_ACGAGBSIDEtl	2.829551135410946e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.294599310033064e-08
R_ACGALtlg	-2.932481511484092e-06
R_ACGAMK	9.861050214780148e-06
R_ACGAMPM	8.5799444828321e-05
R_ACGAMtly	4.643592034768787e-05
