	0
R_24_25DHVITD3tm	2.8864942347813687e-08
R_25HVITD3t	4.727787746440504e-06
R_COAtl	5.046197426052806e-06
R_EX_5adtststerone_e	2.673081866758076e-07
R_EX_5adtststerones_e	2.656394714403709e-07
R_EX_5fthf_e	-3.995499330694541e-09
R_EX_5htrp_e	2.9717915171548204e-06
R_EX_5mthf_e	0.00013124591888310708
R_EX_5thf_e	-6.085101575403762e-09
R_EX_6dhf_e	-4.284941478027715e-09
R_24_25VITD3Hm	2.886494340943735e-08
R_24NPHte	6.908843271785647e-09
R_10FTHF7GLUtl	4.262546252638277e-06
R_10FTHFtm	-3.6005193400051594e-05
R_11DOCRTSLtr	-1.8187397542862582e-08
R_13DAMPPOX	1.4997952120301972e-06
R_24_25DHVITD2t	6.959499450509554e-06
R_24_25DHVITD2tm	6.959499451196505e-06
R_24_25DHVITD3t	3.502366434201404e-06
R_25VITD2Hm	4.611753996304046e-06
R_2AMACHYD	1.1617013972150694e-06
R_2AMACSULT	1.9665030274590434e-06
R_2AMADPTm	8.819613880982693e-06
R_2MCITt	5.678844632484026e-06
R_2OXOADOXm	1.2397525323018521e-05
R_2OXOADPTm	-2.2573120508606256e-05
R_34DHPHEt	-8.102440211583072e-06
R_34DHXMANDACOX	2.7703364908676642e-05
R_34HPLFM	1.93555634400433e-05
R_3AIBtm	1.3822938234701876e-05
R_3HAO	2.965676349393981e-06
R_3MOBt2im	2.6334484986661327e-05
R_3MOPt2im	2.504580387810776e-05
R_3MOXTYROX	7.539985790588899e-07
R_3SALAOX	6.156123029191218e-07
R_42A12BOOX	5.246410358511477e-07
R_4HBZCOAFm	6.5624043943807164e-06
R_4HBZFm	6.56240439347866e-06
R_4HDEBRISOQUINEte	7.317723840077894e-09
R_4HOXPACDOX_NADP	-3.465708253583277e-05
R_4MOPt2im	2.8471279805028504e-05
R_4MPTNLte	1.765793670757687e-05
R_4NPHSULT	-5.37353760099446e-09
R_4PYRDX	3.543694817840365e-06
R_5ADTSTSTERONEGLCtr	-6.206214154882983e-07
R_5ADTSTSTERONESULT	6.914348432834894e-07
R_5ADTSTSTERONEte	-2.673081863011073e-07
R_5FTHFt2_1	-1.9977593537778837e-09
R_5HOXINOXDA	1.3553116391812337e-06
R_5THFtl	2.80107596106402e-06
R_5THFtm	2.217855662439011e-06
R_7DHCHSTEROLtr	-7.158135732559037e-05
R_7DHFtm	2.3042393583784515e-06
R_A4GALTc	6.838905545647478e-06
R_A4GALTg	4.1724614363233825e-06
R_A4GNT2g	-9.563301955786523e-09
R_AACTtm	8.827898868859e-05
R_ABO1g	4.481418394795128e-07
R_ABO4g	6.185950273251278e-07
R_ABO5g	6.185950045881072e-07
R_ABO6g	5.066358987615427e-07
R_ABO7g	5.066358638380897e-07
R_ABO9g	4.269428590872315e-07
R_ABTArm	-0.0001676180544093256
R_ABTt	-1.2464272044911129e-05
R_ABUTt2rL	2.948861404955365e-05
R_ACACT10m	-5.800918498305441e-06
R_ACACT5p	1.5106117265920038e-05
R_ACACT8p	1.1461832507705938e-05
R_ACACT9p	7.279736953205718e-06
R_ACALDtr	4.360022946382769e-06
R_ACALDtx	-3.745851909903175e-09
R_ACCOALm	3.047324104244256e-06
R_ACCOAtr	-5.863588807919137e-06
R_ACETONEt2	-2.2988873503545365e-05
R_ACGAGBSIDEtl	2.8364535976932448e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.066358517540059e-07
R_ACGALtlg	-2.6660925876616226e-06
R_ACGAMK	8.439497005290064e-06
R_ACGAMPM	8.642653437051367e-05
R_ACGAMtly	4.2101822355648105e-05
R_ACGBGBSIDEtl	2.6660925836648197e-06
R_ACHtn	2.391318628530703e-08
R_ACHVESSEC_1	1.6981216313579076e-08
R_ACN13ACNGALGBSIDEtg	-2.675832482673668e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.437957262625302e-09
R_ACNACNGALGBSIDEtg	-2.6758018960293395e-09
R_ACNAMlt	-4.058656430584728e-06
R_ACNAMtn	2.4325042421505932e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.217643465656562e-07
R_ACNML	-1.029551672127385e-05
R_ACOAD10m	7.515846787750635e-06
R_ACOAD8m	9.55610746962432e-06
R_ACOAD9m	1.5394008751723476e-05
R_ACOAO7p	3.987856530662803e-06
R_ACODA	-4.993929020313814e-09
R_ACONTm	2.4198955698190305e-05
R_ACP1_FMN	3.080436432434386e-06
R_ACS2	1.0572044069068198e-06
R_ACSRTNMT	7.925725577632395e-08
R_ACt2r	-9.025702275058944e-05
R_ADEt	-0.00010368074275070999
R_ADK3	3.6956810921817424e-06
R_ADK3m	8.076159255791804e-05
R_ADKd	-8.968228305900917e-06
R_ADMDC	1.9594997452410112e-05
R_ADNt4	6.010071498227618e-06
R_ADNtl	2.0059662692743785e-05
R_ADNtm	4.086603582642567e-06
R_ADPMAN	-4.9939270566068394e-09
R_ADPRIBt	-5.13102651933015e-09
R_ADRNCOAtx	7.857580191197172e-06
R_ADRNCRNt	2.2001350711009504e-06
R_ADSL2r	2.218956437094466e-06
R_AG13T16g	1.825339891702027e-07
R_AG13T18g	1.7007636316304642e-07
R_AG13T2g	1.8178042658981153e-07
R_AGMTm	6.582139674500033e-06
R_AGTim	1.7714498441030793e-06
R_AHANDROSTANGLCte	-9.20319908476186e-09
R_AHEXASE2ly	-4.596084429708824e-09
R_AIRCr	2.2189564464203393e-06
R_AKGMALtm	-1.5613120951746273e-05
R_AKGt4_3	-1.2304460717170126e-05
R_AKR1C41	4.082134994945512e-06
R_AKR1D	2.87614271949485e-06
R_ALAGLYexR	-5.432005563923127e-09
R_ALASERNaEx	2.3837070792218085e-05
R_ALASm	0.00010239798703881586
R_ALATHRNaEx	2.418865106530721e-05
R_ALCD21_D	8.092704069689871e-05
R_ALCD22_D	0.00013903035570336786
R_ALCD2y	-3.7458533219680845e-09
R_ALDD20xm	1.859826951167154e-06
R_ALDD2xm	2.0421685693675085e-05
R_ALDD2y	1.5744382949434144e-05
R_ALDSTRNte	3.2301640071064064e-08
R_ALDSTRNtm	-3.230163973452771e-08
R_ALOX15	6.223209818177126e-07
R_ALR2	7.928060060313769e-05
R_ALR3	8.0521343754969e-05
R_AMACR2p	5.807178338500252e-06
R_AMACRp	1.469167710238528e-06
R_AMETr	1.6011014299016635e-05
R_AMETt2m	6.475153438462167e-06
R_AMPDA	0.0002909620197579649
R_AMY2e	-7.163425130851664e-09
R_ANDRSTRNGLCte	7.028122770980083e-07
R_ANDRSTRNGLCtr	-7.028122722685382e-07
R_ANDRSTRNtr	-5.125150314283511e-06
R_ANTIPYRENEte	-6.614186802422761e-10
R_APOCFm	8.798050585193118e-06
R_APOC_LYS_BTNP	6.412515307013117e-06
R_APRTO2	5.533733084636672e-06
R_ARAB_Lt	-7.979727989493313e-17
R_ARABR	-4.993930768915078e-09
R_ARACHDCOAtx	5.40729496083317e-05
R_ARACHDt2	4.250575053904061e-05
R_ARACHt	5.594287492812974e-05
R_ARGDCm	7.505739264002109e-06
R_ARGLYSex	8.722142806110236e-05
R_ARGSS	1.2066854387371428e-06
R_ARGt4	7.592680218574397e-06
R_ARTCOAL3_cho	1.0426255401367601e-06
R_R_group_phosphotase_2	3.932928535097663e-06
R_R_group_phosphotase_3	0.000106860515175531
R_ASCBOX_1	3.8090966637469026e-07
R_ASCBt	0.00011436272173380793
R_ASNCYSNaEx	2.6345460444249236e-05
R_ASNGLNNaEx	2.4808301935602683e-05
R_ASNNm	4.085387098845539e-05
R_ASNS1	1.0413129225422812e-06
R_ASNt4	3.428142434913628e-05
R_ASPDxt	1.9973271231377154e-09
R_ASPGLUm	1.197161413148129e-05
R_ASPNATm	1.6992534089200345e-05
R_ASPt6	1.65180677414202e-05
R_ASPTAm	4.0213352356377463e-07
R_ATP1ter	2.0442838949273623e-05
R_BILGLCURte	1.0325155988741286e-06
R_BILIRED	1.0547668837929125e-06
R_EX_6htststerone_e	3.708236973355705e-07
R_ATPasel_1	1.909745783755523e-06
R_ATPtn	6.894146224054043e-06
R_ATPtx	1.9509386343048718e-05
R_AVITE2t	-4.990057748954779e-09
R_B3GALT3g	3.582419791425817e-06
R_B3GALT42g	6.72078925498254e-09
R_B3GALTg	1.9400114566157922e-06
R_B3GNT11g	3.0285594718182374e-06
R_B3GNT310g	5.358528663554352e-06
R_B3GNT315g	6.514026534981676e-07
R_B3GNT31g	5.900416402693232e-07
R_B3GNT34g	4.256523357393238e-07
R_B3GNT37g	1.1883448558513976e-08
R_B3GNT39g	1.4099063737199602e-06
R_B3GNT51g	7.298540126023101e-06
R_BAAT1x	2.099111990808596e-06
R_BAAT3x	5.7977243970897295e-06
R_BACCL	6.412515310125211e-06
R_BALAVECSEC_1	1.704547595579938e-08
R_BDHm	-3.8780808076288587e-05
R_BETALDHxm	2.7154910328050508e-06
R_BHBtm	-3.878080807590348e-05
R_BHMT	2.9374667499959217e-06
R_BILDGLCURt	3.6245194590621235e-10
R_BTNDm	8.798050582937977e-06
R_BTNPL	6.412515308196198e-06
R_BTNt2m	9.514706564621878e-06
R_BTNt3i_1	1.9764067255706452e-06
R_BVITEt	-4.990057748954779e-09
R_BZtr	7.373682799766135e-09
R_C160CPT1	-2.019084771126556e-06
R_C160CPT2	-4.396295449478338e-05
R_C160CRNt	-2.130350692385735e-05
R_C161CPT1	-3.257249469053314e-05
R_C161CPT12	-4.147281786950896e-06
R_C161CPT2	-2.9296236830428368e-05
R_C161CRN2t	-1.3759003313004725e-06
R_C161CRNt	-1.1743444446005863e-05
R_C180CPT1	-6.931925375930348e-06
R_C181CPT1	-8.999107542720375e-06
R_C181CRNt	-8.935043581608654e-06
R_C204CPT1	-3.74780888554721e-05
R_C204CPT2	2.2949692009971434e-06
R_C226COAtx	1.0183200401279319e-05
R_C226CPT1	9.90576177093e-05
R_C226CPT2	9.905384841826098e-05
R_C226CRNt	5.2422312125242204e-05
R_C3STDH1r	8.58513932819327e-07
R_C4STMO1r	7.099268934662728e-07
R_C4STMO2Pr	6.427582077001004e-07
R_CAATPS_1	2.3689891996275803e-06
R_CAROtr	4.3021142204224816e-16
R_CAt7r	-2.170290902850597e-06
R_CATm	4.678276217250088e-05
R_CATp	0.00017455145542764894
R_CBL2tm	-9.560576303725699e-09
R_CBPPer	9.60059139784586e-07
R_CBR2	0.00010021221927654367
R_CDIPTr	4.981301299986085e-06
R_CDPDAGtm	-5.765930548039255e-06
R_CDS	1.0645203380663104e-06
R_CERT1gt	3.096651401843231e-06
R_CERT1rt	1.0014739256193617e-05
R_CERT2rt	1.6272217059708216e-05
R_CH25H	1.705557687742212e-08
R_CHATn	2.3253922074527897e-08
R_CHLP	1.2274905150546947e-06
R_CHOLD2m	2.715491032156264e-06
R_CHOLK	0.00012656161627830342
R_CHOLPtl	-7.462977387809322e-07
R_CHOLtn	2.3913264080716035e-08
R_CHOLtr	1.0469845995730864e-06
