	0
R_24_25DHVITD3tm	3.102439889962182e-08
R_25HVITD3t	5.758697901321608e-06
R_COAtl	5.756060878735203e-06
R_EX_5adtststerone_e	9.081158332258088e-09
R_EX_5adtststerones_e	9.076610588132361e-09
R_EX_5fthf_e	-3.995284207636285e-09
R_EX_5htrp_e	3.3015796718910417e-06
R_EX_5mthf_e	7.41481096350402e-05
R_EX_5thf_e	-6.084514565796173e-09
R_EX_6dhf_e	-4.28489897036366e-09
R_24_25VITD3Hm	3.102439888325037e-08
R_24NPHte	6.908193746213431e-09
R_10FTHF7GLUtl	4.759178419563859e-06
R_10FTHFtm	-0.00010494848230212239
R_11DOCRTSLtr	-7.598515705531383e-09
R_13DAMPPOX	1.582887453625316e-06
R_24_25DHVITD2t	8.290806297994724e-06
R_24_25DHVITD2tm	8.290806297966968e-06
R_24_25DHVITD3t	4.296811647007404e-06
R_25VITD2Hm	5.522071412654428e-06
R_2AMACHYD	2.8518661054960826e-06
R_2AMACSULT	3.78753904902579e-06
R_2AMADPTm	7.552019957370905e-06
R_2MCITt	5.046950016365792e-06
R_2OXOADOXm	1.7793632102802714e-05
R_2OXOADPTm	-1.797486515294237e-05
R_34DHPHEt	-2.2739157237245942e-06
R_34DHXMANDACOX	3.3746280505703163e-05
R_34HPLFM	2.7942922407556137e-05
R_3AIBtm	1.2132169141252855e-05
R_3HAO	2.9375004921758905e-06
R_3MOBt2im	1.9278059784161306e-05
R_3MOPt2im	1.890594824938835e-05
R_3MOXTYROX	1.0766130419080644e-06
R_3SALAOX	-5.712721684592026e-10
R_42A12BOOX	7.921334589343354e-07
R_4HBZCOAFm	6.57820462807851e-06
R_4HBZFm	6.578204628154838e-06
R_4HDEBRISOQUINEte	7.317022703012821e-09
R_4HOXPACDOX_NADP	-3.5079732646797757e-05
R_4MOPt2im	2.156085661853685e-05
R_4MPTNLte	8.097636317455637e-07
R_4NPHSULT	-5.373021749743856e-09
R_4PYRDX	4.919243645422344e-06
R_5ADTSTSTERONEGLCtr	-2.181302855702727e-08
R_5ADTSTSTERONESULT	7.907661214306971e-07
R_5ADTSTSTERONEte	-9.081177275438446e-09
R_5FTHFt2_1	-1.9976410178812465e-09
R_5HOXINOXDA	8.043834676466077e-08
R_5THFtl	3.143964791375853e-06
R_5THFtm	2.2012536501359037e-06
R_7DHCHSTEROLtr	-7.786507952643046e-05
R_7DHFtm	2.492539899791313e-06
R_A4GALTc	7.926627600136904e-06
R_A4GALTg	4.51207661507011e-06
R_A4GNT2g	-9.562399293338134e-09
R_AACTtm	0.00011949040535460392
R_ABO1g	5.009127356419077e-07
R_ABO4g	6.933640652566353e-07
R_ABO5g	6.933640660077706e-07
R_ABO6g	5.717769562168032e-07
R_ABO7g	5.7177695744412e-07
R_ABO9g	4.812612684635537e-07
R_ABTArm	-2.768240163690365e-06
R_ABTt	-1.3405477668600174e-05
R_ABUTt2rL	3.72717852337532e-05
R_ACACT10m	-1.7711745475601504e-05
R_ACACT5p	1.9629727438866262e-05
R_ACACT8p	1.495638604311067e-05
R_ACACT9p	8.555475004459745e-06
R_ACALDtr	2.0787026837332245e-07
R_ACALDtx	-3.745651268316497e-09
R_ACCOALm	3.5301698784579415e-06
R_ACCOAtr	-5.491295091493778e-05
R_ACETONEt2	-1.604312628716853e-07
R_ACGAGBSIDEtl	2.9483044589051488e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.717769578778009e-07
R_ACGALtlg	-2.8128312088218643e-06
R_ACGAMK	2.893873216683329e-06
R_ACGAMPM	8.846020335373517e-05
R_ACGAMtly	4.982545885961337e-05
R_ACGBGBSIDEtl	2.8128312085651253e-06
R_ACHtn	5.406946712499527e-06
R_ACHVESSEC_1	1.7705994468882375e-08
R_ACN13ACNGALGBSIDEtg	-2.90376772626999e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-2.9974694462642226e-09
R_ACNACNGALGBSIDEtg	-2.9037490884009642e-09
R_ACNAMlt	-4.718985186419333e-06
R_ACNAMtn	1.5410490095159324e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.982373289566522e-07
R_ACNML	-1.2566544637361565e-05
R_ACOAD10m	6.462914636823358e-06
R_ACOAD8m	1.0218419475696572e-05
R_ACOAD9m	1.3413018856281433e-05
R_ACOAO7p	4.778794281998233e-06
R_ACODA	-4.993640110792508e-09
R_ACONTm	0.00010618004228592215
R_ACP1_FMN	3.507268396873986e-06
R_ACS2	1.2024679066635624e-06
R_ACSRTNMT	8.273806977966015e-08
R_ACt2r	-6.491859992520388e-05
R_ADEt	-6.425537652767453e-05
R_ADK3	3.017345424055477e-07
R_ADK3m	4.450069923356975e-05
R_ADKd	-1.3429813853526912e-06
R_ADMDC	2.407713752068663e-05
R_ADNt4	1.4105370346577557e-05
R_ADNtl	2.0153567819756676e-05
R_ADNtm	6.1403266344711716e-06
R_ADPMAN	-4.99363904393757e-09
R_ADPRIBt	-5.130712236469347e-09
R_ADRNCOAtx	8.960539445788951e-06
R_ADRNCRNt	5.325663157765281e-07
R_ADSL2r	2.483670352798617e-06
R_AG13T16g	1.9064024001785862e-07
R_AG13T18g	1.7818380702167014e-07
R_AG13T2g	1.893549200077116e-07
R_AGMTm	2.0874873593590415e-08
R_AGTim	1.7862920496200484e-08
R_AHANDROSTANGLCte	-9.202067607905207e-09
R_AHEXASE2ly	-4.618875282247359e-09
R_AIRCr	2.4836703523684056e-06
R_AKGMALtm	-6.7369458128935245e-06
R_AKGt4_3	-0.00010759845235029653
R_AKR1C41	1.792810784697704e-08
R_AKR1D	1.7927300622674403e-08
R_ALAGLYexR	-1.1497620810020214e-08
R_ALASERNaEx	2.5448469410577212e-05
R_ALASm	8.803917304750497e-05
R_ALATHRNaEx	2.6586200195549692e-05
R_ALCD21_D	8.137133535482399e-05
R_ALCD22_D	0.0001334710204502626
R_ALCD2y	-3.745651178110876e-09
R_ALDD20xm	2.71313546140739e-06
R_ALDD2xm	2.1216532750070738e-05
R_ALDD2y	1.4240162783063504e-05
R_ALDSTRNte	2.3646251227915638e-08
R_ALDSTRNtm	-2.3646261448906358e-08
R_ALOX15	7.011638884083703e-07
R_ALR2	8.076699708114976e-05
R_ALR3	8.138715082428583e-05
R_AMACR2p	1.42663547230866e-05
R_AMACRp	4.172160581973269e-06
R_AMETr	1.4795253503806227e-05
R_AMETt2m	7.731622149023676e-06
R_AMPDA	0.0003056163607977058
R_AMY2e	-7.162591297849019e-09
R_ANDRSTRNGLCte	3.6966559355255946e-08
R_ANDRSTRNGLCtr	-3.69665711305589e-08
R_ANDRSTRNtr	-1.5379542364635235e-07
R_ANTIPYRENEte	-6.611711456105951e-10
R_APOCFm	1.0289971582470858e-05
R_APOC_LYS_BTNP	7.22226305597401e-06
R_APRTO2	5.911876564648061e-06
R_ARAB_Lt	1.3877787807814457e-17
R_ARABR	-4.993641222750256e-09
R_ARACHDCOAtx	4.831693598133374e-05
R_ARACHDt2	5.84920562187851e-06
R_ARACHt	3.5208075214801515e-05
R_ARGDCm	4.682105884945553e-08
R_ARGLYSex	9.151562044618089e-05
R_ARGSS	1.3526510963535188e-06
R_ARGt4	2.368274444366266e-05
R_ARTCOAL3_cho	1.1878146968860581e-06
R_R_group_phosphotase_2	4.516687623731808e-06
R_R_group_phosphotase_3	0.00012164037610059436
R_ASCBOX_1	4.138376039075631e-07
R_ASCBt	0.00011442123197357573
R_ASNCYSNaEx	2.792577679004704e-05
R_ASNGLNNaEx	2.595269956721935e-05
R_ASNNm	1.9760498593941376e-05
R_ASNS1	1.169245912313599e-06
R_ASNt4	0.00010522574330368295
R_ASPDxt	1.9972047279881444e-09
R_ASPGLUm	1.2345020619697333e-05
R_ASPNATm	3.159150376982195e-05
R_ASPt6	1.493427125549146e-05
R_ASPTAm	-3.354922338778821e-05
R_ATP1ter	2.2428710263179552e-05
R_BILGLCURte	2.3118666301474855e-06
R_BILIRED	1.0163872064816726e-06
R_EX_6htststerone_e	1.647978269819772e-08
R_ATPasel_1	2.5601164578767377e-06
R_ATPtn	7.035442177200091e-06
R_ATPtx	2.3958909729789035e-05
R_AVITE2t	-4.989579999170601e-09
R_B3GALT3g	3.842752053354048e-06
R_B3GALT42g	8.41259319671328e-09
R_B3GALTg	2.1846103990252885e-06
R_B3GNT11g	3.1193553264655116e-06
R_B3GNT310g	5.574509064000532e-06
R_B3GNT315g	5.992915118810394e-07
R_B3GNT31g	6.693245618097365e-07
R_B3GNT34g	4.794346160144625e-07
R_B3GNT37g	1.205866641262876e-08
R_B3GNT39g	1.560333360420274e-06
R_B3GNT51g	7.759119462895283e-06
R_BAAT1x	3.516597778828375e-06
R_BAAT3x	1.4256902599761297e-05
R_BACCL	7.22226305586212e-06
R_BALAVECSEC_1	1.7761242357902787e-08
R_BDHm	-7.051495814058319e-06
R_BETALDHxm	5.48619136949563e-06
R_BHBtm	-7.0514958139811235e-06
R_BHMT	2.2546631825558843e-06
R_BILDGLCURt	-2.061507658743418e-06
R_BTNDm	1.0289971582547186e-05
R_BTNPL	7.222263055930642e-06
R_BTNt2m	1.2717669983480784e-05
R_BTNt3i_1	2.173995537431417e-06
R_BVITEt	-4.989579999170601e-09
R_BZtr	7.372784549541933e-09
R_C160CPT1	2.7301799770881874e-05
R_C160CPT2	-1.7164399503444283e-05
R_C160CRNt	-8.79742451560285e-06
R_C161CPT1	-1.3345024664074279e-06
R_C161CPT12	-6.368704875719944e-06
R_C161CPT2	2.3703138074711305e-06
R_C161CRN2t	-2.5950431375605654e-06
R_C161CRNt	2.6788620178380684e-07
R_C180CPT1	-2.0783486235603776e-05
R_C181CPT1	2.4665684532479415e-05
R_C181CRNt	1.1234531047451396e-06
R_C204CPT1	-2.9436500477264538e-05
R_C204CPT2	2.653335040788546e-06
R_C226COAtx	3.659327307770077e-05
R_C226CPT1	4.6552385499498694e-05
R_C226CPT2	4.6548616554790284e-05
R_C226CRNt	2.8040501111332994e-05
R_C3STDH1r	9.044580882855424e-07
R_C4STMO1r	7.727156322162587e-07
R_C4STMO2Pr	6.816347155047531e-07
R_CAATPS_1	2.4757650575191192e-06
R_CAROtr	-4.163336342344337e-17
R_CAt7r	-2.6262574260090422e-05
R_CATm	2.8493285704516563e-05
R_CATp	0.00022714750271019338
R_CBL2tm	-9.55949662180891e-09
R_CBPPer	1.0323297038178358e-06
R_CBR2	9.386444595403665e-05
R_CDIPTr	5.023977439982952e-06
R_CDPDAGtm	-6.485981969395205e-06
R_CDS	1.2025419907288337e-06
R_CERT1gt	3.5057135569852016e-06
R_CERT1rt	1.1716435287897897e-05
R_CERT2rt	1.7528181488389583e-05
R_CH25H	2.2136182934212774e-06
R_CHATn	5.4069467125550115e-06
R_CHLP	1.699281134890282e-06
R_CHOLD2m	5.486191369509047e-06
