	0
R_24_25DHVITD3tm	2.9373624966979716e-08
R_25HVITD3t	5.73036413726441e-06
R_COAtl	9.492059591019453e-06
R_EX_5adtststerone_e	1.1181233123408463e-08
R_EX_5adtststerones_e	1.1188964508385135e-08
R_EX_5fthf_e	-3.99548148385942e-09
R_EX_5htrp_e	2.9435887776499414e-06
R_EX_5mthf_e	0.00013507247811743797
R_EX_5thf_e	-6.085040971104405e-09
R_EX_6dhf_e	-4.284938168175323e-09
R_24_25VITD3Hm	2.937362557700607e-08
R_24NPHte	6.9087725679262135e-09
R_10FTHF7GLUtl	4.644561111266654e-06
R_10FTHFtm	-0.00012052208640472503
R_11DOCRTSLtr	-1.4301173526659605e-08
R_13DAMPPOX	1.5436926992190656e-06
R_24_25DHVITD2t	7.865439693451048e-06
R_24_25DHVITD2tm	7.865439693575949e-06
R_24_25DHVITD3t	4.271994620306391e-06
R_25VITD2Hm	5.158421410555005e-06
R_2AMACHYD	2.9031659351691654e-06
R_2AMACSULT	1.2422362895914488e-06
R_2AMADPTm	2.338176338525518e-06
R_2MCITt	4.798376968269402e-06
R_2OXOADOXm	1.8687496591673902e-05
R_2OXOADPTm	-7.210609316912715e-06
R_34DHPHEt	-1.4786900363385116e-05
R_34DHXMANDACOX	2.9649458311471755e-05
R_34HPLFM	2.760213872755879e-05
R_3AIBtm	7.665360374777127e-06
R_3HAO	5.088676282384068e-08
R_3MOBt2im	2.363462479357953e-05
R_3MOPt2im	2.5245257092368356e-05
R_3MOXTYROX	6.600204321064026e-07
R_3SALAOX	3.5616452674809562e-06
R_42A12BOOX	4.414857483329461e-07
R_4HBZCOAFm	6.760560937211363e-06
R_4HBZFm	6.760560936982379e-06
R_4HDEBRISOQUINEte	7.317646096710595e-09
R_4HOXPACDOX_NADP	-3.263354187554163e-05
R_4MOPt2im	2.5686598044132036e-05
R_4MPTNLte	8.372590448037232e-06
R_4NPHSULT	-5.373490701010564e-09
R_4PYRDX	4.892590298101462e-06
R_5ADTSTSTERONEGLCtr	-2.2677897667383595e-08
R_5ADTSTSTERONESULT	7.52361126045431e-07
R_5ADTSTSTERONEte	-1.1181435614210367e-08
R_5FTHFt2_1	-1.997740355086375e-09
R_5HOXINOXDA	1.4224059252142328e-06
R_5THFtl	3.0737573698674803e-06
R_5THFtm	2.1835292224707537e-06
R_7DHCHSTEROLtr	-7.793136737543546e-05
R_7DHFtm	2.433664367005456e-06
R_A4GALTc	6.106474834605743e-06
R_A4GALTg	4.807494843448237e-06
R_A4GNT2g	-9.563126833264625e-09
R_AACTtm	8.650192003901644e-05
R_ABO1g	4.5365858418418064e-07
R_ABO4g	6.22725291440698e-07
R_ABO5g	6.227252845143944e-07
R_ABO6g	5.177985708264179e-07
R_ABO7g	5.1779856082468e-07
R_ABO9g	4.369783455168984e-07
R_ABTArm	-1.4515214466728982e-05
R_ABTt	-9.853363123472902e-06
R_ABUTt2rL	3.5097767460877394e-05
R_ACACT10m	-2.4908727388056606e-05
R_ACACT5p	1.666637818331651e-05
R_ACACT8p	1.3578796572863427e-05
R_ACACT9p	8.364073974490016e-06
R_ACALDtr	1.4222757853538104e-06
R_ACALDtx	-3.7458344759322415e-09
R_ACCOALm	3.1801423917773852e-06
R_ACCOAtr	-4.8677852437133476e-05
R_ACETONEt2	-4.173534499163356e-06
R_ACGAGBSIDEtl	9.758885886265722e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-5.177985574894572e-07
R_ACGALtlg	-2.3317968322333904e-06
R_ACGAMK	3.1898955579340305e-06
R_ACGAMPM	8.814965407111242e-05
R_ACGAMtly	4.780012468925954e-05
R_ACGBGBSIDEtl	2.3317968267551337e-06
R_ACHtn	2.422671068966209e-08
R_ACHVESSEC_1	1.711656667481941e-08
R_ACN13ACNGALGBSIDEtg	-2.8934511592249024e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.3124189224853495e-09
R_ACNACNGALGBSIDEtg	-2.8934161178106876e-09
R_ACNAMlt	-3.879142446518158e-06
R_ACNAMtn	2.474480077969618e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.3659304417922873e-07
R_ACNML	-1.1339816873952996e-05
