	0
R_24_25DHVITD3tm	2.7637678489864613e-08
R_25HVITD3t	5.8953052420179786e-06
R_COAtl	5.972278472710091e-06
R_EX_5adtststerone_e	9.14444808070014e-09
R_EX_5adtststerones_e	9.142291021446702e-09
R_EX_5fthf_e	-3.9952463976034025e-09
R_EX_5htrp_e	3.4845087031332156e-06
R_EX_5mthf_e	9.258951648800223e-05
R_EX_5thf_e	-6.084414756746259e-09
R_EX_6dhf_e	-4.284895292749891e-09
R_24_25VITD3Hm	2.7637678957670745e-08
R_24NPHte	6.908077054834649e-09
R_10FTHF7GLUtl	4.957336098253273e-06
R_10FTHFtm	-8.734706717444807e-05
R_11DOCRTSLtr	-1.099700589618502e-08
R_13DAMPPOX	1.6494040593357379e-06
R_24_25DHVITD2t	4.380309025761586e-06
R_24_25DHVITD2tm	4.38030902592812e-06
R_24_25DHVITD3t	4.370897532988971e-06
R_25VITD2Hm	5.800444002863588e-06
R_2AMACHYD	4.08579956045124e-06
R_2AMACSULT	3.2651925399723725e-06
R_2AMADPTm	1.28435214496736e-05
R_2MCITt	6.172839956124221e-06
R_2OXOADOXm	2.10213126929093e-05
R_2OXOADPTm	-2.9694784969291205e-05
R_34DHPHEt	-1.9741573615942275e-05
R_34DHXMANDACOX	1.8224598682864412e-05
R_34HPLFM	2.5967463727176454e-05
R_3AIBtm	1.7053997245011776e-05
R_3HAO	2.0464950417115084e-06
R_3MOBt2im	2.8928961482363458e-06
R_3MOPt2im	2.87133538665052e-06
R_3MOXTYROX	1.6368088464127628e-06
R_3SALAOX	5.203879057599781e-07
R_42A12BOOX	1.352924371034181e-06
R_4HBZCOAFm	7.092280291186304e-06
R_4HBZFm	7.0922802908671145e-06
R_4HDEBRISOQUINEte	7.3168943473533865e-09
R_4HOXPACDOX_NADP	-2.241490035737731e-05
R_4MOPt2im	3.0728411008762446e-06
R_4MPTNLte	5.547264354671677e-06
R_4NPHSULT	-5.37293176616771e-09
R_4PYRDX	3.1131335027287377e-06
R_5ADTSTSTERONEGLCtr	-2.104280365927691e-08
R_5ADTSTSTERONESULT	8.026029250998712e-07
R_5ADTSTSTERONEte	-9.144558513196621e-09
R_5FTHFt2_1	-1.99762257430125e-09
R_5HOXINOXDA	7.071443821161233e-06
R_5THFtl	3.237748489551273e-06
R_5THFtm	2.404869287681022e-06
R_7DHCHSTEROLtr	-7.37026561373269e-05
R_7DHFtm	2.6349419085594517e-06
R_A4GALTc	6.426611108753251e-06
R_A4GALTg	4.19932085792983e-06
R_A4GNT2g	-9.562227186660829e-09
R_AACTtm	9.046597761509789e-05
R_ABO1g	3.767310441937246e-07
R_ABO4g	5.490308877580878e-07
R_ABO5g	5.490308773285508e-07
R_ABO6g	4.727358336284633e-07
R_ABO7g	4.727358190240432e-07
R_ABO9g	4.028193980143793e-07
R_ABTArm	-0.00011910936715275877
R_ABTt	-1.1821006782396226e-05
R_ABUTt2rL	3.383160609069999e-05
R_ACACT10m	-1.7910491434069975e-05
R_ACACT5p	1.6661411465015985e-05
R_ACACT8p	1.30572223353137e-05
R_ACACT9p	8.622592698327713e-06
R_ACALDtr	1.1464543822614637e-06
R_ACALDtx	-3.745616379557948e-09
R_ACCOALm	3.413476914529423e-06
R_ACCOAtr	-5.391576186462854e-05
R_ACETONEt2	-3.8173171327676725e-06
R_ACGAGBSIDEtl	2.7900231999722358e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-4.7273581417484056e-07
R_ACGALtlg	-2.963630548712126e-06
R_ACGAMK	2.439901459091315e-06
R_ACGAMPM	8.243725757751952e-05
R_ACGAMtly	5.046636530750548e-05
R_ACGBGBSIDEtl	2.9636305414193487e-06
R_ACHtn	1.775143763094178e-05
R_ACHVESSEC_1	1.6524950493606943e-08
R_ACN13ACNGALGBSIDEtg	-2.5077372539650256e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.536643040924492e-09
R_ACNACNGALGBSIDEtg	-2.5077389886885015e-09
R_ACNAMlt	-4.869907283575753e-06
R_ACNAMtn	2.7349054067767053e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-3.5680079830957556e-07
R_ACNML	-1.1521553250695704e-05
R_ACOAD10m	6.099233365974843e-06
R_ACOAD8m	1.0257692195300705e-05
R_ACOAD9m	1.2348661707753394e-05
R_ACOAO7p	4.795519566051787e-06
R_ACODA	-4.993589888813155e-09
R_ACONTm	5.648406854522059e-05
R_ACP1_FMN	3.6850554424594506e-06
R_ACS2	1.1968404609874472e-06
R_ACSRTNMT	3.8659915678690475e-08
R_ACt2r	-5.831862908022012e-05
R_ADEt	-7.066192505006397e-05
R_ADK3	5.509566780971878e-06
R_ADK3m	6.787470986676161e-06
R_ADKd	-1.9874446488592212e-05
R_ADMDC	2.277370490991193e-05
R_ADNt4	1.0345743230552227e-05
R_ADNtl	1.6622668803524705e-05
R_ADNtm	6.7581876552896825e-06
R_ADPMAN	-4.993588834101281e-09
R_ADPRIBt	-5.130658297268964e-09
R_ADRNCOAtx	9.110921003287198e-06
R_ADRNCRNt	4.296461409328267e-06
R_ADSL2r	2.6622751388150068e-06
R_AG13T16g	1.8585394750275652e-07
R_AG13T18g	1.7339769797092286e-07
R_AG13T2g	1.8416883150462748e-07
R_AGMTm	1.1737770253537113e-08
R_AGTim	4.8177487564646584e-06
R_AHANDROSTANGLCte	-9.201840376477088e-09
R_AHEXASE2ly	-4.602856706892311e-09
R_AIRCr	2.662275140952186e-06
R_AKGMALtm	-4.1217759417219724e-05
R_AKGt4_3	-0.00026932098949465806
R_AKR1C41	9.589570469105391e-06
R_AKR1D	1.4151230795996678e-06
R_ALAGLYexR	-3.771981792240688e-09
R_ALASERNaEx	2.5970737195277205e-05
R_ALASm	0.00010042244805533174
R_ALATHRNaEx	2.6420197713289406e-05
R_ALCD21_D	8.725180723001547e-05
R_ALCD22_D	0.00012885366325886272
R_ALCD2y	-3.74561665017481e-09
R_ALDD20xm	4.073046545455261e-06
R_ALDD2xm	1.8772976385209028e-05
R_ALDD2y	1.280310210743929e-05
R_ALDSTRNte	3.09210425458728e-08
R_ALDSTRNtm	-3.092105162194603e-08
R_ALOX15	7.338917471513492e-07
R_ALR2	8.626897671393241e-05
R_ALR3	8.767805881360058e-05
R_AMACR2p	1.0455175811691086e-05
R_AMACRp	4.238436969228321e-06
