	0
R_24_25DHVITD3tm	3.112969935043517e-08
R_25HVITD3t	5.072740684335109e-06
R_COAtl	5.377954934170787e-06
R_EX_5adtststerone_e	1.1445035735108133e-08
R_EX_5adtststerones_e	1.144884735973517e-08
R_EX_5fthf_e	-3.995215956675846e-09
R_EX_5htrp_e	3.0437530147524317e-06
R_EX_5mthf_e	0.00012521235841421105
R_EX_5thf_e	-6.084335434780597e-09
R_EX_6dhf_e	-4.2848904702186275e-09
R_24_25VITD3Hm	3.112970011002721e-08
R_24NPHte	6.907990485194304e-09
R_10FTHF7GLUtl	4.30404489515368e-06
R_10FTHFtm	-6.22190407501208e-05
R_11DOCRTSLtr	-2.5083621183613625e-08
R_13DAMPPOX	1.5494752115836202e-06
R_24_25DHVITD2t	5.78457544832614e-06
R_24_25DHVITD2tm	5.784575448464918e-06
R_24_25DHVITD3t	3.774316028985758e-06
R_25VITD2Hm	4.909114932944662e-06
R_2AMACHYD	4.243227598826524e-06
R_2AMACSULT	2.1452565313016814e-06
R_2AMADPTm	9.538237155662203e-06
R_2MCITt	4.55812752878787e-06
R_2OXOADOXm	1.4432144750248233e-05
R_2OXOADPTm	-2.453850720667613e-05
R_34DHPHEt	-6.551414762755972e-06
R_34DHXMANDACOX	3.0856753007652005e-05
R_34HPLFM	2.386250570264592e-05
R_3AIBtm	7.134701020281324e-06
R_3HAO	1.7530366849321459e-06
R_3MOBt2im	2.0760755826777777e-05
R_3MOPt2im	2.1969527460131283e-05
R_3MOXTYROX	1.1243207025920035e-06
R_3SALAOX	1.4656204702437337e-06
R_42A12BOOX	8.683889320404425e-07
R_4HBZCOAFm	6.168560051662136e-06
R_4HBZFm	6.168560051381111e-06
R_4HDEBRISOQUINEte	7.316796800382885e-09
R_4HOXPACDOX_NADP	-3.6056415484847504e-05
R_4MOPt2im	2.2414282923915313e-05
R_4MPTNLte	7.604402422381473e-06
R_4NPHSULT	-5.372861502928039e-09
R_4PYRDX	4.555698712584155e-06
R_5ADTSTSTERONEGLCtr	-2.3278929315445618e-08
R_5ADTSTSTERONESULT	7.509494487842328e-07
R_5ADTSTSTERONEte	-1.1445256725001185e-08
R_5FTHFt2_1	-1.9976072948568735e-09
R_5HOXINOXDA	8.056957696324363e-08
R_5THFtl	2.870060945854569e-06
R_5THFtm	1.992955019312903e-06
R_7DHCHSTEROLtr	-7.412991507445982e-05
R_7DHFtm	2.2011643549813e-06
R_A4GALTc	7.033038254469076e-06
R_A4GALTg	4.927101912228712e-06
R_A4GNT2g	-9.562060382330505e-09
R_AACTtm	0.00010563476651879664
R_ABO1g	3.2845382869747535e-08
R_ABO4g	3.3519484250468535e-08
R_ABO5g	3.3519262317705814e-08
R_ABO6g	3.327136261584767e-08
R_ABO7g	3.327111354645572e-08
R_ABO9g	5.497711178674946e-08
R_ABTArm	-9.141286257223708e-06
R_ABTt	-1.3072974967061335e-05
R_ABUTt2rL	3.411336722444931e-05
R_ACACT10m	-2.4899985444415407e-05
R_ACACT5p	1.6400275440125317e-05
R_ACACT8p	1.2461036318724139e-05
R_ACACT9p	8.281609185256666e-06
R_ACALDtr	1.4089557543971176e-06
R_ACALDtx	-3.7455877496817e-09
R_ACCOALm	3.187388149649556e-06
R_ACCOAtr	-4.103040063945483e-05
R_ACETONEt2	-2.1253121408187914e-06
R_ACGAGBSIDEtl	9.681093329980128e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.4250330811086416e-08
R_ACGALtlg	-2.3518503446569305e-06
R_ACGAMK	4.248948158112886e-06
R_ACGAMPM	8.69943688320135e-05
R_ACGAMtly	4.4738245751841516e-05
R_ACGBGBSIDEtl	2.3518503410174807e-06
R_ACHtn	2.5066261809258972e-08
R_ACHVESSEC_1	1.7701421771119485e-08
R_ACN13ACNGALGBSIDEtg	-3.0853182855783423e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.199491491190365e-09
R_ACNACNGALGBSIDEtg	-3.085318670686954e-09
R_ACNAMlt	-4.277414553294917e-06
R_ACNAMtn	2.6469107865235292e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.7144133415860656e-07
R_ACNML	-1.2478811158608827e-05
R_ACOAD10m	2.0288225904829815e-08
R_ACOAD8m	7.265673515610693e-08
R_ACOAD9m	3.9532599444003225e-08
R_ACOAO7p	4.361791431803375e-06
R_ACODA	-4.993550644163958e-09
R_ACONTm	0.00010127308343925445
R_ACP1_FMN	3.1762423677306195e-06
R_ACS2	1.1451547803180417e-06
R_ACSRTNMT	8.294675942972963e-08
R_ACt2r	-3.969399138101931e-05
R_ADEt	-6.0516048673741295e-05
R_ADK3	1.016049374448491e-05
R_ADK3m	5.098903179874548e-05
R_ADKd	-0.00011901737224648268
R_ADMDC	2.2801744402625723e-05
R_ADNt4	9.591548926868461e-06
R_ADNtl	1.1923516761683847e-05
R_ADNtm	5.435795209091099e-07
R_ADPMAN	-4.993548560761063e-09
R_ADPRIBt	-5.130615391601067e-09
R_ADRNCOAtx	7.849249955563936e-06
R_ADRNCRNt	2.4246420447376904e-06
R_ADSL2r	2.303164872152763e-06
R_AG13T16g	1.1077938068954074e-07
R_AG13T18g	9.832282061791875e-08
R_AG13T2g	1.9922095443811183e-07
R_AGMTm	2.0979564644774476e-08
R_AGTim	2.3645771800710915e-06
R_AHANDROSTANGLCte	-9.201692699467579e-09
R_AHEXASE2ly	-4.6022951560864556e-09
R_AIRCr	2.303164873873609e-06
R_AKGMALtm	-2.15415868855956e-05
R_AKGt4_3	-0.00015694716650039523
R_AKR1C41	1.1343278043636864e-05
R_AKR1D	3.1389801180676754e-06
R_ALAGLYexR	-1.752243500726342e-12
R_ALASERNaEx	2.2857856470173687e-05
R_ALASm	9.660748520390339e-05
