	0
R_24_25DHVITD3tm	2.864659618670223e-08
R_25HVITD3t	5.157326625208208e-06
R_COAtl	5.217758265983058e-06
R_EX_5adtststerone_e	6.33325214757785e-07
R_EX_5adtststerones_e	6.201321006080174e-07
R_EX_5fthf_e	-3.995266235901074e-09
R_EX_5htrp_e	3.6598071048617176e-06
R_EX_5mthf_e	0.00014011275142815013
R_EX_5thf_e	-6.084469671152615e-09
R_EX_6dhf_e	-4.284900080586684e-09
R_24_25VITD3Hm	2.8646609979088788e-08
R_24NPHte	6.908141191031003e-09
R_10FTHF7GLUtl	4.4441630649982855e-06
R_10FTHFtm	-9.070655412746556e-05
R_11DOCRTSLtr	-2.726138557604396e-08
R_13DAMPPOX	1.3097783260127005e-06
R_24_25DHVITD2t	2.824913766331927e-06
R_24_25DHVITD2tm	2.824913781136057e-06
R_24_25DHVITD3t	3.847768300462712e-06
R_25VITD2Hm	5.363906171032724e-06
R_2AMACHYD	4.424926318044673e-06
R_2AMACSULT	1.2500065185334919e-06
R_2AMADPTm	3.2015690683254334e-06
R_2MCITt	5.552908111532834e-06
R_2OXOADOXm	1.6401119697612154e-05
R_2OXOADPTm	-8.90462011271005e-06
R_34DHPHEt	-1.4908569366951265e-05
R_34DHXMANDACOX	2.247864306345604e-05
R_34HPLFM	2.2825575400196862e-05
R_3AIBtm	9.022764082949495e-06
R_3HAO	2.567021790840214e-06
R_3MOBt2im	3.152826500093381e-06
R_3MOPt2im	3.132375071643323e-06
R_3MOXTYROX	7.894856178495982e-07
R_3SALAOX	2.5288860991401485e-06
R_42A12BOOX	5.440913098692796e-07
R_4HBZCOAFm	6.03670862077757e-06
R_4HBZFm	6.0367086160695305e-06
R_4HDEBRISOQUINEte	7.316965627141014e-09
R_4HOXPACDOX_NADP	-2.4103044169995064e-05
R_4MOPt2im	3.398027959528732e-06
R_4MPTNLte	2.5830414819901643e-05
R_4NPHSULT	-5.37296164504486e-09
R_4PYRDX	4.284572333909664e-06
R_5ADTSTSTERONEGLCtr	-3.894464562989586e-08
R_5ADTSTSTERONESULT	6.762840520195545e-07
R_5ADTSTSTERONEte	-6.333252468050665e-07
R_5FTHFt2_1	-1.997632899375379e-09
R_5HOXINOXDA	1.8637112560489092e-06
R_5THFtl	2.9874150536471356e-06
R_5THFtm	2.2317008278142925e-06
R_7DHCHSTEROLtr	-7.741870492803879e-05
R_7DHFtm	2.391577014600188e-06
R_A4GALTc	5.527679176786063e-06
R_A4GALTg	4.099239765787332e-06
R_A4GNT2g	-9.56246427131829e-09
R_AACTtm	9.712513562436242e-05
R_ABO1g	3.1044333739709936e-08
R_ABO4g	3.1703969443493134e-08
R_ABO5g	3.17032607113119e-08
R_ABO6g	3.1473650435595576e-08
R_ABO7g	3.147285038487806e-08
R_ABO9g	5.221543457620484e-08
R_ABTArm	-1.8505289898101008e-05
R_ABTt	-1.0004783789471783e-05
R_ABUTt2rL	3.1515659904888735e-05
R_ACACT10m	-1.7696423504659498e-05
R_ACACT5p	1.8843351526631746e-05
R_ACACT8p	1.3266567688866027e-05
R_ACACT9p	8.24564912885184e-06
R_ACALDtr	9.876661035121415e-06
R_ACALDtx	-3.745629511414661e-09
R_ACCOALm	2.7715810084379122e-06
R_ACCOAtr	-6.540814309033763e-05
R_ACETONEt2	-1.1477123120079424e-06
R_ACGAGBSIDEtl	2.829095387124614e-08
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.2791870403087175e-08
R_ACGALtlg	-2.7107179037394458e-06
R_ACGAMK	1.696918929573743e-06
R_ACGAMPM	7.110545634578247e-05
R_ACGAMtly	4.718604864197007e-05
R_ACGBGBSIDEtl	2.710717704228899e-06
R_ACHtn	2.3806890840638584e-08
R_ACHVESSEC_1	1.6944938074987794e-08
R_ACN13ACNGALGBSIDEtg	-2.6310425713105268e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.4556526772033802e-09
R_ACNACNGALGBSIDEtg	-2.6310424568187774e-09
R_ACNAMlt	-3.911127811402626e-06
R_ACNAMtn	2.36464091923419e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.1277571571907146e-07
R_ACNML	-1.2111808469168761e-05
R_ACOAD10m	5.724330673306799e-06
R_ACOAD8m	8.474672988582899e-06
R_ACOAD9m	1.0350697348171511e-05
R_ACOAO7p	4.768956484255127e-06
R_ACODA	-4.993617373771908e-09
R_ACONTm	7.232939764967306e-05
R_ACP1_FMN	3.316880600512384e-06
R_ACS2	1.002110892017738e-06
R_ACSRTNMT	7.903823508805599e-08
R_ACt2r	-6.092791218583957e-05
R_ADEt	-1.9784449929718603e-05
R_ADK3	8.917309292626337e-07
R_ADK3m	4.078807377873306e-05
R_ADKd	-9.284078738902904e-07
R_ADMDC	1.8988661840427246e-05
R_ADNt4	4.563946250691752e-06
R_ADNtl	1.187210159820512e-05
R_ADNtm	5.3381167442953514e-06
R_ADPMAN	-4.993618289705903e-09
R_ADPRIBt	-5.130691804299935e-09
R_ADRNCOAtx	8.294135525038077e-06
R_ADRNCRNt	3.169188330542916e-06
R_ADSL2r	2.2952777351537e-06
R_AG13T16g	1.856118320188449e-07
R_AG13T18g	1.7315468304676673e-07
R_AG13T2g	1.8401882859869767e-07
R_AGMTm	1.9809788427782127e-06
R_AGTim	5.35849926699538e-06
R_AHANDROSTANGLCte	-9.201970664618475e-09
R_AHEXASE2ly	-4.596743014007032e-09
R_AIRCr	2.2952777704310368e-06
R_AKGMALtm	-2.9665435028608522e-05
R_AKGt4_3	-0.00013055775573413055
R_AKR1C41	2.5991159101866097e-08
R_AKR1D	3.585088282777424e-08
R_ALAGLYexR	-9.446077023802081e-09
R_ALASERNaEx	2.259275169461117e-05
R_ALASm	9.944436548450786e-05
R_ALATHRNaEx	2.2649975173927306e-05
R_ALCD21_D	9.252666461349868e-05
R_ALCD22_D	0.00014413922253794786
R_ALCD2y	-3.745635884788712e-09
R_ALDD20xm	2.042662827300701e-06
R_ALDD2xm	1.396011990879853e-05
R_ALDD2y	1.037272532034006e-05
R_ALDSTRNte	3.32012791461056e-08
R_ALDSTRNtm	-3.320133236742184e-08
R_ALOX15	6.76137611635159e-07
R_ALR2	9.058528896924156e-05
R_ALR3	9.117568016059341e-05
R_AMACR2p	1.5523027311420412e-05
R_AMACRp	3.0841438309336944e-06
R_AMETr	1.2825921074498953e-05
R_AMETt2m	9.77437055385555e-06
R_AMPDA	0.0001255924799206387
R_AMY2e	-7.162430426532751e-09
R_ANDRSTRNGLCte	8.758054898874712e-07
R_ANDRSTRNGLCtr	-8.758055270452481e-07
R_ANDRSTRNtr	-5.830674926519258e-06
R_ANTIPYRENEte	-6.611596339856085e-10
R_APOCFm	8.276991974521392e-06
R_APOC_LYS_BTNP	6.07182126622155e-06
R_APRTO2	5.977099054741623e-06
R_ARAB_Lt	-2.327998904760875e-15
R_ARABR	-4.993622348958837e-09
R_ARACHDCOAtx	2.8679883391263122e-05
R_ARACHDt2	-8.133367610115537e-07
R_ARACHt	1.8804481427825426e-06
R_ARGDCm	3.588308044127214e-06
R_ARGLYSex	8.388026297594803e-05
R_ARGSS	1.0992215012991385e-06
R_ARGt4	1.093808822872175e-06
R_ARTCOAL3_cho	9.954513461585268e-07
R_R_group_phosphotase_2	3.5953051885986853e-06
R_R_group_phosphotase_3	0.00010149814285547246
R_ASCBOX_1	4.2830828713563696e-07
R_ASCBt	0.00018528603514601782
R_ASNCYSNaEx	2.274698092939731e-05
R_ASNGLNNaEx	2.2398276446983223e-05
R_ASNNm	5.109215144975636e-05
R_ASNS1	9.914571589275667e-07
R_ASNt4	2.8897172550376715e-05
R_ASPDxt	1.9971915024563636e-09
R_ASPGLUm	1.4545281520075837e-05
