	0
R_24_25DHVITD3tm	2.913207221673852e-08
R_25HVITD3t	5.057015278690791e-06
R_COAtl	1.2306342807542892e-05
R_EX_5adtststerone_e	3.9131183410603954e-07
R_EX_5adtststerones_e	3.80474693591204e-07
R_EX_5fthf_e	-3.994877099261496e-09
R_EX_5htrp_e	3.1012852719954076e-06
R_EX_5mthf_e	0.0001228237155439134
R_EX_5thf_e	-6.083578456966832e-09
R_EX_6dhf_e	-4.284839118934292e-09
R_24_25VITD3Hm	2.913208955131522e-08
R_24NPHte	6.907148891038828e-09
R_10FTHF7GLUtl	4.369214461737159e-06
R_10FTHFtm	-7.226612146574857e-05
R_11DOCRTSLtr	-3.706901146802166e-07
R_13DAMPPOX	1.3833228868723874e-06
R_24_25DHVITD2t	5.572107738053417e-06
R_24_25DHVITD2tm	5.5721077476846015e-06
R_24_25DHVITD3t	3.780881730072738e-06
R_25VITD2Hm	4.978935604082156e-06
R_2AMACHYD	4.115863132858925e-06
R_2AMACSULT	2.6590067588316835e-06
R_2AMADPTm	7.821535867639628e-06
R_2MCITt	4.867291966085402e-06
R_2OXOADOXm	1.6075015163485862e-05
R_2OXOADPTm	-2.0562407139277164e-05
R_34DHPHEt	-6.074309721443977e-06
R_34DHXMANDACOX	3.9200435700076364e-05
R_34HPLFM	2.9358935618686854e-05
R_3AIBtm	8.33853559241188e-06
R_3HAO	1.596924340209764e-06
R_3MOBt2im	3.739118852385398e-06
R_3MOPt2im	3.7562230467726165e-06
R_3MOXTYROX	1.0516013470435182e-06
R_3SALAOX	4.168474693755364e-07
R_42A12BOOX	7.634970259629004e-07
R_4HBZCOAFm	6.526677120539948e-06
R_4HBZFm	6.52667711588395e-06
R_4HDEBRISOQUINEte	7.315858873563341e-09
R_4HOXPACDOX_NADP	-4.0122603652215094e-05
R_4MOPt2im	4.120160910399406e-06
R_4MPTNLte	2.467563503041198e-05
R_4NPHSULT	-5.372159633809659e-09
R_4PYRDX	4.4957832446082535e-06
R_5ADTSTSTERONEGLCtr	-3.875318295779029e-08
R_5ADTSTSTERONESULT	6.802733427402341e-07
R_5ADTSTSTERONEte	-3.9131189956062573e-07
R_5FTHFt2_1	-1.997580816037736e-09
R_5HOXINOXDA	7.797359198591369e-08
R_5THFtl	2.932509813601686e-06
R_5THFtm	2.1455896668035046e-06
R_7DHCHSTEROLtr	-7.3783882550707e-05
R_7DHFtm	2.31622852425728e-06
R_A4GALTc	5.757233451905708e-06
R_A4GALTg	4.825314191148761e-06
R_A4GNT2g	-9.56108642919621e-09
R_AACTtm	0.00011988837629533372
R_ABO1g	3.145228695990671e-08
R_ABO4g	3.2085698394600446e-08
R_ABO5g	3.208487734783433e-08
R_ABO6g	3.183416866336538e-08
R_ABO7g	3.183323755582003e-08
R_ABO9g	5.2787930966331046e-08
R_ABTArm	-1.442127638452966e-05
R_ABTt	-1.2634901032020779e-05
R_ABUTt2rL	3.102159832932272e-05
R_ACACT10m	-2.646246732521118e-05
R_ACACT5p	1.795659726652396e-05
R_ACACT8p	1.280021597784703e-05
R_ACACT9p	8.24043628819271e-06
R_ACALDtr	8.668645844332745e-06
R_ACALDtx	-3.745319283876558e-09
R_ACCOALm	3.060213049421029e-06
R_ACCOAtr	-5.767564109324802e-05
R_ACETONEt2	-4.238920636112642e-06
R_ACGAGBSIDEtl	9.136456930805559e-07
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.308518308972608e-08
R_ACGALtlg	-2.453889144889143e-06
R_ACGAMK	1.7048885330647745e-06
R_ACGAMPM	7.602055365860116e-05
R_ACGAMtly	4.6463474696386425e-05
R_ACGBGBSIDEtl	2.453888915926461e-06
R_ACHtn	2.407872173523784e-08
R_ACHVESSEC_1	1.7067062606164213e-08
R_ACN13ACNGALGBSIDEtg	-2.6991665534603637e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-3.4230373258115065e-09
R_ACNACNGALGBSIDEtg	-2.6991670044884675e-09
R_ACNAMlt	-3.899162613452134e-06
