	0
R_24_25DHVITD3tm	2.8054419163193317e-08
R_25HVITD3t	5.212407024043908e-06
R_COAtl	5.457136390742828e-06
R_EX_5adtststerone_e	6.388449304284283e-09
R_EX_5adtststerones_e	6.382599140181133e-09
R_EX_5fthf_e	-3.995608881951496e-09
R_EX_5htrp_e	1.4864384384506713e-06
R_EX_5mthf_e	0.0001286842068344285
R_EX_5thf_e	-6.08537964116862e-09
R_EX_6dhf_e	-4.284960237327384e-09
R_24_25VITD3Hm	2.805441957909327e-08
R_24NPHte	6.909153322381956e-09
R_10FTHF7GLUtl	4.45144918162152e-06
R_10FTHFtm	-7.82404815749295e-05
R_11DOCRTSLtr	-1.4173126384325885e-08
R_13DAMPPOX	1.3897254819844607e-06
R_24_25DHVITD2t	7.304540152287126e-06
R_24_25DHVITD2tm	7.304540152502231e-06
R_24_25DHVITD3t	3.859869357959039e-06
R_25VITD2Hm	4.840303980496036e-06
R_2AMACHYD	8.017707733235434e-09
R_2AMACSULT	1.9422016300785216e-08
R_2AMADPTm	6.263655713006086e-06
R_2MCITt	4.889224062231551e-06
R_2OXOADOXm	1.9994197208009212e-05
R_2OXOADPTm	-1.7074587684436007e-05
R_34DHPHEt	-5.903884080499239e-06
R_34DHXMANDACOX	3.182998481213173e-05
R_34HPLFM	2.0578735237405943e-05
R_3AIBtm	1.0574989874556628e-05
R_3HAO	1.5402929233854603e-06
R_3MOBt2im	2.6140720967252062e-05
R_3MOPt2im	2.6957541495717385e-05
R_3MOXTYROX	1.0329156486799107e-06
R_3SALAOX	8.266063987044658e-07
R_42A12BOOX	7.588939349018053e-07
R_4HBZCOAFm	5.794008727064148e-06
R_4HBZFm	5.79400872680394e-06
R_4HDEBRISOQUINEte	7.318057972105496e-09
R_4HOXPACDOX_NADP	-3.802832056254424e-05
R_4MOPt2im	2.881291259277524e-05
R_4MPTNLte	1.1801237024874206e-05
R_4NPHSULT	-5.373792633101004e-09
R_4PYRDX	4.310269051958221e-06
R_5ADTSTSTERONEGLCtr	-1.9246290991481452e-08
R_5ADTSTSTERONESULT	7.631353020898235e-07
R_5ADTSTSTERONEte	-6.38861920310152e-09
R_5FTHFt2_1	-1.9978036239209906e-09
R_5HOXINOXDA	9.807968647801424e-07
R_5THFtl	2.9371205224372476e-06
R_5THFtm	2.0869076490653837e-06
R_7DHCHSTEROLtr	-7.536023453440233e-05
R_7DHFtm	2.280088808773173e-06
R_A4GALTc	7.657296140748532e-06
R_A4GALTg	4.774262477833663e-06
R_A4GNT2g	-9.563726053101135e-09
R_AACTtm	0.000101249833638066
R_ABO1g	3.086222532825859e-08
R_ABO4g	3.145458928123498e-08
R_ABO5g	3.145450030903469e-08
R_ABO6g	3.1219680270031114e-08
R_ABO7g	3.121957715827702e-08
R_ABO9g	5.239101563497952e-08
R_ABTArm	-0.00011311552315779877
R_ABTt	-1.0561235033363509e-05
R_ABUTt2rL	2.16949333745782e-05
R_ACACT10m	-1.8861551331517123e-05
R_ACACT5p	1.929003786028949e-05
R_ACACT8p	1.4047851145240764e-05
R_ACACT9p	6.7660513540512834e-06
R_ACALDtr	7.436573349825504e-08
R_ACALDtx	-3.7459517467086645e-09
R_ACCOALm	3.078177191897114e-06
R_ACCOAtr	-8.484961521951911e-06
R_ACETONEt2	1.3378009707382121e-06
R_ACGAGBSIDEtl	2.8056544348203927e-08
