	0
R_24_25DHVITD3tm	2.9685091595672668e-08
R_25HVITD3t	5.5837206682646245e-06
R_COAtl	5.649086178029922e-06
R_EX_5adtststerone_e	1.0381303872097902e-09
R_EX_5adtststerones_e	1.0375978652665818e-09
R_EX_5fthf_e	-3.99556121868927e-09
R_EX_5htrp_e	2.913671362816256e-06
R_EX_5mthf_e	0.00013398471467215498
R_EX_5thf_e	-6.085262325289387e-09
R_EX_6dhf_e	-4.2849484550855355e-09
R_24_25VITD3Hm	2.9685091565423427e-08
R_24NPHte	6.909027860241279e-09
R_10FTHF7GLUtl	4.57045490962274e-06
R_10FTHFtm	-7.98799961765767e-05
R_11DOCRTSLtr	-1.7545170871713367e-08
R_13DAMPPOX	1.6574052130536102e-06
R_24_25DHVITD2t	7.774850739852152e-06
R_24_25DHVITD2tm	7.774850739807049e-06
R_24_25DHVITD3t	4.162980971670477e-06
R_25VITD2Hm	5.222247095759691e-06
R_2AMACHYD	1.601819643511578e-06
R_2AMACSULT	3.5587034137966878e-06
R_2AMADPTm	7.859358978450082e-06
R_2MCITt	5.234591604057204e-06
R_2OXOADOXm	1.7907584238280316e-05
R_2OXOADPTm	-2.4430846917786533e-05
R_34DHPHEt	-3.3870836134715677e-06
R_34DHXMANDACOX	2.349725220433807e-05
R_34HPLFM	2.1861584752064234e-05
R_3AIBtm	8.61762862715428e-06
R_3HAO	8.152554283307606e-08
R_3MOBt2im	3.2049229781120486e-05
R_3MOPt2im	3.021092025142641e-05
R_3MOXTYROX	9.102451227180385e-07
R_3SALAOX	-6.847454755987137e-10
R_42A12BOOX	6.587805190666485e-07
R_4HBZCOAFm	6.621103504297204e-06
R_4HBZFm	6.621103504370063e-06
R_4HDEBRISOQUINEte	7.317925168615069e-09
R_4HOXPACDOX_NADP	-3.650486940413866e-05
R_4MOPt2im	3.289308488964651e-05
R_4MPTNLte	5.4565509053569605e-06
R_4NPHSULT	-5.373686162712943e-09
R_4PYRDX	4.8911735150460045e-06
R_5ADTSTSTERONEGLCtr	-1.4372069836315893e-08
R_5ADTSTSTERONESULT	8.07374639665015e-07
R_5ADTSTSTERONEte	-1.0384374228566973e-09
R_5FTHFt2_1	-1.997780788021153e-09
R_5HOXINOXDA	7.853930570847099e-08
R_5THFtl	2.9862192625976225e-06
R_5THFtm	2.126024804968707e-06
R_7DHCHSTEROLtr	-6.747792857246179e-05
R_7DHFtm	2.368663761652401e-06
R_A4GALTc	7.135195025376184e-06
R_A4GALTg	4.962376978711117e-06
R_A4GNT2g	-9.563559777816307e-09
R_AACTtm	0.00011605904361273664
R_ABO1g	3.197666798410942e-08
R_ABO4g	3.267636356508143e-08
R_ABO5g	3.267636057502388e-08
R_ABO6g	3.25645187470834e-08
R_ABO7g	3.256451599257588e-08
R_ABO9g	5.4153942120048475e-08
R_ABTArm	-9.665650404874554e-06
R_ABTt	-1.224287233749996e-05
R_ABUTt2rL	3.637317284750988e-05
R_ACACT10m	-1.1755547095010366e-05
R_ACACT5p	1.8746307340916646e-05
R_ACACT8p	1.377526816784963e-05
R_ACACT9p	7.655124367705879e-06
R_ACALDtr	8.692794830136852e-08
R_ACALDtx	-3.745908461888492e-09
R_ACCOALm	3.3933983573427445e-06
R_ACCOAtr	-4.2052894589323514e-05
R_ACETONEt2	-2.9114432306964755e-06
R_ACGAGBSIDEtl	1.0251324940140083e-06
R_ACGALFUCGALACGALFUCGALACGLCGAL14ACGLCGALGLUSIDEte	-3.3759977844521893e-08
R_ACGALtlg	-2.4038645759470734e-06
R_ACGAMK	9.02286821195808e-06
R_ACGAMPM	8.634451679539329e-05
R_ACGAMtly	4.631076908477236e-05
R_ACGBGBSIDEtl	2.4038645758013566e-06
R_ACHtn	2.438410892993681e-08
R_ACHVESSEC_1	1.720845462081517e-08
R_ACN13ACNGALGBSIDEtg	-2.8530201187648707e-09
R_ACNACNGAL14ACGLCGALGLUSIDEtg	-2.1511702905097074e-09
R_ACNACNGALGBSIDEtg	-2.37690763599252e-09
R_ACNAMlt	-5.0127007122282435e-06
R_ACNAMtn	1.5902866960990775e-05
R_ACNGALACGLCGAL14ACGLCGALGLUSIDEte	-4.805347163412688e-07
R_ACNML	-5.248407943508199e-06
R_ACOAD10m	7.406657657998972e-06
R_ACOAD8m	1.0515887696613269e-05
R_ACOAD9m	1.5764375100646433e-05
R_ACOAO7p	5.06616781101657e-06
R_ACODA	-4.994008407331607e-09
R_ACONTm	7.406317710587085e-05
R_ACP1_FMN	3.331429385133866e-06
R_ACS2	1.233536872202734e-06
R_ACSRTNMT	8.070324185674523e-08
R_ACt2r	-3.68304411998005e-05
R_ADEt	-4.339896302485652e-05
R_ADK3	1.778006745237204e-07
R_ADK3m	2.486420494904329e-05
R_ADKd	-9.76040936369188e-05
R_ADMDC	2.4873831566865623e-05
