	0
R_24_25DHVITD3tm	2.8341788378097484e-08
R_25HVITD3t	5.520365701561225e-06
R_COAtl	5.6098635069293246e-06
R_EX_5adtststerone_e	9.389883377786123e-09
R_EX_5adtststerones_e	9.395900127384671e-09
R_EX_5fthf_e	-3.9955049060957926e-09
R_EX_5htrp_e	5.188244586340485e-06
R_EX_5mthf_e	0.0001787896079450818
R_EX_5thf_e	-6.085118318954752e-09
R_EX_6dhf_e	-4.2849350942453235e-09
R_24_25VITD3Hm	2.834178870643456e-08
R_24NPHte	6.908876734601499e-09
R_10FTHF7GLUtl	4.660644830449534e-06
R_10FTHFtm	-0.00010525654561927
R_11DOCRTSLtr	-1.0449826490233072e-08
R_13DAMPPOX	1.3970306645631064e-06
R_24_25DHVITD2t	4.444857690959203e-06
R_24_25DHVITD2tm	4.444857691035531e-06
R_24_25DHVITD3t	4.118716160350644e-06
R_25VITD2Hm	5.4657140540911e-06
R_2AMACHYD	5.175510430766614e-06
R_2AMACSULT	1.565254839772795e-06
R_2AMADPTm	1.689348764125343e-08
R_2MCITt	5.022418131064854e-06
R_2OXOADOXm	1.4972639709939783e-05
R_2OXOADPTm	-1.334376135224012e-10
R_34DHPHEt	-1.5919467254842763e-05
R_34DHXMANDACOX	2.0826896871301015e-05
R_34HPLFM	2.6514477046914176e-05
R_3AIBtm	6.209169003659016e-06
R_3HAO	3.0810751681860336e-06
R_3MOBt2im	3.817910791119317e-06
R_3MOPt2im	3.8495648614703115e-06
R_3MOXTYROX	1.0189582523656773e-06
R_3SALAOX	2.399657044897807e-06
R_42A12BOOX	7.277557565223136e-07
R_4HBZCOAFm	6.1862818584029755e-06
R_4HBZFm	6.186281858291953e-06
R_4HDEBRISOQUINEte	7.317765358949568e-09
R_4HOXPACDOX_NADP	-2.8290771389011954e-05
R_4MOPt2im	4.234134632817577e-06
R_4MPTNLte	7.852331160643211e-07
R_4NPHSULT	-5.37355437923992e-09
R_4PYRDX	4.614057696090967e-06
R_5ADTSTSTERONEGLCtr	-2.1352134206564788e-08
R_5ADTSTSTERONESULT	7.320226030338439e-07
R_5ADTSTSTERONEte	-9.39000621008601e-09
R_5FTHFt2_1	-1.997752324678359e-09
R_5HOXINOXDA	7.697860349110616e-08
R_5THFtl	3.1349273513434084e-06
R_5THFtm	2.258647709307837e-06
