	0
R_24_25DHVITD3tm	2.915676171794156e-08
R_25HVITD3t	5.385781132627443e-06
R_COAtl	5.5221473813232835e-06
R_EX_5adtststerone_e	1.0939922016894865e-08
R_EX_5adtststerones_e	1.0926321774434866e-08
R_EX_5fthf_e	-3.995264355460826e-09
R_EX_5htrp_e	4.8574573390351705e-06
R_EX_5mthf_e	0.00010748069445576727
R_EX_5thf_e	-6.084458877703147e-09
R_EX_6dhf_e	-4.28489849157998e-09
R_24_25VITD3Hm	2.9156762448856455e-08
R_24NPHte	6.908130432276005e-09
R_10FTHF7GLUtl	4.486802553788777e-06
R_10FTHFtm	-8.797200034084407e-05
R_11DOCRTSLtr	-1.0339998714886667e-08
R_13DAMPPOX	1.5726623976346048e-06
R_24_25DHVITD2t	7.67009803558441e-06
R_24_25DHVITD2tm	7.670098035723188e-06
R_24_25DHVITD3t	4.013718515955694e-06
R_25VITD2Hm	4.7809047757019696e-06
R_2AMACHYD	2.6254672949851872e-06
R_2AMACSULT	1.2071854827034462e-06
R_2AMADPTm	5.009872461644751e-06
R_2MCITt	4.936388017264676e-06
R_2OXOADOXm	1.2539457281218747e-05
R_2OXOADPTm	-1.53371128631196e-05
R_34DHPHEt	-4.635683692866006e-06
R_34DHXMANDACOX	3.431691129673897e-05
R_34HPLFM	2.761424414374214e-05
R_3AIBtm	1.1531640398469017e-05
R_3HAO	2.3430448366994585e-06
R_3MOBt2im	1.8188875531382348e-05
R_3MOPt2im	1.9026079585524047e-05
R_3MOXTYROX	7.332951947896138e-07
R_3SALAOX	3.1136725433811296e-06
R_42A12BOOX	5.053594346344364e-07
R_4HBZCOAFm	6.62203070059611e-06
R_4HBZFm	6.622030700311615e-06
R_4HDEBRISOQUINEte	7.316955694114391e-09
R_4HOXPACDOX_NADP	-3.611624978376582e-05
R_4MOPt2im	2.0373494056102198e-05
R_4MPTNLte	8.563329742052733e-06
R_4NPHSULT	-5.372972719519531e-09
R_4PYRDX	4.794597736688944e-06
R_5ADTSTSTERONEGLCtr	-5.1403081922918314e-08
R_5ADTSTSTERONESULT	7.446124637121299e-07
R_5ADTSTSTERONEte	-1.0940228865191637e-08
R_5FTHFt2_1	-1.997626765393168e-09
R_5HOXINOXDA	7.785231706489994e-08
R_5THFtl	2.961594576626758e-06
R_5THFtm	2.1167386850019787e-06
R_7DHCHSTEROLtr	-7.137230245112675e-05
R_7DHFtm	2.3374362608033494e-06
R_A4GALTc	6.57609579911983e-06
R_A4GALTg	5.142909727483963e-06
R_A4GNT2g	-9.562277163569436e-09
R_AACTtm	0.00011014119475785678
R_ABO1g	3.1567189462543376e-08
R_ABO4g	3.221868658704836e-08
R_ABO5g	3.2218460012729746e-08
R_ABO6g	3.202631423378064e-08
R_ABO7g	3.202606465917785e-08
R_ABO9g	5.332717425672706e-08
R_ABTArm	-2.2677228269230368e-05
R_ABTt	-1.2957812422456638e-05
R_ABUTt2rL	3.2337708769780184e-05
R_ACACT10m	-2.3083443370292e-05
