	0
R_24_25DHVITD3tm	2.923292518610624e-08
R_25HVITD3t	5.857626184907483e-06
R_COAtl	5.874581941241186e-06
R_EX_5adtststerone_e	6.639519441187236e-09
R_EX_5adtststerones_e	6.641029053067182e-09
R_EX_5fthf_e	-3.99510419885063e-09
R_EX_5htrp_e	3.328599809337973e-06
R_EX_5mthf_e	0.00010111643416715194
R_EX_5thf_e	-6.084045912901903e-09
R_EX_6dhf_e	-4.284870555593123e-09
R_24_25VITD3Hm	2.9232925572407475e-08
R_24NPHte	6.907666480482355e-09
R_10FTHF7GLUtl	4.805700518924205e-06
R_10FTHFtm	-6.214519938759627e-05
R_11DOCRTSLtr	-1.4534019661394115e-08
R_13DAMPPOX	1.6085764223041504e-06
R_24_25DHVITD2t	8.119731218052262e-06
R_24_25DHVITD2tm	8.119731218100834e-06
R_24_25DHVITD3t	4.377681820183499e-06
R_25VITD2Hm	5.5145092160736875e-06
R_2AMACHYD	5.948639554499181e-06
R_2AMACSULT	1.875733672912494e-06
R_2AMADPTm	1.0394915305039602e-05
R_2MCITt	5.633259127973966e-06
R_2OXOADOXm	2.336164576997868e-05
R_2OXOADPTm	-3.082868212182614e-05
R_34DHPHEt	-1.5506310637422886e-05
R_34DHXMANDACOX	4.004010352479104e-05
R_34HPLFM	2.8291495466063743e-05
R_3AIBtm	1.0289280334743398e-05
R_3HAO	1.6617487785313897e-06
R_3MOBt2im	2.3459466028302733e-05
R_3MOPt2im	2.4417196471178404e-05
R_3MOXTYROX	1.2677140464947834e-06
R_3SALAOX	2.0596747733747645e-06
R_42A12BOOX	9.791244868356808e-07
R_4HBZCOAFm	6.865939857859937e-06
R_4HBZFm	6.8659398577836095e-06
R_4HDEBRISOQUINEte	7.316442909854892e-09
R_4HOXPACDOX_NADP	-4.062028928247807e-05
R_4MOPt2im	2.694024472433415e-05
R_4MPTNLte	1.2696018252308927e-05
R_4NPHSULT	-5.372605083042714e-09
R_4PYRDX	4.6550388355937056e-06
R_5ADTSTSTERONEGLCtr	-1.96928945025987e-08
R_5ADTSTSTERONESULT	7.923139720075745e-07
R_5ADTSTSTERONEte	-6.6398233369846515e-09
R_5FTHFt2_1	-1.9975697450325125e-09
R_5HOXINOXDA	5.567788561332276e-06
R_5THFtl	3.2028521696758627e-06
R_5THFtm	2.3286795833785123e-06
R_7DHCHSTEROLtr	-8.229481232186614e-05
R_7DHFtm	2.5228577913982697e-06
R_A4GALTc	7.047032294345626e-06
R_A4GALTg	4.633423720730792e-06
R_A4GNT2g	-9.56162783541728e-09
R_AACTtm	0.00016909895357545418
R_ABO1g	4.934022467311598e-07
R_ABO4g	6.819257492887937e-07
R_ABO5g	6.819257463349933e-07
R_ABO6g	5.622774817647374e-07
R_ABO7g	5.622774774285792e-07
R_ABO9g	4.7679241715393485e-07
R_ABTArm	-2.1523189414347343e-05
R_ABTt	-1.3198580622174327e-05
R_ABUTt2rL	3.610955684217598e-05
R_ACACT10m	-2.686828225036131e-05
R_ACACT5p	2.016787770108691e-05
R_ACACT8p	1.4827042655582434e-05
R_ACACT9p	8.469031663606297e-06
R_ACALDtr	7.59619771528719e-08
R_ACALDtx	-3.745490931295059e-09
R_ACCOALm	3.5076552842173286e-06
R_ACCOAtr	-3.325998903390415e-05
